meanings,word,score
"トリプルA,とりぷるえー",AAA,0
"当惑,とうわく",abashedness,0
"当惑,とうわく",abashment,0
"屠殺,とさつ",abattage,0
"トロロアオイ属,とろろあおいぞく",Abelmoschus,0
"トロロアオイモドキ,とろろあおいもどき",abelmosk,0
"倒錯者,とうさくしゃ",aberration,0
"土地,とち",abordar,0
"砥粒工業学会,とつぶこうぎょうがっかい",Abrasive Engineering Society,0
"突然の分離,とつぜんのぶんり",abruption,0
"トウアズキ属,とうあずきぞく",Abrus,0
"逃亡者,とうぼうしゃ",abscondee,0
"逃亡,とうぼう",abscondence,0
"逃亡者,とうぼうしゃ",absconder,0
"統合,とうごう",absorption,0
"とんずら,とんずら",absquatulation,0
"特徴,とくちょう",accent,0
"通波器,とおりなみうつわ",acceptor,0
"到達,とうたつ",accession,0
"登録,とうろく",accession,0
"伴うもの,ともなうもの",accompaniment,0
"特技,とくぎ",accomplishment,6
"得意先,とくいさき",account,0
"得点,とくてん",ace,0
"とげとげしさ,とげとげしさ",acerbity,0
"トリカブト,とりかぶと",aconite,0
"土地,とち",acreage,0
"とげとげしさ,とげとげしさ",acridity,0
"とげとげしさ,とげとげしさ",acridness,0
"とげとげしさ,とげとげしさ",acrimony,0
"塔状頭蓋,とうじょうずがい",acrocephalia,0
"塔状頭蓋,とうじょうずがい",acrocephaly,0
"当事者,とうじしゃ",actor,4
"とげ,とげ",aculeus,0
"刺鍼法,とげはりほう",acupuncture,0
"特別委員会,とくべついいんかい",ad-hocracy,0
"所番地,ところばんち",address,6
"疼痛性脂肪蓄積,とうつうせいしぼうちくせき",adiposalgia,0
"統治,とうち",administration,6
"投与,とうよ",administration,6
"取り巻き,とりまき",admirer,0
"土地に縛られた農奴,とちにしばられたのうど",adscript,0
"到来,とうらい",advent,0
"投機,とうき",adventure,2
"トム・ソーヤの冒険,とむ・そーやのぼうけん",Adventure of Tom Sawyer,0
"投機師,とうきし",adventurer,0
"トム・ボンバディルの冒険,とむ・ぼんばでぃるのぼうけん",Adventures of Tom Bombardil,0
"トム・ソーヤーの冒険,とむ・そーやーのぼうけん",Adventures of Tom Sawyer,0
"得策であること,とくさくであること",advisability,0
"トチノキ属,とちのきぞく",Aesculus,0
"取り付け,とりつけ",affixing,0
"富,とみ",affluence,0
"闘争,とうそう",affray,0
"としごろ,としごろ",Age of Consent,0
"年相応であること,としそうおうであること",age-appropriateness,0
"取次店,とりつぎみせ",agency,0
"取り次ぎ,とりつぎ",agency,0
"取次人,とりつぎにん",agent,0
"敏しょう性,とししょうせい",agility,0
"トクビレ科,とくびれか",Agonidae,0
"闘争性,とうそうせい",agonism,0
"闘争,とうそう",agony,0
"留め金具,とめかなぐ",agrafe,0
"留め金具,とめかなぐ",agraffe,0
"土地分配論者,とちぶんぱいろんしゃ",agrarian,0
"取り決め,とりきめ",agreement,0
"トロロアオイ,とろろあおい",aibika,0
"特発性指趾離断症,とくはつせいゆびしりだんしょう",ainhum,0
"特命飛行部隊,とくめいひこうぶたい",airmada,0
"匿名アルコール依存症者の家族の会,とくめいあるこーるいぞんしょうもののかぞくのかい",Alcoholic Anonymous Family Group,0
"疼痛,とうつう",algia,0
"疼痛性ジストロフィー,とうつうせいじすとろふぃー",algodystrophy,0
"疼痛性愛,とうつうせいあい",algolagnia,0
"疼痛性愛,とうつうせいあい",algomania,0
"疼痛性けいれん,とうつうせいけいれん",algospasm,0
"都市交,としこう",All Japan Municipal Transport Workers' Union,0
"時々晴れ,ときどきはれ",All or Nothing,0
"頭韻,とういん",alliteration,0
"特別支払分,とくべつしはらいふん",allotment,0
"等高度線,とうこうどせん",almacantar,0
"戸棚,とだな",almirah,0
"等高度線,とうこうどせん",almucantar,0
"登山づえ,とざんづえ",alpenstock,0
"登山家,とざんいえ",alpinist,0
"等外馬,とうがいうま",also-ran,0
"等外者,とうがいもの",also-ran,0
"取って代わるもの,とってかわるもの",alternative,6
"敏しょう性,とししょうせい",alterness,0
"トレスモロス山,とれすもろすやま",Alto de Tres Morros,0
"特派大使,とくはたいし",ambassador,0
"特使,とくし",ambassador-at-large,0
"特典,とくてん",amenity,0
"疼痛財団,とうつうざいだん",American Pain Foundation,0
"疼痛学会,とうつうがっかい",American Pain Society,0
"友,とも",ami,0
"友達,ともだち",amigo,0
"トイレットペーパー,といれっとぺーぱー",ammunition,7
"隣保同盟,となりほどうめい",amphictyony,0
"倒置,とうち",anastrophe,0
"投錨,とうびょう",anchorage,0
"投錨地,とうびょうち",anchorage,0
"盗聴作戦,とうちょうさくせん",Anderson Tapes,0
"通人,とおりにん",animal,1
"取り消し,とりけし",annulment,0
"特異,とくい",anomaly,7
"匿名ブログ,とくめいぶろぐ",anonoblog,0
"匿名者,とくめいもの",anonym,0
"匿名,とくめい",anonymity,0
"匿名化,とくめいか",anonymization,0
"匿名の嫌がらせ電話苦情処理局,とくめいのいやがらせでんわくじょうしょりきょく",Anonymous and Annoying Call Bureau,0
"匿名の情報提供者,とくめいのじょうほうていきょうしゃ",anonymouse,0
"匿名性,とくめいせい",anonymousness,0
"取っ手,とって",ansa,0
"答弁書,とうべんかき",answer,2
"頭状花,とうじょうはな",anthodium,0
"凍結防止,とうけつぼうし",antifreeze,0
"届出伝染病,とどけででんせんびょう",anzeigepflichtige,0
"特徴漸減,とくちょうぜんげん",apeidosis,0
"頓絶法,とんぜつほう",aposiopesis,0
"頓呼法,とんこほう",apostrophe,0
"登場,とうじょう",appearance,5
"統覚,とうかく",apperception,0
"統覚性,とうかくせい",apperceptiveness,0
"塗布,とふ",application,3
"塗布器,とふうつわ",applicator,0
"取り決め,とりきめ",appointment,4
"騰貴,とうき",appreciation,0
"徒弟,とてい",apprentice,0
"取り組み方,とりくみほう",approach,0
"通弧,とおりこ",arc-through,0
"図書課,としょか",Archives Division,0
"徳性,とくせい",arete,0
"陶土,とうつち",argil,0
"討論,とうろん",argument,0
"討議,とうぎ",argument,0
"討議,とうぎ",argumentation,0
"討論,とうろん",argumentation,0
"戸棚,とだな",armoire,0
"取り決め,とりきめ",arrangement,0
"滞り,とどこおり",arrear,0
"滞り,とどこおり",arrearage,0
"到着,とうちゃく",arrival,0
"到着便,とうちゃくびん",arrival,0
"トイレットペーパー,といれっとぺーぱー",arse-wipe,0
"トイレットペーパー,といれっとぺーぱー",arse-wiper,0
"投石機,とうせきき",artillery,0
"特科団,とくかだん",Artillery Brigade,0
"登高器,とうたかうつわ",ascendeur,0
"トウワタ属,とうわたぞく",Asclepias,0
