meanings,word,score
"奴隷制度廃止,どれいせいどはいし",abolition,0
"奴隷制度廃止論,どれいせいどはいしろん",abolitionism,0
"動植物相,どうしょくぶつそう",aborigine,0
"同意,どうい",accedence,0
"努力賞,どりょくしょう",accessit,0
"動原体を欠く染色体,どうはらからだをかくせんしょくたい",acentric,0
"どう猛,どうたけし",acharnement,0
"同意,どうい",acknowledgment,0
"ドングリ,どんぐり",acorn,0
"貪欲さ,どんよくさ",acquisitiveness,0
"動作法,どうさほう",act-out,0
"動作,どうさ",action,0
"動作主体,どうさしゅからだ",actor,4
"毒針,どくばり",aculeus,0
"洞察力,どうさつりょく",acumen,0
"ドーハ・ジャディーダ,どーは・じゃでぃーだ",Ad Dawhah al Jadidah,0
"ドーハ,どーは",Ad-Dawhah,0
"ドン・ファンの冒険,どん・ふぁんのぼうけん",Adventures of Don Juan,0
"同年代の人,どうねんだいのにん",age-mate,0
"同年配の人,どうねんはいのにん",agelike,0
"動作主性,どうさしゅせい",agency,0
"動作主,どうさしゅ",agent,0
"動作主を示す,どうさしゅをしめす",agentive,0
"動作主性,どうさしゅせい",agentivity,0
"土塁,どるい",agger,0
"動揺,どうよう",agitation,0
"同意性,どういせい",agreeableness,0
"同調性,どうちょうせい",agreeableness,0
"同意,どうい",agreement,0
"独立行政法人農畜産業振興機構,どくりつぎょうせいほうじんのうちくさんぎょうしんこうきこう",Agriculture & Livestock Industries Corporation,0
"土壌学,どじょうがく",agrology,0
"土壌型,どじょうかた",agrotype,0
"道路,どうろ",agyrophobia,0
"同盟,どうめい",alignment,0
"同盟,どうめい",alliance,0
"同盟党,どうめいとう",Alliance Party,0
"同種抗体,どうしゅこうたい",alloantibody,0
"同種抗血清,どうしゅこうけっせい",alloantiserum,0
"同種,どうしゅ",allogeanic,0
"同種移植片,どうしゅいしょくへん",allograft,0
"同種溶血素,どうしゅようちもと",allohemolysin,0
"同種免疫,どうしゅめんえき",alloimmunity,0
"同種免疫,どうしゅめんえき",alloimmunization,0
"同質異形,どうしついぎょう",allomorphism,0
"同種反応性,どうしゅはんのうせい",alloreactivity,0
"同種感作,どうしゅかんさく",allosensitization,0
"同種移植,どうしゅいしょく",allotransplant,0
"同素体,どうもとからだ",allotrope,0
"同素体,どうもとからだ",allotropism,0
"同素体,どうもとからだ",allotropy,0
"同盟国,どうめいくに",ally,0
"同調者,どうちょうしゃ",ally,0
"同族,どうぞく",ally,0
"同類,どうるい",ally,0
"ドロミチアルプス,どろみちあるぷす",Alpi Dolomitiche,0
"同窓生,どうそうせい",alumnus,0
"道楽,どうらく",amateurism,0
"土壌改良剤,どじょうかいりょうざい",ameliorant,0
"土壌改良剤,どじょうかいりょうざい",amendment,0
"同化,どうか",anabolism,0
"同化作用,どうかさよう",anabolism,0
"同化産物,どうかさんぶつ",anabolite,0
"読書衰弱,どくしょすいじゃく",anagnosasthenia,0
"動脈瘤,どうみゃくりゅう",aneurism,0
"動脈瘤,どうみゃくりゅう",aneurysm,0
"動脈瘤,どうみゃくりゅう",aneurysma,0
"動脈瘤切除,どうみゃくりゅうせつじょ",aneurysmectomy,0
"動脈瘤整復,どうみゃくりゅうせいふく",aneurysmoplasty,0
"動脈瘤形成,どうみゃくりゅうけいせい",aneurysmorrhaphy,0
"動脈瘤切開,どうみゃくりゅうせっかい",aneurysmotomy,0
"動物,どうぶつ",animal,1
"動物農場,どうぶつのうじょう",Animal Farm,0
"動物衛生課,どうぶつえいせいか",Animal Health Division,0
"動物法務協議会,どうぶつほうむきょうぎかい",Animal Law Conference,0
"動物検疫所,どうぶつけんえきしょ",Animal Quarantine Service,0
"動物愛護管理室,どうぶつあいごかんりしつ",Animal Welfare and Management Office,0
"動物の世界,どうぶつのせかい",Animal World,0
"動物界,どうぶつかい",Animalia,0
"動物的行動,どうぶつてきこうどう",animalism,0
