meanings,word,score
"奈落,ならく",Abaddon,0
"投げやり,なげやり",abandonment,0
"難解さ,なんかいさ",abstrusity,0
"難解なこと,なんかいなこと",abstrusity,0
"奈落の底,ならくのそこ",abyss,0
"棘状突起,なつめじょうとっき",acantha,0
"棘魚類,なつめぎょるい",acanthodian,0
"棘細胞離開,なつめさいぼうりかい",acantholysis,0
"棘細胞腫,なつめさいぼうしゅ",acanthoma,0
"棘孔,なつめあな",acanthopore,0
"棘鰭類,なつめひれるい",Acanthopteri,0
"棘鰭類の,なつめひれるいの",acanthopterygian,0
"棘鰭類,なつめひれるい",Acanthopterygii,0
"訛り,なまり",accent,0
"ナイトの爵位授与,ないとのしゃくいじゅよ",accolade,0
"成し遂げること,なしとげること",achievement,6
"軟骨無形成,なんこつむけいせい",achondrogenesis,0
"軟骨形成不全,なんこつけいせいふぜん",achondroplasia,0
"夏の叫び,なつのさけび",Acorn People,0
"軟性線維腫,なんせいせんいしゅ",acrochordon,0
"名宛人,なあてにん",addressee,0
"内転,ないてん",adduction,0
"内転筋,ないてんすじ",adductor,0
"内転,ないてん",adtorsion,0
"内陣,ないじん",adytum,0
"夏緑樹林,なつみどりきはやし",aestatilignosa,0
"夏緑林,なつみどりはやし",aestilignosa,0
"名残,なごり",afterglow,0
"名残,なごり",aftertaste,0
"何をニュースとして取り上げるかの判断,なにをにゅーすとしてとりあげるかのはんだん",agenda-setting,0
"軟口蓋鼻音を表す記号,なんこうがいびおんをあらわすきごう",agma,0
"ナウル航空,なうるこうくう",Air Nauru,0
"内蔵タラップ,ないぞうたらっぷ",airstair,0
"内部通路,ないぶつうろ",aisleway,0
"ナフード,なふーど",Al Nafud,0
"何でもできる人,なんでもできるにん",all-arounder,0
"中欧連合軍,なかおうれんごうぐん",Allied Forces Central Europe,0
"南欧連合軍,なんおうれんごうぐん",Allied Forces Southern Europe,0
"仲間の毛繕い,なかまのけつくろい",allo-grooming,0
"波の打ち寄せ,なみのうちよせ",alluvion,0
"無月経,なつきけい",amenia,0
"無月経,なつきけい",amenorrhea,0
"南北アメリカ大陸,なんぼくあめりかたいりく",America,1
"長く熱い夜,ながくあついよる",American Murder,0
"南北アメリカ大陸,なんぼくあめりかたいりく",Americas,0
"ナメクジウオ,なめくじうお",amphioxus,0
"ナメクジウオ属,なめくじうおぞく",Amphioxus,0
"慰み,なぐさみ",amusement,4
"ナブク,なぶく",An-Nabk,0
"ナジャフ,なじゃふ",An-Najaf,0
"ナーシリーヤ,なーしりーや",An-Nasiriyah,0
"内先き型,ないさききかた",anadromy,0
"軟腫,なんしゅ",anbury,0
"軟腫,なんしゅ",angleberry,0
"ナンバンコマツナギ,なんばんこまつなぎ",anil,0
"滑らかな動きができるロボットの製造技術,なめらかなうごきができるろぼっとのせいぞうぎじゅつ",animatoronics,0
"生神女福音祭,なまかみおんなふくいんまつり",annunciation,0
"南極圏,なんきょくけん",Antarctic,0
"南極列島,なんきょくれつしま",Antarctic Archipelago,0
"南極半島,なんきょくはんしま",Antarctic Peninsula,0
"南極,なんきょく",Antarctica,0
"南極大陸,なんきょくたいりく",Antarctica,0
"南極人,なんきょくにん",Antarctican,0
"波腹,なみはら",antinode,0
"悩みの種,なやみのたね",anxiety,0
"ナベブタムシ科,なべぶたむしか",Aphelocheiridae,0
"内突起,ないとっき",apodema,0
"内突起,ないとっき",apodemata,0
"内突起,ないとっき",apodeme,0
"難透水層,なんとうるみずそう",aquiclude,0
"ナンヨウスギ属の高木,なんようすぎぞくのたかぎ",araucaria,0
"ナンヨウスギ属,なんようすぎぞく",Araucaria,0
"ナンヨウスギ科,なんようすぎか",Araucariaceae,0
"長椅子,ながいす",archebanc,0
"ナガヒメダニ属,ながひめだにぞく",Argas,0
"並べ方,ならべほう",arrangement,0
"成り上がり者,なりあがりもの",arriviste,0
"難民を助ける会,なんみんをたすけるかい","Association for Aid and Relief, Japan",0
"難民収容所,なんみんしゅうようじょ",asylum,0
"ナス,なす",aubergine,0
"ナスビ,なすび",aubergine,0
"ナスビ色,なすびしょく",aubergine,0
"内生群体,ないなまぐんからだ",autocolony,0
"雪崩,なだれ",avalanche,0
"並木道,なみきみち",avenue,0
"並,なみ",average,0
"ナンピン,なんぴん",averaging,0
"喃語,なんご",babbling,0
"泣き虫,なきむし",baby,1
"難解な,なんかいな",bafflegab,0
"ナガスクジラ属,ながすくじらぞく",Balaenoptera,0
"ナガスクジラ科,ながすくじらか",Balaenopteridae,0
"投げること,なげること",ball,1
"慰め,なぐさめ",balm,0
"ナンセンス,なんせんす",baloney,0
"並び,ならび",bank,1
"名古屋銀行,なごやぎんこう","Bank of Nagoya, Ltd.",0
"納屋,なや",barn,3
"納屋の周囲の庭,なやのしゅういのにわ",barnyard,0
"中綿,なかめん",batting,0
"縄張り争い,なわばりあらそい",battle over territory,0
"泣き声,なきこえ",bawl,0
"ナポリ湾,なぽりわん",Bay of Naples,0
"何兆億,なにちょうおく",bazillion,0
"渚のチャーリー,なぎさのちゃーりー",Beach Balls,0
"長く続く大波,ながくつづくおおなみ",beacher,0
"縄張り,なわばり",beat,0
"ナマコ,なまこ",beche-de-mer,0
"苗床,なえとこ",bed,0
"ナンキンムシ,なんきんむし",bedbug,0
"長椅子,ながいす",bench,1
"情け深さ,なさけふかさ",benevolentness,0
"ナンセンス,なんせんす",berley,0
"内通者,ないつうもの",betrayer,0
"仲の良い女友達,なかのよいおんなともだち",beyotch,0
"なたがま,なたがま",billhook,0
"生分解性,なまぶんかいせい",biodegradability,0
"生分解性プラスチック研究会,なまぶんかいせいぷらすちっくけんきゅうかい",Biodegradable Plastics Society,0
"生分解性,なまぶんかいせい",biodegradablility,0
"生分解,なまぶんかい",biodegradation,0
"生元素,なまげんそ",bioelement,0
"生分子,なまぶんし",biomolecule,0
"生重合体,なまじゅうごうからだ",biopolymer,0
