meanings,word,score
"日本雑記,にっぽんざっき",A Japanese Miscellany,0
"入門,にゅうもん",ABC,0
"入門書,にゅうもんしょ",abecedarian,0
"入門書,にゅうもんしょ",abecedarium,0
"入門書,にゅうもんしょ",abecedary,0
"妊娠中絶,にんしんちゅうぜつ",aborticide,0
"妊娠中絶薬,にんしんちゅうぜつくすり",abortifacient,0
"妊娠中絶,にんしんちゅうぜつ",abortion,0
"妊娠中絶権,にんしんちゅうぜつけん",abortion-on-demand,0
"妊娠中絶賛成論,にんしんちゅうぜつさんせいろん",abortionism,0
"妊娠中絶手術を行う人,にんしんちゅうぜつしゅじゅつをおこなうにん",abortionist,0
"入門書,にゅうもんしょ",absey-book,0
"ニガヨモギ,にがよもぎ",absinth,0
"ニガヨモギ,にがよもぎ",absinthe,0
"ニセアカシア,にせあかしあ",acacia,0
"日本組織学会,にっぽんそしきがくかい",Academic Association for Organizational Science,0
"日本管打・吹奏楽学会,にっぽんかんだ・すいそうがくがっかい",Academic Society of Japan for Winds Percussion and Band,0
"日本顎咬合学会,にっぽんあごこうごうがっかい",Academy of Gnathology and Occlusion,0
"ニザダイ科,にざだいか",Acanthuridae,0
"ニザダイ亜科,にざだいあか",Acanthurinae,0
"ニザダイ亜目,にざだいあめ",Acanthuroidei,0
"忍従,にんじゅう",acceptance,0
"入手,にゅうしゅ",accessibility,0
"認証評価,にんしょうひょうか",accreditation,7
"認定管理組織,にんていかんりそしき",Accredited Management Organization,0
"認定基準委員会X3,にんていきじゅんいいんかいえっくすさん",Accredited Standards Committee X3,0
"日本エイサー,にっぽんえいさー",Acer Japan Corporation,0
"にきび,にきび",acne,0
"入手者,にゅうしゅもの",acquirer,0
"尿失禁,にょうしっきん",acraturesis,0
"乳頭炎,にゅうとうほのお",acromastitis,0
"日本を泳ごう委員会,にっぽんをおよごういいんかい",Across Nippon Swims Committee,0
"日射計,にっしゃけい",actinometer,0
"乳酸銀,にゅうさんぎん",actol,0
"人間,にんげん",Adamite,0
"日本接着学会,にっぽんせっちゃくがっかい",Adhesion Society of Japan,0
"認容されること,にんようされること",admissibility,0
"入場,にゅうじょう",admission,4
"入場料,にゅうじょうりょう",admission,4
"入館料,にゅうかんりょう",admission,4
"入会料金,にゅうかいりょうきん",admission,4
"入学者選考,にゅうがくしゃせんこう",admission,4
"入学許可者数,にゅうがくきょかものかず",admission,4
"入場,にゅうじょう",admittance,0
"日本原子力学会倫理委員会,にっぽんげんしりょくがっかいりんりいいんかい",AESJ Ethics Committee,0
"認知,にんち",affiliation,0
"人および人民の権利に関するアフリカ委員会,にんおよびじんみんのけんりにかんするあふりかいいんかい",African Commission on Human and People's Rights,0
"二次会,にじかい",after-party,0
"二番作,にばんさく",aftercrop,0
"二番刈り,にばんかり",aftercrop,0
"二番刈りの草,にばんかりのくさ",aftergrass,0
"二番作,にばんさく",aftergrowth,0
"二番刈り,にばんかり",aftermath,7
"日本アグフア・ゲバルト株式会社,にっぽんあぐふあ・げばるとかぶしきがいしゃ","Agfa-Gevaert Japan, Ltd.",0
"日本農業経済学会,にっぽんのうぎょうけいざいがくかい",Agricultural Economics Society of Japan,0
"日本農業史学会,にっぽんのうぎょうしがくかい",Agricultural History Society of Japan,0
"日本農業市場学会,にっぽんのうぎょうしじょうがっかい",Agricultural Marketing Society of Japan,0
"ニワウルシ,にわうるし",ailanthus,0
"ニワウルシ属,にわうるしぞく",Ailanthus,0
"日本エア・リキード株式会社,にっぽんえあ・りきーどかぶしきがいしゃ","Air Liquide Japan, Ltd.",0
