meanings,word,score
"布滞留装置,ぬのたいりゅうそうち",accumulator,0
"抜け目なさ,ぬけめなさ",adroitness,0
"塗油室,ぬりあぶらしつ",alipterion,0
"縫い代,ぬいだい",allowance,0
"塗油,ぬりあぶら",anointment,0
"塗ること,ぬること",application,3
"抜け目なさ,ぬけめなさ",astucity,0
"抜け目なさ,ぬけめなさ",astuteness,0
"ヌマエビ科,ぬまえびか",Atyidae,0
"ヌマシカ,ぬましか",barasingha,0
"抜き身の刀,ぬきみのかたな",bare sword,0
"ヌスビトハギ,ぬすびとはぎ",beggarweed,0
"布張りの肘掛け椅子,ぬのはりのひじかけけいす",bergere,0
"ヌマハコベ,ぬまはこべ",blinks,0
"塗りたてのしっくいの膨らみ,ぬりたてのしっくいのふくらみ",blub,0
"沼地,ぬまち",bog,0
"沼,ぬま",bog,0
"沼地,ぬまち",bogland,0
"沼地の住人,ぬまちのじゅうにん",bogtrotter,0
"抜け穴,ぬけあな",bolt-hole,0
"ヌタウナギ,ぬたうなぎ",borer,0
"ぬか,ぬか",bran,0
"布達拉,ぬのとおるらつ",Budala,0
"盗み聞きする人,ぬすみぎきするにん",burrole,0
"抜け出すこと,ぬけだすこと",bust-out,0
"盗み,ぬすみ",caper,0
"盗まれた少女,ぬすまれたしょうじょ",Cathy's Child,0
"ヌカカ,ぬかか",ceratopogonid,0
"抜け穴,ぬけあな",chink,0
"盗み寄生,ぬすみきせい",cleptoparasitism,0
"布,ぬの",cloth,0
"塗り,ぬり",coat,1
"塗工機,ぬりこうき",coater,0
"抜け毛,ぬけけ",combing,0
"盗むこと,ぬすむこと",copping,0
"ヌママムシ,ぬままむし",cottonmouth,0
"ヌートリア,ぬーとりあ",coypou,0
"ヌートリアの毛皮,ぬーとりあのけがわ",coypou,0
"ヌートリア,ぬーとりあ",coypu,0
"ヌートリアの毛皮,ぬーとりあのけがわ",coypu,0
"ヌートリア,ぬーとりあ",coypus,0
"抜け道,ぬけみち",cryptoporticus,0
"抜け目のなさ,ぬけめのなさ",cunning,0
"塗る人,ぬるにん",dabber,0
"ぬれタオル,ぬれたおる",damp towel,0
"ヌーバ山脈,ぬーばさんみゃく",Dar Nuba,0
"塗ること,ぬること",daub,0
"塗る人,ぬるにん",dauber,0
"塗り道具,ぬりどうぐ",dauber,0
"脱着,ぬぎき",desorption,0
"抜け目なさ,ぬけめなさ",dexterity,0
"抜き勾配,ぬきこうばい",draft,0
"抜き取り線,ぬきとりせん",draw line,0
"盗み聞きをする人,ぬすみぎきをするにん",earwig,0
"ヌマガメ科,ぬまがめか",Emydidae,0
"ヌタウナギ属,ぬたうなぎぞく",Eptatretus,0
"ぬぐい消すこと,ぬぐいけすこと",erasure,0
"沼沢地,ぬまさわち",everglade,0
"抜き書き,ぬきかき",excerption,0
"抜き出すこと,ぬきだすこと",extraction,0
"抜き取ったもの,ぬきとったもの",extraction,0
"抜いた歯,ぬいたは",extraction,0
"抜け殻,ぬけから",exuvia,0
"布,ぬの",fabric,6
"沼地,ぬまち",fen,0
"沼沢地,ぬまさわち",fenland,0
"布,ぬの",fiber,0
"抜け目のないやつ,ぬけめのないやつ",file,0
"ぬれぎぬ,ぬれぎぬ",frame-up,0
"盗み,ぬすみ",ganking,0
"盗み見,ぬすみけん",glime,0
"ヌー,ぬー",gnu,0
"布目,ぬのめ",grain,0
"ヌノサラシ科,ぬのさらしか",Grammistidae,0
"ヌタウナギ,ぬたうなぎ",hagfish,0
"盗んだもうけ,ぬすんだもうけ",haul,7
"沼沢植物,ぬまさわしょくぶつ",helophyte,0
"塗り残し,ぬりのこし",holiday,2
"塗り落ち,ぬりおち",holiday,2
"抜け目のない駆け引き,ぬけめのないかけひき",horse-trading,0
"ぬらぬらの亜麻の塊,ぬらぬらのあまのかい",Hurds,0
"抜け殻,ぬけから",husk,0
"塗擦療法,ぬりさつりょうほう",iatraliptics,0
"塗擦,ぬりさつ",infriction,0
"塗油,ぬりあぶら",inunction,0
"抜き差しならない関係,ぬきさしならないかんけい",involvement,0
"盗み寄生,ぬすみきせい",kleptoparasitism,0
"盗み,ぬすみ",knockoff,0
"ヌーシャテル湖,ぬーしゃてるみずうみ",Lac de Neuchatel,0
"ヌガミ湖,ぬがみみずうみ",Lake Nugami,0
"ぬかるみ,ぬかるみ",loblolly,0
"抜け穴,ぬけあな",loophole,0
"抜け道,ぬけみち",loophole,0
"盗んだ物,ぬすんだもの",loot,7
"沼地,ぬまち",marish,0
"沼地,ぬまち",marsh,0
"沼地帯,ぬまちおび",marsh,0
"沼地,ぬまち",mere,0
"抜け落ちること,ぬけおちること",mew,0
"沼地,ぬまち",mire,0
"ぬかるみ,ぬかるみ",mire,0
"沼地,ぬまち",moor,0
"沼地,ぬまち",morass,0
"ぬかるみ,ぬかるみ",mud,0
"ヌマワニ,ぬまわに",mugger,0
"ヌマワニ,ぬまわに",muggur,0
"ヌートリア属,ぬーとりあぞく",Myocastor,0
"ヌートリア科,ぬーとりあか",Myocastoridae,0
"ヌタウナギ綱,ぬたうなぎつな",Myxini,0
"ヌタウナギ科,ぬたうなぎか",Myxinidae,0
"ヌタウナギ目,ぬたうなぎめ",Myxiniformes,0
"ヌジャメナ,ぬじゃめな",N'djamena,0
"ヌガウンデレ,ぬがうんでれ",N'Gaundere,0
"ヌドラク,ぬどらく",Nadlac,0
"ヌジョレ,ぬじょれ",Ndjole,0
"ヌドーラ,ぬどーら",Ndola,0
"縫い針,ぬいはり",needle,0
"縫い針に通して使う糸の長さ,ぬいはりにとうしてつかういとのながさ",needleful,0
"ヌグリスンビラン州,ぬぐりすんびらんしゅう",Negeri Sembilan,0
"ヌムール,ぬむーる",Nemours,0
"ヌーシャテル,ぬーしゃてる",Neuchatel,0
"ヌイイシュルセーヌ,ぬいいしゅるせーぬ",Neuilly-sur-Seine,0
"ヌベール,ぬべーる",Nevers,0
"ヌゴング,ぬごんぐ",Ngong,0
"ヌグケレニ,ぬぐけれに",Ngqeleni,0
"ヌギグミ,ぬぎぐみ",Nguigmi,0
"ヌルタム,ぬるたむ",Ngultrum,0
"ヌル,ぬる",Ngultrum,0
"ヌグル,ぬぐる",Nguru,0
"ヌジョンベ,ぬじょんべ",Njombe,0
"ヌカンドラ,ぬかんどら",Nkandla,0
"ヌカイ,ぬかい",Nkayi,0
"ヌコンサンバ,ぬこんさんば",Nkongsamba,0
"ヌカカ,ぬかか",no-see-um,0
"ヌムフォル島,ぬむふぉるしま",Noemfoor,0
"ヌーク,ぬーく",nook,0
"ヌックサック,ぬっくさっく",Nooksack,0
"ヌース,ぬーす",noose,0
"ヌトカ島,ぬとかしま",Nootka,0
"ヌートカ湾,ぬーとかわん",Nootka Sound,0
"ヌーラ,ぬーら",Nora,0
"ヌアディブー,ぬあでぃぶー",Nouadhibou,0
"ヌアクショット,ぬあくしょっと",Nouakchott,0
"ヌガー,ぬがー",nougat,0
"ヌードル,ぬーどる",nouilles,0
"ヌメア,ぬめあ",Noumea,0
"ヌース,ぬーす",nous,0
"ヌーベルアンベルス,ぬーべるあんべるす",Nouvelle Anvers,0
"ヌゾンビル,ぬぞんびる",Nouzonville,0
"ヌカマクウェ,ぬかまくうぇ",Nqamakwe,0
"ヌクツ,ぬくつ",Nqutu,0
"ヌリッタ,ぬりった",nritta,0
"ヌリティヤ,ぬりてぃや",nritya,0
"ヌサワム,ぬさわむ",Nsawam,0
"ヌスク,ぬすく",Nsku,0
"ヌスカ,ぬすか",Nsukka,0
"ヌスタ,ぬすた",Nsuta,0
"ヌバ族,ぬばぞく",Nuba,0
"ヌバ語,ぬばご",Nuba,0
"ヌビア,ぬびあ",Nubia,0
"ヌビア人,ぬびあにん",Nubian,0
"ヌビア砂漠,ぬびあさばく",Nubian Desert,0
"ヌーブラ,ぬーぶら",NuBra,0
"ヌブラ川,ぬぶらかわ",Nubra,0
"ヌクレアーゼ,ぬくれあーぜ",nuclease,0
"ヌクレイン,ぬくれいん",nuclein,0
"ヌクレイン酵素,ぬくれいんこうそ",nucleinase,0
"ヌクレオカプシド,ぬくれおかぷしど",nucleocapsid,0
"ヌクレオヒストン,ぬくれおひすとん",nucleohistone,0
"ヌークリオン,ぬーくりおん",nucleon,0
"ヌクレオポリン,ぬくれおぽりん",nucleoporin,0
"ヌクレオプロタミン,ぬくれおぷろたみん",nucleoprotamine,0
"ヌクレオシダーゼ,ぬくれおしだーぜ",nucleosidase,0
"ヌクレオシド,ぬくれおしど",nucleoside,0
"ヌクレオソーム,ぬくれおそーむ",nucleosome,0
"ヌクレオチダーゼ,ぬくれおちだーぜ",nucleotidase,0
"ヌクレオチド,ぬくれおちど",nucleotide,0
"ヌクレオチジルトランスフェラーゼ,ぬくれおちじるとらんすふぇらーぜ",nucleotidyltransferase,0
"ヌード,ぬーど",nuddy,0
"ヌード,ぬーど",nude,0
"ヌーディスト,ぬーでぃすと",nudist,0
"ヌードゥシェ,ぬーどぅしぇ",Nudsheh,0
"ヌエル族,ぬえるぞく",Nuer,0
"ヌエバアスンシオン,ぬえばあすんしおん",Nueva Asuncion,0
"ヌエバエシハ州,ぬえばえしはしゅう",Nueva Ecija,0
"ヌエバエスパルタ州,ぬえばえすぱるたしゅう",Nueva Esparta,0
"ヌエバオコテペケ,ぬえばおこてぺけ",Nueva Ocotepeque,0
"ヌエバロシタ,ぬえばろした",Nueva Rosita,0
"ヌエバサンサルバドル,ぬえばさんさるばどる",Nueva San Salvador,0
"ヌエバビスカヤ州,ぬえばびすかやしゅう",Nueva Vizcaya,0
"ヌエベ・デ・フリオ,ぬえべ・で・ふりお",Nueve de Julio,0
"ヌエビタス,ぬえびたす",Nuevitas,0
"ヌエボラレド,ぬえぼられど",Nuevo Laredo,0
"ヌエボレオン州,ぬえぼれおんしゅう",Nuevo Leon,0
"ヌエボ・サン・フアン,ぬえぼ・さん・ふあん",Nuevo San Juan,0
"ヌグマノボ,ぬぐまのぼ",Nugumanovo,0
"ヌーカーバード,ぬーかーばーど",Nukabad,0
"ヌハ,ぬは",Nukha,0
"ヌークアロファ,ぬーくあろふぁ",Nukualofa,0
"ヌクス,ぬくす",Nukus,0
"ヌラヌラ,ぬらぬら",nulla-nulla,0
"ヌーラー,ぬーらー",nullo,0
"ヌム,ぬむ",Num,0
"ヌマンチア,ぬまんちあ",Numantia,0
"ヌモラニ,ぬもらに",Numolani,0
"ヌモルファン,ぬもるふぁん",numorphan,0
"ヌンクアム,ぬんくあむ",Numquam,0
"ヌン川,ぬんかわ",Nun,0
"ヌン・クン山,ぬん・くんやま",Nun Kun,0
"ヌナタク,ぬなたく",nunatak,0
"ヌナブト,ぬなぶと",Nunavut,0
"ヌンチャク,ぬんちゃく",nunchaku,0
"ヌニバク島,ぬにばくしま",Nunivak,0
"ヌオロ,ぬおろ",Nuoro,0
"ヌペ族,ぬぺぞく",Nupe,0
"ヌーラーバード,ぬーらーばーど",Nurabad,0
"ヌレク,ぬれく",Nurak,0
"ヌラタ,ぬらた",Nurata,0
"ヌレク,ぬれく",Nurek,0
"ヌーリスターン,ぬーりすたーん",Nurestan,0
"ヌリ族,ぬりぞく",Nuri,0
"ヌルラ,ぬるら",Nurla,0
"ヌルラト,ぬるらと",Nurlat,0
"ヌサトゥンガラバラット州,ぬさとぅんがらばらっとしゅう",Nusa Tenggara Barat,0
"ヌサトゥンガラティムール州,ぬさとぅんがらてぃむーるしゅう",Nusa Tenggara Timur,0
"ヌサイビン,ぬさいびん",Nusaybin,0
"ヌーシャーバード,ぬーしゃーばーど",Nushabad,0
"ヌシキ,ぬしき",Nushki,0
"ヌテラ,ぬてら",Nutella,0
"ヌテッラ,ぬてっら",Nutella,0
"ヌーテ川,ぬーてかわ",Nuthe,0
"ヌートリア,ぬーとりあ",nutria,0
"ヌートリアの毛皮,ぬーとりあのけがわ",nutria,0
"ヌーン,ぬーん",nuun,0
"ヌーバリング,ぬーばりんぐ",NuvaRing,0
"ヌーボメディア,ぬーぼめでぃあ",NuvoMedia,0
"ヌワコート,ぬわこーと",Nuwakot,0
"ヌワラエリヤ,ぬわらえりや",Nuwara Eliya,0
"ヌウェイバ,ぬうぇいば",Nuweiba,0
"ヌマミズキ属,ぬまみずきぞく",Nyssa,0
"ヌマミズキ科,ぬまみずきか",Nyssaceae,0
"抜き刷り,ぬきずり",offprint,0
"沼地,ぬまち",ooze,0
"抜け口,ぬけくち",outlet,0
"抜き手,ぬきて",overhand,0
"塗り重ねること,ぬりかさねること",overspray,0
"布片,ぬのへん",patch,0
"盗み見,ぬすみけん",peep,0
"ヌマミズキ,ぬまみずき",pepperidge,0
"塗擦,ぬりさつ",perfrication,0
"布のけば立ち,ぬののけばたち",pilling,0
"盗み,ぬすみ",pinch,0
"盗む人,ぬすむにん",pincher,0
"盗人,ぬすびと",pincher,0
"ぬいぐるみ,ぬいぐるみ",plushie,0
"ぬいぐるみなどに性的関心を持つ人,ぬいぐるみなどにせいてきかんしんをもつにん",plushophile,0
"抜け目なさ,ぬけめなさ",policy,0
"沼,ぬま",pond,2
"抜け目なさ,ぬけめなさ",prudence,0
"ヌークリーチャー／血肉のしたたり,ぬーくりーちゃー／ちにくのしたたり",Pultonium Baby,0
"抜き型,ぬきかた",punch,0
"ヌカカ,ぬかか",punkie,0
"盗まれた手紙,ぬすまれたてがみ",Purloined Letter,0
"ぬかるんだ土地,ぬかるんだとち",quagmire,0
"沼地,ぬまち",quagmire,0
"抜け道,ぬけみち",rat-run,0
"ぬれ羽色,ぬれはねしょく",raven,0
"布張りの修理,ぬのはりのしゅうり",re-upholstery,0
"塗り重ね,ぬりおもね",recoating,0
"塗り直し,ぬりなおし",recoating,0
"塗り換え,ぬりかえ",refinishing,0
"塗り直し,ぬりなおし",repaint,0
"盗み,ぬすみ",rip-off,0
"盗む人,ぬすむにん",ripper-offer,0
"沼地熱,ぬまちねつ",Schlammfieber,0
"塗ること,ぬること",schmear,0
"塗ること,ぬること",schmeer,0
"ぬれ手に粟,ぬれてにあわ",scoop,6
"縫い目,ぬいめ",seam,0
"縫い合わせる人,ぬいあわせるにん",seamer,0
"抜き刷り,ぬきずり",separate,6
"抜き刷り,ぬきずり",separatum,0
"縫い物,ぬいもの",sewing,0
"縫った物,ぬったもの",sewing,0
"縫うべき物,ぬうべきもの",sewing,0
"縫い込み,ぬいこみ",sewn-in,0
"抜け目のないやつ,ぬけめのないやつ",sharpie,0
"抜け殻,ぬけから",shedding,0
"抜け道,ぬけみち",shortcut,0
"抜け目のない人,ぬけめのないにん",shrewdie,0
"抜け目なさ,ぬけめなさ",shrewdness,0
"抜かすこと,ぬかすこと",skip,0
"ぬかるみ,ぬかるみ",slew,0
"沼沢,ぬまさわ",slew,0
"沼地,ぬまち",slew,0
"ぬかるみ,ぬかるみ",slop,0
"ぬかるみ,ぬかるみ",slough,0
"沼沢,ぬまさわ",slough,0
"沼地,ぬまち",slough,0
"抜け皮,ぬけかわ",slough,0
"抜け殻,ぬけから",slough,0
"脱ぎ捨てたもの,ぬぎすてたもの",slough,0
"ぬかるみ,ぬかるみ",sludge,0
"ぬかるみ,ぬかるみ",slush,0
"ぬかるみのようにどろどろしていること,ぬかるみのようにどろどろしていること",slushiness,0
"抜け目ないこと,ぬけめないこと",smartness,0
"塗り付ける物,ぬりつけるもの",smear,0
"ぬいぐるみのウサギ,ぬいぐるみのうさぎ",snugglebunny,0
"抜け駆け移住者,ぬけがけいじゅうしゃ",sooner,0
"盗み,ぬすみ",steal,4
"盗み,ぬすみ",stealage,0
"盗む人,ぬすむにん",stealer,0
"縫い糸,ぬいいと",stitch,0
"縫い合わせる人,ぬいあわせるにん",stitcher,0
"縫うこと,ぬうこと",stitching,0
"縫い目,ぬいめ",stitching,0
"抜き取り板,ぬきとりいた",stripper,0
"縫い目,ぬいめ",suture,0
"ぬぐい液,ぬぐいえき",swab,0
"沼地,ぬまち",swamp,0
"沼沢地,ぬまさわち",swampland,0
"布の切れ端,ぬののきれはし",tag,0
"布地,ぬのじ",textile,0
"盗み,ぬすみ",theft,0
"盗み,ぬすみ",Theft,0
"盗人,ぬすびと",thief,4
"盗むこと,ぬすむこと",thievery,0
"盗人根性,ぬすびとこんじょう",thievishness,0
"抜け目なさ,ぬけめなさ",thievishness,0
"縫いひだ,ぬいひだ",tuck,0
"ヌマミズキ,ぬまみずき",tupelo,0
"脱殻,ぬけがら",uncoating,0
"塗油,ぬりあぶら",unction,0
"ぬた場,ぬたば",wallow,0
"縫い代ろ,ぬいかわろ",welting,0
"ぬらすこと,ぬらすこと",wetting,0
"ぬれている状態,ぬれているじょうたい",wide-on,0
"布,ぬの",wrap,0
"布地の長さ,ぬのじのながさ",yardage,0
