meanings,word,score
"燃焼を促進させるもの,ねんしょうをそくしんさせるもの",accelerant,0
"熱望,ねつぼう",ache,0
"熱中している人,ねっちゅうしているにん",addict,0
"熱狂的な愛好者,ねっきょうてきなあいこうしゃ",addict,0
"熱中,ねっちゅう",addiction,0
"粘着,ねんちゃく",adherence,0
"粘着力,ねんちゃくりょく",adhesibility,0
"粘着性物質,ねんちゃくせいぶっしつ",adhesive,0
"ネットワーク管理組織,ねっとわーくかんりそしき",administration,6
"熱愛,ねつあい",adoration,0
"値上がり株,ねあがりかぶ",advance,0
"値上げ,ねあげ",advance in price,0
"熱核エネルギーの原子力委員会事業計画,ねつかくえねるぎーのげんしりょくいいんかいじぎょうけいかく",AEC program in thermonuclear energy,0
"猫好き,ねこずき",aelurophilia,0
"猫恐怖,ねこきょうふ",aelurophobia,0
"猫嫌い,ねこきらい",aelurophobia,0
"熱力学線図,ねつりきがくせんず",aerogram,0
"熱力学線図,ねつりきがくせんず",aerogramme,0
"熱気療法,ねっきりょうほう",aerothermotherapy,0
"年代,ねんだい",aetas,0
"熱狂的なファン,ねっきょうてきなふぁん",aficionado,0
"熱烈な愛好者,ねつれつなあいこうしゃ",aficionado,0
"年齢,ねんれい",age,0
"年齢に適していること,ねんれいにてきしていること",age-appropriateness,0
"年齢詐称,ねんれいさしょう",age-fraud,0
"年齢階級,ねんれいかいきゅう",age-group,0
"年齢層,ねんれいそう",age-group,0
"年齢選別による経営規模縮小,ねんれいせんべつによるけいえいきぼしゅくしょう",age-sizing,0
"年とった人たち,ねんとったにんたち",aged,0
"年齢による差別,ねんれいによるさべつ",ageism,0
"年齢差別,ねんれいさべつ",agism,0
"猫好き,ねこずき",ailurophile,0
"猫好き,ねこずき",ailurophilia,0
"猫嫌い,ねこきらい",ailurophobe,0
"猫恐怖症の人,ねこきょうふしょうのにん",ailurophobe,0
"猫恐怖,ねこきょうふ",ailurophobia,0
"猫嫌い,ねこきらい",ailurophobia,0
"狙うこと,ねらうこと",aim,0
"ネフド砂漠,ねふどさばく",Al-Nefud,0
"ネムノキ属の木,ねむのきぞくのき",albizzia,0
"ネギ科,ねぎか",Alliaceae,0
"ネギ属,ねぎぞく",allium,0
"ネギ属,ねぎぞく",Allium,0
"値引き,ねびき",allowance,0
"年鑑,ねんかん",almanac,0
"年鑑,ねんかん",almanack,0
"熱望,ねつぼう",ambition,0
"熱意,ねつい",ambition,0
"熱帯地方の住民,ねったいちほうのじゅうみん",amphiscians,0
"熱帯地方の住民,ねったいちほうのじゅうみん",amphiscii,0
