meanings,word,score
"能力,のうりょく",ability,5
"罵り,ののしり",abuse,0
"上り坂,のぼりざか",acclivity,0
"上り傾斜,のぼりけいしゃ",acclivity,0
"ノコギリソウ属の植物,のこぎりそうぞくのしょくぶつ",achillea,0
"能動態,のうどうたい",active,0
"能動受動,のうどうじゅどう",activo-passive,0
"呑気症,のんきしょう",aerophagia,0
"呑気症,のんきしょう",aerophagy,0
"後焼き,のちやき",after-baking,0
"後露光,のちろこう",after-exposure,0
"後過分極,のちかぶんきょく",after-hyperpolarization,0
"後分離,のちぶんり",after-separation,0
"後縮み,のちちぢみ",after-shrinkage,0
"後産,のちさん",afterbirth,0
"後脳,のちのう",afterbrain,0
"後燃え,のちもえ",afterburning,0
"後収縮,のちしゅうしゅく",aftercontraction,0
"後電流,のちでんりゅう",aftercurrent,0
"後脱分極,のちだつぶんきょく",afterdepolarization,0
"後作用,のちさよう",aftereffect,0
"後羽,のちはね",afterfeather,0
"後めっき,のちめっき",aftergilding,0
"後イメージ,のちいめーじ",afterimage,0
"残された人生,のこされたじんせい",afterlife,0
"後に続く時期,のちにつづくじき",afterlight,0
"後負荷,のちふか",afterload,0
"後充填法,のちじゅうてんほう",afterloading,0
"後運動,のちうんどう",aftermovement,0
"後に起こる痛み,のちにおこるいたみ",afterpain,0
"後認知,のちにんち",afterperception,0
"後戯,のちぎ",afterplay,0
"後電位,のちでんい",afterpotential,0
"後熟,のちじゅく",afterripening,0
"後羽,のちはね",aftershaft,0
"後からの思い付き,のちからのおもいつき",afterthought,0
"後知恵,のちちえ",afterthought,0
"後療法,のちりょうほう",aftertreatment,0
"後知恵,のちちえ",afterwit,0
"後の世,のちのよ",afterworld,0
"農産物価格の高騰,のうさんぶつかかくのこうとう",agflation,0
"農産物価格の上昇が引き起こすインフレ,のうさんぶつかかくのじょうしょうがひきおこすいんふれ",agflation,0
"農業大学,のうぎょうだいがく",aggie,0
"農地改革者,のうちかいかくもの",agrarian,0
"農地改革論,のうちかいかくろん",agrarianism,0
"農産物の輸出,のうさんぶつのゆしゅつ",agri-export,0
"農業食品,のうぎょうしょくひん",agri-food,0
"農業関連産業,のうぎょうかんれんさんぎょう",agri-industry,0
"農業関連産業,のうぎょうかんれんさんぎょう",agribusiness,0
"農業関連産業人,のうぎょうかんれんさんぎょうにん",agribusinessman,0
"農薬,のうやく",agrichemical,0
"農業関連産業会社,のうぎょうかんれんさんぎょうかいしゃ",agricorporation,0
"農業調整局,のうぎょうちょうせいきょく",Agricultural Adjustment Administration,0
"農水産業協同組合貯金保険機構,のうすいさんぎょうきょうどうくみあいちょきんほけんきこう",Agricultural and Fishery Cooperative Savings Insurance Corporation,0
"農水産課,のうすいさんか",Agricultural and Marine Products Division,0
"農水産室,のうすいさんしつ",Agricultural and Marine Products Office,0
"農薬環境管理室,のうやくかんきょうかんりしつ",Agricultural Chemicals Control Office,0
"農薬対策室,のうやくたいさくしつ",Agricultural Chemicals Office,0
"農業保全調整局,のうぎょうほぜんちょうせいきょく",Agricultural Conservation and Adjustment Administration,0
"農業協同組合課,のうぎょうきょうどうくみあいか",Agricultural Cooperatives Division,0
"農業金融公社,のうぎょうきんゆうこうしゃ",Agricultural Credit Corporation,0
"農産物の輸出,のうさんぶつのゆしゅつ",agricultural export,0
"農地業務課,のうちぎょうむか",Agricultural Land Operation Division,0
"農地業務室,のうちぎょうむしつ",Agricultural Land Operation Office,0
"農地政策課,のうちせいさくか",Agricultural Land Policy Planning Division,0
"農業資材審議会,のうぎょうしざいしんぎかい",Agricultural Material Council,0
"農業機械化審議会,のうぎょうきかいかしんぎかい",Agricultural Mechanization Council,0
"農政審議会,のうせいしんぎかい",Agricultural Policy Council,0
"農政部,のうせいぶ",Agricultural Policy Planning Department,0
"農産園芸局,のうさんえんげいきょく",Agricultural Production Bureau,0
"農業研究所,のうぎょうけんきゅうしょ",Agricultural Research Administration,0
"農事試験場,のうじしけんじょう",Agricultural Research Service,0
"農業研究事業団,のうぎょうけんきゅうじぎょうだん",Agricultural Research Service,0
"農業研究部,のうぎょうけんきゅうぶ",Agricultural Research Service,0
"農業安定保全局,のうぎょうあんていほぜんきょく",Agricultural Stabilization and Conservation Service,0
"農業賃金委員会,のうぎょうちんぎんいいんかい",Agricultural Wages Committee,0
"農業用水対策室,のうぎょうようみずたいさくしつ",Agricultural Water Management Office,0
"農業,のうぎょう",agriculture,0
"農学,のうがく",agriculture,0
"農耕,のうこう",agriculture,0
"農業水産部,のうぎょうすいさんぶ",Agriculture and Fisheries Department,0
"農畜産振興事業団,のうちくさんしんこうじぎょうだん",Agriculture and Livestock Industry Promotion Corporation,0
"農務省,のうつとむしょう",Agriculture Department,0
"農業技術者協会,のうぎょうぎじゅつしゃきょうかい",Agriculture Engineers Association,0
"農地開発機械公団,のうちかいはつきかいこうだん",Agriculture Land Development Machinery Public Corporation,0
"農林水産検査課,のうりんすいさんけんさか","Agriculture, Forest and Fisheries Audit Division",0
"農林水産部,のうりんすいさんぶ","Agriculture, Forestry and Fisheries Department",0
"農林水産課,のうりんすいさんか","Agriculture, Forestry and Fisheries Division",0
"農林漁業金融公庫,のうりんぎょぎょうきんゆうこうこ","Agriculture, Forestry and Fisheries Finance Corporation",0
"農林漁業保険審査会,のうりんぎょぎょうほけんしんさかい","Agriculture, Forestry and Fisheries Insurance Council",0
"農林水産技術会議,のうりんすいさんぎじゅつかいぎ","Agriculture, Forestry and Fisheries Research Council",0
"農林水産研究情報センター,のうりんすいさんけんきゅうじょうほうせんたー","Agriculture, Forestry and Fisheries Research Information Center",0
"農業主義,のうぎょうしゅぎ",agriculturism,0
"農業専門家,のうぎょうせんもんか",agriculturist,0
"農学者,のうがくもの",agriculturist,0
"農業遺伝学,のうぎょういでんがく",agrigenetics,0
"農耕用トラクター,のうこうようとらくたー",agrimotor,0
"農業用プラスチック,のうぎょうようぷらすちっく",agriplast,0
"農業パワー,のうぎょうぱわー",agripower,0
"農業企業家,のうぎょうきぎょういえ",agripreneur,0
"農産物,のうさんぶつ",agriproduct,0
"農業生産物,のうぎょうせいさんぶつ",agriproduct,0
"農業科学,のうぎょうかがく",agriscience,0
"農業経済学,のうぎょうけいざいがく",agro-economics,0
"農産業,のうさんぎょう",agro-industry,0
"農業生物学,のうぎょうせいぶつがく",agrobiology,0
"農薬,のうやく",agrochemical,0
"農業気候,のうぎょうきこう",agroclimate,0
"農業気候学,のうぎょうきこうがく",agroclimatology,0
"農業生態系,のうぎょうせいたいけい",agroecosystem,0
"農業地質学者,のうぎょうちしつがくもの",agrogeologist,0
"農業地質学,のうぎょうちしつがく",agrogeology,0
"農業都市,のうぎょうとし",agrogorod,0
"農業気象学,のうぎょうきしょうがく",agrometeorology,0
"農学,のうがく",agronomics,0
"農業経済学,のうぎょうけいざいがく",agronomics,0
"農学者,のうがくもの",agronomist,0
"農学,のうがく",agronomy,0
"農業政策,のうぎょうせいさく",agropolitics,0
"農産品加工,のうさんひんかこう",agroprocessing,0
"農業技術者,のうぎょうぎじゅつしゃ",agrotechnician,0
"農産品加工業の専門技術者,のうさんひんかこうぎょうのせんもんぎじゅつしゃ",agrotechnician,0
"農業科学技術,のうぎょうかがくぎじゅつ",agrotechnology,0
"農産品加工業,のうさんひんかこうぎょう",agrotechny,0
"農業テロ,のうぎょうてろ",agroterrorism,0
"脳回欠損,のうかいけっそん",agyria,0
"糊粉,のりこな",aleurone,0
"望みの全て,のぞみのすべて",all you want,0
"乗り物恐怖,のりものきょうふ",amaxophobia,0
"ノブドウ,のぶどう",ampelopsis,0
"ノブドウ属,のぶどうぞく",Ampelopsis,0
"のろい,のろい",anathema,0
"咽候筋けいれん,のどそうろうすじけいれん",anchone,0
"ノルマン系英国人,のるまんけいえいこくじん",Anglo-Norman,0
"ノアの洪水以前の,のあのこうずいいぜんの",antediluvian,0
"望み,のぞみ",anxiety,0
"ノミ目,のみめ",Aphaniptera,0
"能なし,のうなし",applehead,0
"能力,のうりょく",aptitude,0
"能力,のうりょく",armory,0
"能力,のうりょく",art,0
"のぼる,のぼる",ascender,0
"上り坂,のぼりざか",ascent,0
"農村計画学会,のうそんけいかくがっかい",Association of Rural Planning,0
"ノイズ,のいず",Astraunotes' Wife,0
"脳発育不全,のうはついくふぜん",atelencephalia,0
"濃紫色,のうむらさきいろ",aubergine,0
"飲めや歌えの大騒ぎ,のめやうたえのおおさわぎ",bacchanalianism,0
"飲み騒ぐ人,のみさわぐにん",bacchant,0
"後管寄せ,のちかんよせ",back-header,0
"後屈,のちくつ",backbend,0
"後屈,のちくつ",backbending,0
"後背地,のちせち",backland,0
"後浜,のちはま",backshore,0
"後視,のちし",backsight,0
"上り法面,のぼりほうめん",backslope,0
"後背湿地,のちせしっち",backswamp,0
"のろい,のろい",bad-mouth,0
"のろま,のろま",bakehead,0
"残り,のこり",balance,0
"のろい,のろい",ban,6
"飲み屋,のみや",bar,0
"の支配をめぐっての～との戦い,のしはいをめぐっての～とのたたかい",battle against ~ over control of,0
"のろし,のろし",beacon,0
"能なし,のうなし",beefhead,0
"ノートルダムの鐘,のーとるだむのかね",Bells of Notre Dame,0
"飲み物,のみもの",belly-wash,0
"能なし,のうなし",berk,0
"飲み物,のみもの",beverage,0
"飲み物,のみもの",bevvy,0
"ノウゼンカズラ科,のうぜんかずらか",Bignoniaceae,0
"能なし,のうなし",bird-brain,0
"能なし,のうなし",birk,0
"野牛,のうし",bison,0
"嚢,のう",bladder,0
"のこ刃,のこは",blade,5
"膿疱,のうほう",blain,0
"能なし,のうなし",blubberbrain,0
"能なし,のうなし",blubberhead,0
"能なし,のうなし",blunderhead,0
"乗り込み要員,のりこみよういん",boarder,0
"ノーブランド品,のーぶらんどひん",bobos,0
"ノーブランドのシューズ,のーぶらんどのしゅーず",bobos,0
"野原・林・果樹園などが混在する田園,のはら・はやし・かじゅえんなどがこんざいするでんえん",bocage,0
"濃度,のうど",body,7
"能なし,のうなし",bollock-brain,0
"農奴,のうど",bondsman,0
"能なし,のうなし",bonehead,0
"能なし,のうなし",bonetop,0
"能なし,のうなし",boofhead,0
"飲み騒ぎ,のみさわぎ",booze-up,0
"飲み屋,のみや",boozerie,0
"飲み騒ぎ,のみさわぎ",boozeroo,0
"飲み屋,のみや",boozery,0
"農場,のうじょう",bowery,0
"能なし,のうなし",bozo,0
"能なし,のうなし",brack-brain,0
"脳,のう",brain,0
"脳膿瘍,のううみよう",brain abscess,0
