meanings,word,score
"排除,はいじょ",abatement,0
"廃止,はいし",abolishment,0
"廃棄,はいき",abolishment,0
"廃止,はいし",abolition,0
"廃絶,はいぜつ",abolition,0
"廃止論者,はいしろんしゃ",abolitionist,0
"恥ずべきこと,はずべきこと",abomination,0
"剥離,はくり",abrasion,0
"剥奪,はくだつ",abridgment,0
"破棄,はき",abrogation,0
"廃止,はいし",abrogation,0
"廃止者,はいしもの",abrogator,0
"剥離,はくり",abruptio,0
"春にして君を離れ,はるにしてくんをはなれ",Absent in the Spring,0
"ハリエンジュ,はりえんじゅ",acacia,0
"犯罪科学会,はんざいかがくかい",Academy of Criminal Justice Sciences,0
"ハチクラゲの一種,はちくらげのいっしゅ",acaleph,0
"針でつつかれるような病的感覚,はりでつつかれるようなびょうてきかんかく",acanthesthesia,0
"鼻棘点,はななつめてん",acanthion,0
"ハアザミ,はあざみ",acanthus,0
"反応促進剤,はんのうそくしんざい",accelerant,0
"ハイタカ属のタカ,はいたかぞくのたか",accipiter,0
"拍手喝采,はくしゅかっさい",acclaim,0
"拍手喝采,はくしゅかっさい",acclamation,0
"発声投票,はっせいとうひょう",acclamation,0
"発生,はっせい",accrual,0
"発生主義,はっせいしゅぎ",accrual,0
"激しさ,はげしさ",acerbity,0
"瘢痕形成肉芽,はんこんけいせいにくが",acestoma,0
"腹吸盤,はらきゅうばん",acetabulum,0
"白斑,はくはん",achromoderma,0
"白斑,はくはん",achromodermia,0
"針状の部分,はりじょうのぶぶん",acicula,0
"激しい応酬,はげしいおうしゅう",acrimoniousness,0
"離れ技,はなれわざ",acrobatism,0
"端背板,はじせいた",acrotergite,0
"俳優,はいゆう",act,0
"花虫類動物,はなむしるいどうぶつ",actinozoan,0
"働き,はたらき",action,0
"俳優,はいゆう",actor,4
"俳優兼活動家,はいゆうけんかつどうか",actor-activist,0
"俳優兼マネージャー,はいゆうけんまねーじゃー",actor-manager,0
"俳優出身の政治家,はいゆうしゅっしんのせいじか",actor-turned-politician,0
"俳優出身の大統領,はいゆうしゅっしんのだいとうりょう",actor-turned-President,0
"俳優労働組合,はいゆうろうどうくみあい",Actors Equity Association,0
"俳優兼活動家,はいゆうけんかつどうか",actorvist,0
"鍼学,はりがく",acuology,0
"鍼,はり",acupuncture,0
"鍼治療,はりちりょう",acupuncture,0
"鍼療法,はりりょうほう",acupuncture,0
"鍼師,はりし",acupuncturist,0
"針,はり",acus,0
"ハナヤスリ,はなやすり",adder's-tongue,0
"話し方,はなしかた",address,6
"発信者,はっしんしゃ",addresser,0
"話し掛ける人,はなしかけるにん",addresser,0
"判決,はんけつ",adjudgment,0
"判決,はんけつ",adjudication,0
"破産宣告,はさんせんこく",adjudication,0
"配分,はいぶん",admeasurement,0
"発展,はってん",advancement,0
"ハイラム氏の大冒険,はいらむしのだいぼうけん",Adventures of Hiram Holliday,0
"ハックルベリー・フィンの冒険,はっくるべりー・ふぃんのぼうけん",Adventures of Huckleberry Finn,0
"話しやすい性格,はなしやすいせいかく",affableness,0
"貼り紙,はりがみ",affiche,0
"破擦音,はさつおん",affricate,0
"破擦音化,はさつおんか",affrication,0
"破擦音,はさつおん",affricative,0
"反解釈,はんかいしゃく",Against Interpretation,0
"ハラタケ,はらたけ",agaric,0
"ハラタケ科,はらたけか",agaricaceae,0
"ハラタケ目,はらたけめ",Agaricales,0
"ハラタケ属,はらたけぞく",Agaricus,0
"敗北の時代,はいぼくのじだい",Age of Defeat,0
"働き,はたらき",agency,0
"発育不全,はついくふぜん",agenesia,0
"発育不全,はついくふぜん",agenesis,0
"腹立たしさ,はらだたしさ",aggravation,0
"腹立たしいこと,はらだたしいこと",aggravation,0
"激しい苦痛,はげしいくつう",agony,0
"激しい感情,はげしいかんじょう",agony,0
"ハイチソレノドン,はいちそれのどん",agouta,0
"ハモグリバエ科,はもぐりばえか",Agromyzidae,0
"半睡状態,はんすいじょうたい",agrypnocoma,0
"針葉喬木林,はりはたかしきはやし",aiculisilvae,0
"羽根飾り,はねかざり",aigrette,0
"肺,はい",air-bag,0
"ハムド,はむど",Al Hamd,0
"ハムラ砂漠,はむらさばく",Al Hamra,0
"ハールサ,はーるさ",Al Hartha,0
"ハウタ,はうた",Al Hawtah,0
"ハイー,はいー",Al Hayy,0
"ハイヤニヤ,はいやにや",Al Hayyaniyah,0
"ハブーラ,はぶーら",Al Khaburah,0
"ハルーフ,はるーふ",Al Khaluf,0
"ハディーサ,はでぃーさ",Al-Hadithah,0
"ハジャル・アスワド,はじゃる・あすわど",Al-Hajar al-Aswad,0
"ハリーク,はりーく",Al-Hariq,0
"ハサカ,はさか",Al-Hasakah,0
"ハワームディーヤ,はわーむでぃーや",Al-Hawamdiyah,0
"ハウラ,はうら",Al-Hawrah,0
"ハイ,はい",Al-Hayy,0
"ハリール,はりーる",Al-Khalil,0
"ハーンカ,はーんか",Al-Khankah,0
"ハルジ,はるじ",Al-Kharj,0
"ハサブ,はさぶ",Al-Khasab,0
"ハルツーム,はるつーむ",Al-Khurtum,0
"ハルツームバフリー,はるつーむばふりー",Al-Khurtum Bahri,0
"白色方解石,はくしょくほうかいせき",alabaster,0
"ハワイガラス,はわいがらす",alala,0
"ハコヤナギ,はこやなぎ",alamo,0
"胚乳,はいにゅう",albumen,0
"ハーテビースト亜科,はーてびーすとあか",Alcelaphinae,0
"ハーテビースト属,はーてびーすとぞく",Alcelaphus,0
"ハゴロモグサ,はごろもぐさ",alchemilla,0
"ハンの木,はんのき",alder,0
"反感,はんかん",allergy,0
"配分,はいぶん",allocation,0
"ハンノキ属,はんのきぞく",Alnus,0
"ハンセン病,はんせんびょう",alpho,0
"ハナミョウガ属,はなみょうがぞく",alpinia,0
"ハクバン,はくばん",alum,0
"肺胞,はいほう",alveo,0
"歯槽痛,はそうつう",alveoalgia,0
"歯槽痛,はそうつう",alveolalgia,0
"歯槽,はそう",alveolar,0
"肺胞形成,はいほうけいせい",alveolarization,0
"歯槽骨切除,はそうほねせつじょ",alveolectomy,0
"肺胞炎,はいほうほのお",alveolitis,0
"歯槽骨炎,はそうほねほのお",alveolitis,0
"肺胞,はいほう",alveolo,0
"歯茎口蓋音,はぐきこうがいおん",alveolo-palatal,0
"肺胞気管支造影,はいほうきかんしぞうえい",alveolobronchography,0
"歯槽崩壊,はそうほうかい",alveoloclasia,0
"肺胞障害,はいほうしょうがい",alveolopathy,0
"歯槽形成術,はそうけいせいじゅつ",alveoloplasty,0
"歯槽突起披裂,はそうとっきひれつ",alveoloschisis,0
"歯槽切開,はそうせっかい",alveolotomy,0
"肺胞,はいほう",alveolus,0
"歯槽,はそう",alveolus,0
"歯茎硬口蓋音,はぐきこうこうがいおん",alveopalatal,0
"歯槽形成術,はそうけいせいじゅつ",alveoplasty,0
"ハワイミツスイ,はわいみつすい",amakihi,0
"範囲,はんい",ambit,0
"張り込み,はりこみ",ambush,0
"話しやすい性格,はなしやすいせいかく",amiableness,0
"破水,はすい",amniorrhexis,0
"剥離,はくり",amotion,0
"剥奪,はくだつ",amotion,0
"半関節,はんかんせつ",amphiarthrosis,0
"腹面葉,はらめんは",amphigastrium,0
"端脚類,はじあしるい",amphipod,0
"端脚目,はじあしめ",Amphipoda,0
"反射計,はんしゃけい",anacamptometer,0
"破格構文,はかくこうぶん",anacoluthia,0
"破格構文,はかくこうぶん",anacoluthon,0
"煩渇,はんかつ",anadipsia,0
"反乱指導者,はんらんしどうしゃ",anarch,0
"破門,はもん",anathema,0
"灰鉄ザクロ石,はいてつざくろいし",andradite,0
"発香リン,はつかおりりん",androconium,0
"発情休止期,はつじょうきゅうしき",anestrum,0
"発情休止期,はつじょうきゅうしき",anestrus,0
"反社会病者,はんしゃかいびょうもの",anethopath,0
