meanings,word,score
"抜粋,ばっすい",abridgment,0
"ばらばらに裂けること,ばらばらにさけること",abruptio,0
"抜粋,ばっすい",abstract,5
"ばかばかしさ,ばかばかしさ",absurdity,7
"ばかげたこと,ばかげたこと",absurdity,7
"伴奏,ばんそう",accompaniment,0
"伴奏者,ばんそうしゃ",accompanist,0
"買収,ばいしゅう",acquisition,5
"バッタ科,ばったか",Acrididae,0
"バッタ上科,ばったうえか",Acridoidea,0
"場当たり的な対応,ばあたりてきなたいおう",ad hocery,0
"場当たり的な対応,ばあたりてきなたいおう",ad-hocism,0
"バオバブ属,ばおばぶぞく",Adansonia,0
"番地,ばんち",address,6
"場当たり的に決められたこと,ばあたりてきにきめられたこと",adhocery,0
"買受人,ばいじゅにん",adjudicataire,0
"バロン,ばろん",Adventures of Baron Munchausen,0
"媒介,ばいかい",agent,0
"バーハ,ばーは",Al Bahah,0
"バチン,ばちん",Al Batin,0
"バーディヤト・アルジュヌビヤ,ばーでぃやと・あるじゅぬびや",Al-Badiyat alJunubiyah,0
"バフルアルアフマル,ばふるあるあふまる",Al-Bahr al-Ahmar,0
"バトハー,ばとはー",Al-Batha,0
"バイダー,ばいだー",Al-Bayda',0
"麦芽酢,ばくがす",alegar,0
"ばかな人,ばかなにん",alf,0
"万物溶解液,ばんぶつようかいえき",alkahest,0
"万能選手,ばんのうせんしゅ",all-arounder,0
"万能薬草といわれている植物,ばんのうやくくさといわれているしょくぶつ",allheal,0
"晩熟性,ばんじゅくせい",altrical,0
"晩成鳥,ばんせいとり",altrices,0
"晩成鳥,ばんせいとり",altricial,0
"晩成性,ばんせいせい",altricity,0
"礬土石,ばんつちいし",aluminite,0
"ばか,ばか",amadan,0
"罰金,ばっきん",amende,0
"罰金を科すこと,ばっきんをかすこと",amercement,0
"バトル・マスター／USAサムライ伝説,ばとる・ますたー／ゆーえすえーさむらいでんせつ",American Samurai,0
"バーバリシープ属,ばーばりしーぷぞく",Ammotragus,0
"爆弾,ばくだん",ammunition,7
"場違いのもの,ばちがいのもの",anachorism,0
"バラ十字会,ばらじゅうじかい",Ancient Mystical Order Rosae Crucis,0
"ばか者,ばかもの",Angora,0
"バイオノイド,ばいおのいど",Annihilator,0
"バンレイシ属の木,ばんれいしぞくのき",annona,0
"バンレイシ属,ばんれいしぞく",Annona,0
"バンレイシ科,ばんれいしか",Annonaceae,0
"バンレイシ属の木,ばんれいしぞくのき",anona,0
"万物復興,ばんぶつふっこう",apocatastasis,0
"晩堂課,ばんどうか",apodeipnon,0
"万物復興,ばんぶつふっこう",apokatastasis,0
"ばか者,ばかもの",applehead,0
"場所,ばしょ",area,3
"爆烈！アリゾナ・ヒート,ばくれつ！ありぞな・ひーと",Arizona Heat,0
"バイマンカ川,ばいまんかかわ",Arroyo Vallimanca,0
"ばか,ばか",ass,0
"ばかな,ばかな",asshat,0
"ばか者,ばかもの",asshead,0
"ばか者,ばかもの",asshole,0
"陪審審理,ばいしんしんり",assize,0
"バングラデシュと手をつなぐ会,ばんぐらでしゅとてをつなぐかい",Association to Join Hands with Bangladesh,0
"バートラム・ホテルにて,ばーとらむ・ほてるにて",At Bertram's Hotel,0
"バッティング技術,ばってぃんぐぎじゅつ",at-bat,0
"バス,ばす",autobus,0
"爆撃機,ばくげきき",B-1,0
"爆撃機,ばくげきき",B-1 bomber,0
"バスケットボール,ばすけっとぼーる",b-ball,0
"バスケットボール選手,ばすけっとぼーるせんしゅ",b-baller,0
"バスケットボールをする人,ばすけっとぼーるをするにん",b-baller,0
"バー,ばー",ba,0
"バアブダー,ばあぶだー",Baabda,0
"バアル,ばある",baal,0
"バル,ばる",baal,0
"バール,ばーる",Baal,0
"バールベック,ばーるべっく",Baalbek,0
"バーオ,ばーお",Baao,0
"バール,ばーる",Baar,0
"バールレヘルトーホ,ばーるれへるとーほ",Baarle-Hertog,0
"バールン,ばーるん",Baarn,0
"バースカップ,ばーすかっぷ",Baasskap,0
"バース党支持者,ばーすとうしじしゃ",Baathist,0
"バース党員,ばーすとういん",Baathist,0
"バーブ・アナール,ばーぶ・あなーる",Bab Anar,0
"バブ・エル・マンデブ海峡,ばぶ・える・まんでぶかいきょう",Bab el Mandeb,0
"バーバ,ばーば",baba,0
"ババ,ばば",baba,0
"ババコ,ばばこ",babaco,0
"ババエスキ,ばばえすき",Babaeski,0
"ババオヨ,ばばおよ",Babahoyo,0
"ババイコラ川,ばばいこらかわ",Babai Khola,0
"ババナンゴ,ばばなんご",Babanango,0
"ババル諸島,ばばるしょしま",Babar,0
"バーバーラシャーニー,ばーばーらしゃーにー",Babarashani,0
"バーブル・ナーマ,ばーぶる・なーま",Babarnama,0
"ババエボ,ばばえぼ",Babayevo,0
"バッバル,ばっばる",Babbar,0
"バビット合金,ばびっとごうきん",babbitt,0
"バビット,ばびっと",Babbitt,0
"バベル,ばべる",Babel,0
"バベル17,ばべるじゅうしち",Babel-17,0
"バベルダオブ島,ばべるだおぶしま",Babeldaob,0
"バベルダオブ島,ばべるだおぶしま",Babeldaob Island,0
"バベルトゥアプ島,ばべるとぅあぷしま",Babelthuap,0
"バベルトゥアプ島,ばべるとぅあぷしま",Babelthuap Island,0
"バベシア,ばべしあ",babesia,0
"バベシア属,ばべしあぞく",Babesia,0
"バベシア症,ばべしあしょう",babesiasis,0
"バベシア科,ばべしあか",Babesiidae,0
