meanings,word,score
"パートタイムのお手伝いさん,ぱーとたいむのおてつだいさん",accommodator,0
"パイロット,ぱいろっと",airman,0
"パキスタン合同銀行,ぱきすたんごうどうぎんこう",Allied Bank of Pakistan Limited,0
"巴里のアメリカ人,ぱりのあめりかにん",An American in Paris,0
"パイナップル科アナナス属の植物,ぱいなっぷるかあななすぞくのしょくぶつ",ananas,0
"パサージュ論,ぱさーじゅろん",Arcade Project,0
"パンノキ属,ぱんのきぞく",Artocarpus,0
"パイロット,ぱいろっと",aviator,0
"パルマ湾,ぱるまわん",Bahia de Palma,0
"パイチョン白城,ぱいちょんしろしろ",Baicheng,0
"パイチュウ,ぱいちゅう",baijiu,0
"パイリンミヤオ,ぱいりんみやお",Bailingmiao,0
"パイソー,ぱいそー",Baise,0
"パイトー,ぱいとー",Baitou,0
"パン焼きコンテスト,ぱんやきこんてすと",bake-off,0
"パン焼き場,ぱんやきば",bakehouse,0
"パン職人,ぱんしょくにん",baker,3
"パン屋の主人,ぱんやのしゅじん",baker,3
"パン・菓子類を売る店,ぱん・かしるいをうるみせ",bakery,0
"パン屋,ぱんや",bakery,0
"パン・菓子類の製造所,ぱん・かしるいのせいぞうしょ",bakery,0
"パン・菓子類,ぱん・かしるい",bakery,0
"パーキンソン病,ぱーきんそんびょう",ballism,0
"パンチャオ,ぱんちゃお",Banchiao,0
"パラグアイ中央銀行,ぱらぐあいちゅうおうぎんこう",Banco Central del Paraguay,0
"パングラデシュ人,ぱんぐらでしゅにん",Bangladeshi,0
"パプアニューギニア銀行,ぱぷあにゅーぎにあぎんこう",Bank of Papua New Guinea,0
"パンチャオ,ぱんちゃお",Banqiao,0
"パリ国立銀行,ぱりこくりつぎんこう",Banque Nationale de Paris,0
"パオチー,ぱおちー",Baoji,0
"パオシャン,ぱおしゃん",Baoshan,0
"パオトウ,ぱおとう",Baotou,0
"パプティスマ,ぱぷてぃすま",bautista,0
"パーティー,ぱーてぃー",beanfeast,0
"パーティー,ぱーてぃー",beano,0
"パンタロン,ぱんたろん",bell-bottom,0
"パヴァーニー,ぱゔぁーにー",Bhavani,0
"ぱらぱら降る音,ぱらぱらふるおと",bicker,7
"パナマ運河,ぱなまうんが",Big Ditch,0
"パラパラという音,ぱらぱらというおと",blatter,0
"パトロールをする警官,ぱとろーるをするけいかん",blisterfoot,0
"パンク,ぱんく",blowout,0
"パンヤ科,ぱんやか",Bombacaceae,0
"パンフレット,ぱんふれっと",booklet,0
"パニエ,ぱにえ",bottle-carrier,0
"パン屋,ぱんや",boulangerie,0
"パン,ぱん",bread,1
"パン焼き機,ぱんやきき",bread-maker,0
"パン製造業者,ぱんせいぞうぎょうしゃ",bread-maker,0
"パン籠,ぱんかご",breadbasket,0
"パン切り台,ぱんきりだい",breadboard,0
"パンくず,ぱんくず",breadcrumb,0
"パン粉,ぱんこな",breadcrumb,0
"パンくずリスト,ぱんくずりすと",breadcrumb,0
"パンノキ,ぱんのき",breadfruit,0
"パン粉づけ,ぱんこなづけ",breading,0
"パンの配給を受ける人の列,ぱんのはいきゅうをうけるにんのれつ",breadline,0
"パンナッツ,ぱんなっつ",breadnut,0
"パン,ぱん",breadstuff,0
"パンフレット,ぱんふれっと",brochure,6
"パンフレットウェア,ぱんふれっとうぇあ",brochureware,0
"パイナップル科,ぱいなっぷるか",Bromeliaceae,0
"パイナップル目,ぱいなっぷるめ",Bromeliales,0
"パヨン山,ぱよんやま",Bukit Payong,0
"パピルス,ぱぴるす",bulrush,0
"パーティー,ぱーてぃー",bun-fight,0
"パロス岬,ぱろすみさき",Cabo de Palos,0
"パティ,ぱてぃ",cake,0
"パラドックス・ワールド,ぱらどっくす・わーるど",Caller,0
"パナマ運河地帯,ぱなまうんがちたい",Canal Zone,0
"パルマス岬,ぱるますみさき",Cape Palmas,0
"パリー岬,ぱりーみさき",Cape Parry,0
"パツセロ岬,ぱつせろみさき",Capo Passero,0
"パパイア属,ぱぱいあぞく",Carica,0
"パパイア科,ぱぱいあか",Caricaceae,0
"パロディー,ぱろでぃー",caricature,0
"パトローネ,ぱとろーね",cartridge,0
"パートタイム労働者の雇用,ぱーとたいむろうどうしゃのこよう",casualism,0
"パートタイムへの切り替え,ぱーとたいむへのきりかえ",casualization,0
"パンダ,ぱんだ",cat-bear,0
"パップ,ぱっぷ",cataplasm,0
"パーティー出張サービス,ぱーてぃーしゅっちょうさーびす",catering,0
"パニック・スクール／冒とく少年団,ぱにっく・すくーる／ぼうとくしょうねんだん",Catholic Boys,0
"パンヤノキ,ぱんやのき",ceiba,0
"パンヤ,ぱんや",ceiba,0
"パーティー,ぱーてぃー",celebration,0
"パラグアイ中央銀行,ぱらぐあいちゅうおうぎんこう",Central Bank of Paraguay,0
"パラドス山,ぱらどすやま",Cerro de los Parados,0
"パロモ山,ぱろもやま",Cerro del Palomo,0
"パンチ式の投票用紙で抜いた穴から外れる紙片部分,ぱんちしきのとうひょうようしでぬいたあなからはずれるしへんぶぶん",chad,0
"パルムの僧院,ぱるむのそういん",Charterhouse of Parma,0
"パルムの僧院,ぱるむのそういん",Charterhouse of Parme,0
"パレスチナ／怒りの戦場,ぱれすちな／いかりのせんじょう",Children of Rage,0
"パレスチナに戻ってきたユダヤ人,ぱれすちなにもどってきたゆだやにん",chozrim,0
"パトカー,ぱとかー",Christmas tree,0
"パーフェクトリバティー教団,ぱーふぇくとりばてぃーきょうだん",Church of Perfect Liberty,0
"パラシュート,ぱらしゅーと",chute,0
"パチッ,ぱちっ",clap,0
"パタン,ぱたん",clap,0
"パカパカいう音,ぱかぱかいうおと",clip-clop,0
"パカパカという音,ぱかぱかというおと",clippety-clop,0
"パカパカという音,ぱかぱかというおと",clop,0
"パッカパッカ,ぱっかぱっか",clop-clop,0
"パイプコイル,ぱいぷこいる",coil,0
"パリ・コミューン,ぱり・こみゅーん",commune,0
"パップ,ぱっぷ",compress,0
"パイプ,ぱいぷ",conduit,0
"パイカ,ぱいか",cony,0
"パチパチいう音,ぱちぱちいうおと",crackle,0
"パチパチ音,ぱちぱちおと",crackle,0
"パチパチと音を立てること,ぱちぱちとおとをたてること",crackling,0
"パチパチいうこと,ぱちぱちいうこと",crepitation,0
"パイ生地の周りを切りそろえるための器具,ぱいきじのまわりをきりそろえるためのきぐ",crimper-trimmer,0
"パリパリしたもの,ぱりぱりしたもの",crisp,0
"パリッとしたもの,ぱりっとしたもの",crisp,0
"パリッと,ぱりっと",crispness,0
"パリパリ感,ぱりぱりかん",crispness,0
"パトカー,ぱとかー",cruiser,0
"パンの柔らかい部分,ぱんのやわらかいぶぶん",crumb,0
"パンの身,ぱんのみ",crumb,0
"パン粉,ぱんこな",crumb,0
"パンくず,ぱんくず",crumb,0
"パリパリ感,ぱりぱりかん",crunchiness,0
"パンの皮,ぱんのかわ",crust,0
"パイ皮,ぱいかわ",crust,0
"パーティション,ぱーてぃしょん",cubicle,0
"パソコン通信を利用して子どもを拐かす小児愛者,ぱそこんつうしんをりようしてこどもをかいかすしょうにあいもの",cyberpedophile,0
"パナマソウ科,ぱなまそうか",Cyclanthaceae,0
"パナマソウ目,ぱなまそうめ",Cyclanthales,0
"パイプヘビ科,ぱいぷへびか",Cylindrophiidae,0
"パパ,ぱぱ",dad,3
"パパ,ぱぱ",dada,0
"パパ,ぱぱ",daddy,0
"パワーダウン,ぱわーだうん",detune,0
"パソコン通,ぱそこんとおり",digicrat,0
"パレルモ,ぱれるも",Dimenticare Palermo/to Forget Palermo,0
"パラボラアンテナ,ぱらぼらあんてな",dish,2
"パーティー,ぱーてぃー",do,3
"パソコン・インターネット医師,ぱそこん・いんたーねっといし",doc-in-a-box,0
"パフォーマンスの悪い投資,ぱふぉーまんすのわるいとうし",dog,0
"パンチ,ぱんち",doughboy,0
"パリ・ロンドン放浪記／パリ・ロンドンどん底生活,ぱり・ろんどんほうろうき／ぱり・ろんどんどんそこせいかつ",Down and Out in Paris and London,0
"パパの国,ぱぱのくに",East Is East,0
"パラサイト,ぱらさいと",Faculty,0
"パッド,ぱっど",falsie,0
"パッド入りブラジャー,ぱっどいりぶらじゃー",falsie,0
"パロディ版の同人小説,ぱろでぃはんのどうじんしょうせつ",fan-fiction,0
"パハロス島,ぱはろすしま",Farallon de Pajaros,0
"パルハル,ぱるはる",Farkhar,0
"パーティー,ぱーてぃー",fiesta,0
"パタパタ動く物,ぱたぱたうごくもの",flapper,0
"パイロット,ぱいろっと",flier,0
"パタパタ動かすこと,ぱたぱたうごかすこと",flirt,0
"パタパタと動くこと,ぱたぱたとうごくこと",flutter,0
"パイロット,ぱいろっと",flyer,0
"パーティー,ぱーてぃー",fund-raiser,0
"パーマーの危機脱出,ぱーまーのききだっしゅつ",Funeral In Berlin,0
"パリの恋人,ぱりのこいびと",Funny Face,0
"パーティー,ぱーてぃー",get-together,0
"パボニア・スピニフェクス,ぱぼにあ・すぴにふぇくす",gingerbush,0
"パッキン押さえ,ぱっきんおさえ",gland,0
"パナマ湾,ぱなまわん",Golfo de Panama,0
"パンツ,ぱんつ",gotch,0
"パラグラフ,ぱらぐらふ",graf,0
"パンの大神,ぱんのだいじん",Great God Pan,0
"パパ,ぱぱ",Great Santini (The Ace),0
"パイオニア,ぱいおにあ",groundbreaker,0
"パプア湾,ぱぷあわん",Gulf of Papua,0
"パンジー,ぱんじー",heartsease,0
"パラゴムノキ属,ぱらごむのきぞく",Hevea,0
"パンク,ぱんく",Hollywood,3
"パーカー,ぱーかー",hoodie,0
"パイパイ,ぱいぱい",hooter,0
"パブ,ぱぶ",hotel,1
"巴里ホテルの人々,ぱりほてるのひとびと",Hotel Du Paradis,0
"パアン,ぱあん",Hpa-An,0
"パンツ型おむつ,ぱんつかたおむつ",huggies,0
"パキスタン人権委員会,ぱきすたんじんけんいいんかい",Human Rights Commission of Pakistan,0
"パトカー,ぱとかー",hurry-up,0
"パキスタン産業開発銀行,ぱきすたんさんぎょうかいはつぎんこう",Industrial Development Bank of Pakistan,0
"パリ天体物理学研究所,ぱりてんたいぶつりがくけんきゅうしょ",Institut d'Astrophysique de Paris,0
"パスツール研究所,ぱすつーるけんきゅうしょ",Institut Pasteur,0
"パナマ地峡,ぱなまちきょう",Isthmus of Panama,0
"パラミツ,ぱらみつ",jackfruit,0
"パネ協,ぱねきょう",Japan Housing & Components Manufacturers Co-operative,0
