meanings,word,score
"被委付者,ひいつきもの",abandonee,0
"ひも,ひも",abbot,0
"秘密の場所,ひみつのばしょ",abditory,0
"ヒョンゴンチャイ,ひょんごんちゃい",Aberdeen,0
"光行差,ひかりぎょうさ",aberration,0
"非生物学,ひせいぶつがく",abiology,0
"卑劣さ,ひれつさ",abjection,0
"卑賤,ひせん",abjection,0
"卑下,ひげ",abjection,0
"180度の方針転換,ひゃくはちじゅうどのほうしんてんかん",about-face,0
"避難所,ひなんじょ",abri,0
"非存在,ひそんざい",absence,4
"被吸収物質,ひきゅうしゅうぶっしつ",absorbate,0
"表皮肥厚,ひょうひひこう",acanthosis,0
"引き受け,ひきうけ",acceptance,0
"引受済み手形,ひきうけすみてがた",acceptance,0
"引受人,ひきうけにん",acceptor,0
"避妊の失敗,ひにんのしっぱい",accident,4
"表彰式,ひょうしょうしき",accolade,0
"非難,ひなん",accusation,0
"被告人,ひこくにん",accused,0
"被疑者,ひぎしゃ",accused,0
"寛骨臼切除,ひろしほねうすせつじょ",acetabulectomy,0
"寛骨臼,ひろしほねうす",acetabuli,0
"寛骨臼,ひろしほねうす",acetabulo,0
"寛骨臼形成,ひろしほねうすけいせい",acetabuloplasty,0
"非染色質,ひせんしょくしつ",achromatin,0
"非染色性細胞,ひせんしょくせいさいぼう",achromatophil,0
"非染色性,ひせんしょくせい",achromatophilia,0
"皮膚色素欠乏症,ひふしきそけつぼうしょう",achromatosis,0
"日和見,ひよりみ",acrobat,0
"皮膚発育不全,ひふはついくふぜん",adermogenesis,0
"被着体,ひちゃくからだ",adherend,0
"被着材,ひちゃくざい",adherend,0
"肥満,ひまん",adiposeness,0
"肥満症,ひまんしょう",adipositas,0
"肥満,ひまん",adiposity,0
"非常勤職員,ひじょうきんしょくいん",adjunct,0
"日干しれんが,ひぼししれんが",adobe,0
"日干しれんが造りの建物,ひぼししれんがつくりのたてもの",adobe,0
"日干しれんが用の泥,ひぼししれんがようのどろ",adobe,0
"日当たりの良い斜面,ひあたりのよいしゃめん",adret,0
"火遊び,ひあそび",adventure,2
"聖所,ひじりところ",adytum,0
"庇護,ひご",aegis,0
"東風,ひがしかぜ",Aeolus,0
"飛行協会,ひこうきょうかい",Aero Society,0
"飛行神経症,ひこうしんけいしょう",aeroasthenia,0
"皮下気腫,ひかきしゅ",aerodermectasia,0
"飛行場部,ひこうじょうぶ",Aerodrome Department,0
"飛行機酔いによる嘔吐恐怖,ひこうきよいによるおうときょうふ",aeronausiphobia,0
"飛行船を操縦する人,ひこうせんをそうじゅうするにん",aeronaut,0
"品,ひん",affair,0
"被作用性,ひさようせい",affectedness,0
"ひらめき,ひらめき",afflatus,0
"昼下がり,ひるさがり",afternoon,1
"昼間のゲーム,ひるまのげーむ",afternooner,0
"非配偶体,ひはいぐうからだ",agamete,0
"非配偶体,ひはいぐうからだ",agametophyte,0
"被害者,ひがいしゃ",aggrieved,0
"ひょう疽,ひょうそ",agnail,0
"広場,ひろば",agora,0
"広場恐怖症の人,ひろばきょうふしょうのにん",agoraphobe,0
"広場恐怖外出嫌い,ひろばきょうふがいしゅつきらい",agoraphobia,0
"広場恐怖症の人,ひろばきょうふしょうのにん",agoraphobiac,0
"標的,ひょうてき",aim,0
"飛行機内出産,ひこうきないしゅっさん",airborn,0
"飛行場,ひこうじょう",airdrome,0
"飛行場部,ひこうじょうぶ",Airdrome Department,0
"飛行場,ひこうじょう",airfield,0
"飛行機での小旅行,ひこうきでのしょうりょこう",airhop,0
"飛行家,ひこういえ",airman,0
"飛行士,ひこうし",airman,0
"飛行技術,ひこうぎじゅつ",airmanship,0
"飛行機,ひこうき",airplane,0
"飛行場,ひこうじょう",airport,4
"飛行船,ひこうせん",airship,0
"ヒジャズ,ひじゃず",Al Hijaz,0
"ヒッラ,ひっら",Al Hillah,0
"人騒がせ,ひとさわがせ",alarmist,0
"ヒバリ科,ひばりか",Alaudidae,0
"洋白,ひろししろ",albata,0
"秘術,ひじゅつ",alchemy,0
"秘法,ひほう",alchemy,0
"非白血病,ひはっけつびょう",aleukemia,0
"聖アレクシス,ひじりあれくしす",Alexis,0
"氷点法,ひょうてんほう",algoscopy,0
"非約数,ひやくすう",aliquant,0
"一晩中続くもの,ひとばんじゅうつづくもの",all-nighter,0
"左中間,ひだりちゅうかん",alley,7
"ひび割れ,ひびわれ",alligatoring,0
"非自筆文書,ひじひつぶんしょ",allograph,0
"非自筆署名,ひじひつしょめい",allograph,0
"引当金,ひきあてきん",allowance,0
"筆頭同盟国,ひっとうどうめいくに",ally-in-chief,0
"洋銀,ひろしぎん",alpaca,0
"洋白,ひろししろ",alpaca,0
"洋銀,ひろしぎん",alpacca,0
"洋白,ひろししろ",alpacca,0
"皮膚色素欠乏症,ひふしきそけつぼうしょう",alphodermia,0
"皮膚色素欠乏症,ひふしきそけつぼうしょう",alphosis,0
"控え,ひかえ",alternate,0
"標高,ひょうこう",altitude,0
"筆記者,ひっきもの",amanuensis,0
"ヒユ科,ひゆか",Amaranthaceae,0
"ヒユ属,ひゆぞく",Amaranthus,0
"ヒガンバナ科,ひがんばなか",Amaryllidaceae,0
"聖具棚,ひじりぐたな",ambry,0
"潜んでいる危険,ひそんでいるきけん",ambush,0
"泌尿器疾患財団,ひつにょううつわしっかんざいだん",American Foundation for Urologic Disease,0
"品質協会,ひんしつきょうかい",American Society for Quality,0
"泌尿器学会,ひつにょううつわがっかい",American Urology Association,0
"羊膜形成,ひつじまくけいせい",amniogenesis,0
"羊膜腫,ひつじまくしゅ",amnioma,0
"羊膜,ひつじまく",amnion,0
"羊膜炎,ひつじまくほのお",amnionitis,0
"羊漿膜,ひつじしょうまく",amnioserosa,0
"羊膜動物,ひつじまくどうぶつ",amniote,0
"羊膜類,ひつじまくるい",amniote,0
"非晶質,ひあきしつ",amorphia,0
"非結晶質,ひけっしょうしつ",amorphousness,0
"罷免,ひめん",amotion,0
"額,ひたい",amount,5
"広いこと,ひろいこと",amplitude,0
"比喩,ひゆ",analogy,0
"非字母式音声表記,ひじぼしきおんせいひょうき",analphabetism,0
"被検物質,ひけんぶっしつ",analyte,0
"歪像鏡,ひずみぞうかがみ",anamorphoscope,0
"歪像,ひずみぞう",anamorphosis,0
"被相続人,ひそうぞくにん",ancestor,4
"ヒバーニアン友好団体,ひばーにあんゆうこうだんたい",Ancient Order of Hibernians,0
"聖盾,ひじりたて",ancile,0
"肘木,ひじき",ancon,0
"肘関節炎,ひじかんせつほのお",anconitis,0
"ヒメハナバチ,ひめはなばち",Andrenidae,0
"秘話,ひわ",anecdote,0
"非弾性,ひだんせい",anelasticity,0
"貧血,ひんけつ",anemia,0
"被子果植物,ひこかしょくぶつ",angiocarp,0
"皮膚脈管炎,ひふみゃくかんほのお",angiodermatitis,0
"被子植物,ひししょくぶつ",angiosperm,0
"被子植物門,ひししょくぶつもん",Angiospermae,0
"聖公会の,ひじりこうかいの",Anglican,0
"非調和性,ひちょうわせい",anharmonicity,0
"批評,ひひょう",animadversion,0
"非難,ひなん",animadversion,0
"非同期律動,ひどうきりつどう",anisorhythmia,0
"均不均翅亜目,ひとしふひとししあめ",Anisozygoptera,0
"非特定化,ひとくていか",anonymization,0
"歪視,ひずみし",anorthopia,0
"控えの間,ひかえのかん",antechamber,0
"脾脱疽,ひだつそ",anthrax,0
"ヒゲナガゾウムシ科,ひげながぞうむしか",Anthribidae,0
"ひつぎ,ひつぎ",anthropoid,0
"人食い,ひとくいい",anthropophagy,0
"ヒト嗜好性,ひとしこうせい",anthropophily,0
"氷結防止,ひょうけつぼうし",anti-icing,0
"控えの間,ひかえのかん",antichamber,0
"避妊,ひにん",anticonception,0
"避妊薬,ひにんくすり",anticonceptive,0
"貧困絶滅計画,ひんこんぜつめつけいかく",antipoverty,0
"非反すう動物,ひはんすうどうぶつ",antiruminant,0
"非懐疑派,ひかいぎは",antiskeptic,0
"非所有,ひしょゆう",aparigraha,0
"非顕晶質の火成岩,ひけんあきしつのひせいいわ",aphanite,0
"ヒダナシタケ目,ひだなしたけめ",Aphyllophorales,0
"被上訴人,ひじょうそにん",appellee,0
"ひさし,ひさし",appentice,0
"被指名人,ひしめいにん",appointee,0
"被任命者,ひにんめいもの",appointee,0
"被指定人,ひしていにん",appointee,0
"評価,ひょうか",appraisal,0
"被鑑定人,ひかんていにん",appraisee,0
"評価,ひょうか",appraisement,0
"評価,ひょうか",appreciation,0
"非実践主義,ひじっせんしゅぎ",apragmatism,0
"ヒステリー性失声症,ひすてりーせいしつこえしょう",apsithyria,0
"非透水層,ひとうるみずそう",aquifuge,0
"ヒラタカメムシ科,ひらたかめむしか",Aradidae,0
"ヒノキ科クロベ属の常緑樹,ひのきかくろべぞくのじょうりょくじゅ",arborvitae,0
"飛梁,ひはり",arc-boutant,0
"秘薬,ひやく",arcanum,0
"ヒトリガ科のガ,ひとりがかのが",arctiid,0
"ヒトリガ科,ひとりがか",Arctiidae,0
"光,ひかり",ardor,0
"比重計,ひじゅうけい",areometer,0
"比重測定法,ひじゅうそくていほう",areometry,0
"ヒ素,ひもと",aresevic,0
"ヒメダニ,ひめだに",argasid,0
"ヒメダニ科,ひめだにか",Argasidae,0
"引数,ひきすう",argument,0
"菱形の格子柄,ひしがたのこうしがら",argyle,0
"ヒョウモンチョウ族,ひょうもんちょうぞく",Argynnini,0
"引数の個数,ひきすうのこすう",arity,0
"避難所,ひなんじょ",ark,0
"肘掛け,ひじかけけ",arm,2
"聖具棚,ひじりぐたな",armarium,0
"肘掛け椅子,ひじかけけいす",armchair,0
"ひと抱え,ひとだえ",armful,0
"肘掛け,ひじかけけ",armrest,0
"火縄銃,ひなわじゅう",arquebus hackbut,0
"被膜剥離,ひまくはくり",arrachement,0
"ひき臼,ひきうす",arrastra,0
"ひき臼,ひきうす",arrastre,0
"ヒ酸塩,ひさんしお",arsenate,0
"ヒ素,ひもと",arsenic,0
"ヒ素剤,ひもとざい",arsenical,0
"ヒ素中毒,ひもとちゅうどく",arsenicosis,0
"ヒ素,ひもと",arsenicum,0
"ヒ化物,ひばけもの",arsenide,0
"ヒ華,ひはな",arsenolite,0
"ヒ素療法,ひもとりょうほう",arsenotherapy,0
"ヒ化水素,ひかすいそ",arsine,0
"火恐怖症,ひきょうふしょう",arsonphobia,0
"品目,ひんもく",article,6
"披裂軟骨,ひれつなんこつ",arytenoid,0
"披裂軟骨切除,ひれつなんこつせつじょ",arytenoidectomy,0
"披裂筋,ひれつすじ",arytenoideus,0
"披裂炎,ひれつほのお",arytenoiditis,0
"披裂軟骨固定,ひれつなんこつこてい",arytenoidopexy,0
"ヒューライツ大阪,ひゅーらいつおおさか",Asia-Pacific Human Rights Information Center,0
"ひそひそ話,ひそひそはなし",aside,0
"表情,ひょうじょう",aspect,5
"非難,ひなん",aspersion,0
"非球面性,ひきゅうめんせい",asphericity,0
"非球面レンズ,ひきゅうめんれんず",aspherics,0
"必死の暗殺者,ひっしのあんさつもの",Assassination Run,0
"被査定者,ひさていもの",assessee,0
"評価,ひょうか",assessment,0
"評価額,ひょうかひたい",assessment,0
"評決,ひょうけつ",assize,0
"百貨店協会,ひゃっかてんきょうかい",Association of Department Stores,0
"引受違反訴訟,ひきうけいはんそしょう",assumpsit,0
"引き受け,ひきうけ",assumption,6
