meanings,word,score
"ビギナーズ,びぎなーず",Absolute Beginners,0
"ビジネススクール適性調査委員会,びじねすすくーるてきせいちょうさいいんかい",Accrediting Commission for Business School,0
"病的組織結合,びょうてきそしきけつごう",aclasis,0
"病的飢餓,びょうてききが",adephagia,0
"美青年,びせいねん",Adonis,0
"備忘録,びぼうろく",adversaria,0
"ビルの外壁に描かれた宣伝広告,びるのがいへきにえがかれたせんでんこうこく",advertecture,0
"美学,びがく",aesthetic,0
"美学的思想,びがくてきしそう",aesthetic,0
"美学者,びがくもの",aesthetician,0
"美容師,びようし",aesthetician,0
"美学,びがく",aesthetics,0
"美意識,びいしき",aesthetics,0
"美的感覚,びてきかんかく",aesthetics,0
"病人,びょうにん",afflicted,0
"ビー玉,びーたま",agate,0
"病原体,びょうげんたい",agent,0
"ビー玉,びーたま",aggie,0
"美の女神,びのめがみ",Aglaia,0
"微妙なテンポ変化,びみょうなてんぽへんか",Agogik,0
"備忘録,びぼうろく",aide-memoire,0
"病気,びょうき",ailment,0
"微風,びふう",air,0
"敏速さ,びんそくさ",alacrity,0
"ビンナガ,びんなが",albacore,0
"ビール検査官,びーるけんさかん",aleconner,0
"ビール店の女主人,びーるみせのおんなしゅじん",alewife,0
"ビロードアオイ属,びろーどあおいぞく",Althaea,0
"美味なもの,びみなもの",ambrosia,0
"病的快活,びょうてきかいかつ",amenomania,0
"病院薬剤師会,びょういんやくざいしかい",American Society of Health-System Pharmacists,0
"錨泊,びょうはく",anchoring,0
"微小動物,びしょうどうぶつ",animalcule,0
"微小動物,びしょうどうぶつ",animalculum,0
"病態失認,びょうたいしつにん",anosognosia,0
"微分の逆演算,びぶんのぎゃくえんざん",antidifferentiation,0
"媚薬,びやく",aphrodisiac,0
"病的旅行癖,びょうてきりょこうくせ",apodemialgia,0
"備品,びひん",appointment,4
"備品,びひん",appurtenance,0
"秒,びょう",arcsecond,0
"秒角,びょうかく",arcsecond,0
"ビンロウジュ,びんろうじゅ",areca,0
"ビンロウジュ属,びんろうじゅぞく",Areca,0
"ビルドダウン,びるどだうん",arms build-down,0
"備品,びひん",arsenal,0
"美術,びじゅつ",art,0
"美の創造,びのそうぞう",art,0
"美学,びがく",art,0
"美術品,びじゅつひん",art,0
"美的価値,びてきかち",art,0
"美容師,びようし",artiste,0
"ビジネス・コミュニケーション学会,びじねす・こみゅにけーしょんがっかい",Association for Business Communication,0
"美術科教育学会,びじゅつかきょういくがくかい",Association of Art Education,0
"微粒子化,びりゅうしか",atomization,0
"微粒子,びりゅうし",atomy,0
"ビタミン欠乏症,びたみんけつぼうしょう",avitaminosis,0
"B字形,びーじけい",B,0
"Bクラス,びーくらす",B,0
"Bサイズ,びーさいず",B,0
