meanings,word,score
"ピノキオ,ぴのきお",Adventures of Pinocchio,0
"PR記事,ぴーあーるきじ",advertorial,0
"ぴんぞろ,ぴんぞろ",ambsace,0
"PPO協会,ぴーぴーおうきょうかい",American Association of Preferred Provider Organizations,0
"ぴんぞろ,ぴんぞろ",amesace,0
"ピエロ,ぴえろ",antic,0
"ピリミジン代謝拮抗薬,ぴりみじんたいしゃきっこうくすり",antipyrimidine,0
"ピーナッツバターの上口蓋付着恐怖,ぴーなっつばたーのうえこうがいふちゃくきょうふ",arachibutyrophobia,0
"ピーナッツバターが口内の上側にくっつくのを嫌うこと,ぴーなっつばたーがくちないのうえがわにくっつくのをきらうこと",arachibutyrophobia,0
"ピラミッド,ぴらみっど",Awakening,0
"ピロプラスマ症,ぴろぷらすましょう",babesiasis,0
"ピロプラスマ症,ぴろぷらすましょう",babesiosis,0
"ピスコ湾,ぴすこわん",Bahia de Pisco,0
"ピッグス湾,ぴっぐすわん",Bay of Pigs,0
"ピッグズ湾,ぴっぐずわん",Bay of Pigs,0
"ピジン英語,ぴじんえいご",beche-de-mer,0
"ピーッと鳴る音,ぴーっとなるおと",beep,0
"ピュマ族,ぴゅまぞく",Beinan,0
"ピストル,ぴすとる",belly-gun,0
"ピーチヤン,ぴーちやん",Bijiang,0
"ピーチエ,ぴーちえ",Bijie,0
"ぴょこんと跳ねること,ぴょこんとはねること",binky,0
"ピーヤン,ぴーやん",Biyang,0
"ピッという電子音,ぴっというでんしおん",bleep,0
"ピー,ぴー",bleep,0
"ピッという音,ぴっというおと",blip,0
"ピッチャーズ・マウンド,ぴっちゃーず・まうんど",bump,6
"ピラニア,ぴらにあ",caribe,0
"ピナカテ山,ぴなかてやま",Cerro del Pinacate,0
"ピーコー茶,ぴーこーちゃ",Ceylon,0
"ピヨピヨ鳴く声,ぴよぴよなくこえ",cheep,0
"ピヨピヨ,ぴよぴよ",chickabiddy,0
"ピシャリ,ぴしゃり",clap,0
"ピエロ,ぴえろ",clown,4
"ピッチャー返し,ぴっちゃーかえし",come-backer,0
"ピナトゥボ救援の会日本支部,ぴなとぅぼきゅうえんのかいにほんしぶ",Concerned Japanese Women's Group for Mt. Pinatubo Victims,0
"ピンクっぽい赤,ぴんくっぽいあか",coral,0
"ピエロ恐怖症,ぴえろきょうふしょう",coulrophobia,0
"PETボトルリサイクル推進協議会,ぴーいーてぃーぼとるりさいくるすいしんきょうぎかい",Council for PET Bottle Recycling,0
"ピストン棒の頭部,ぴすとんぼうのとうぶ",crosshead,0
"ピンチ,ぴんち",crunch,0
"ピンク・ハードボイルド／アブノーマル殺人事件,ぴんく・はーどぼいるど／あぶのーまるさつじんじけん",Cry Uncle,0
"ピンク・パンサー5／クルーゾーは二度死ぬ,ぴんく・ぱんさーご／くるーぞーはにどしぬ",Curse of the Pink Panther,0
"ピンク色,ぴんくしょく",damask,0
"ピンぼけ,ぴんぼけ",defocus,0
"ピンぼけ,ぴんぼけ",defocusing,0
"ピン止めのはずれ,ぴんとめのはずれ",depinning,0
"ピースサイン,ぴーすさいん",deuce,0
"ピースサイン,ぴーすさいん",deuces,0
"ピンポンダッシュ,ぴんぽんだっしゅ",ding-dong ditch,0
"ピン,ぴん",duckpin,0
"ピーナッツ,ぴーなっつ",earthpea,0
"PNDC／エル・パトレイロ,ぴーえぬでぃしー／える・ぱとれいろ",El Patrullero,0
"ピン恐怖症,ぴんきょうふしょう",enetophobia,0
"ピアース・ブロスナン／ファイナル・ゲーム,ぴあーす・ぶろすなん／ふぁいなる・げーむ",Entangled,0
"ピストル,ぴすとる",firearm,0
"ピン,ぴん",flagstick,0
"ピシッという音,ぴしっというおと",flick,0
"ピント,ぴんと",focus,6
"ピューッ,ぴゅーっ",fwip,0
"ピンチのときやけがをしているときでも我慢する選手,ぴんちのときやけがをしているときでもがまんするせんしゅ",gamer,0
"ピストル,ぴすとる",gat,0
"ピンク・ノーベンバーを追え！？,ぴんく・のーべんばーをおえ！くえすちょんまーく",Going Under,0
"ピーナッツ,ぴーなっつ",goober,0
"ピーナツ摘み取り人,ぴーなつつみとりにん",goober-grabber,0
"ピストル,ぴすとる",gun,0
"ピストル,ぴすとる",handgun,0
"ピストル,ぴすとる",heat,4
"ピストル,ぴすとる",heater,0
"ピッチャーズ・マウンド,ぴっちゃーず・まうんど",hill,0
"ピッチャーズ・マウンド,ぴっちゃーず・まうんど",hillock,0
"ピョンピョン跳び回ること,ぴょんぴょんとびまわること",hop,0
"ピッチャーズ・マウンド,ぴっちゃーず・まうんど",hump,0
"ピノス島,ぴのすしま",Isla de Pinos,0
"ピンタ島,ぴんたしま",Isla Pinta,0
"ピアノの鍵盤,ぴあののけんばん",ivory,0
"ピアノを演奏する人,ぴあのをえんそうするにん",ivory-thumper,0
"ピンチ,ぴんち",jam,1
"ピストル,ぴすとる",jammy,0
"PC建協,ぴーしーけんきょう",Japan Prestressed Concrete Contractors Association,0
"PC技術協会,ぴーしーぎじゅつきょうかい",Japan Prestressed Concrete Engineering Association,0
"ピアノ,ぴあの",joanna,0
"ピアノ,ぴあの",joano,0
"ピアノ,ぴあの",johanna,0
"ピアノ,ぴあの",joybox,0
"ぴんはね,ぴんはね",kickback,0
"ピリツ湖,ぴりつみずうみ",Laguna de Piritu,0
"ピリッとしていること,ぴりっとしていること",liveliness,0
"ピストン,ぴすとん",monkey,0
"ピシス山,ぴしすやま",Monte Pissis,0
"ピッチャー,ぴっちゃー",moundsman,0
"ピナトゥボ山,ぴなとぅぼやま",Mount Pinatubo,0
"ピナトゥボ火山,ぴなとぅぼかざん",Mt. Pinatubo,0
"ピース・ウイング長崎,ぴーす・ういんぐながさき",Nagasaki Foundation for the Promotion of Peace,0
"ピン,ぴん",ninepin,0
"ピクニック,ぴくにっく",outing,0
"P,ぴー",P,0
"ピョンアンナム,ぴょんあんなむ",P'yongan nam,0
"ピョンガン,ぴょんがん",P'yonggang,0
"ピョンソン,ぴょんそん",P'yongsong,0
"ピョンヤン,ぴょんやん",P'yongyang,0
"p-ベンゼンジオール,ぴーまいなすべんぜんじおーる",p-benzenediol,0
"p-塩化第二水銀安息香酸,ぴーまいなすえんかだいにすいぎんあんそくこうさん",p-chloromercuribenzoate,0
"p-ジヒドロキシベンゼン,ぴーまいなすじひどろきしべんぜん",p-dihydroxybenzene,0
"p-ジメチルアミノベンズアルデヒド,ぴーまいなすじめちるあみのべんずあるでひど",p-dimethylaminobenzaldehyde,0
"Pフレーム,ぴーふれーむ",P-frame,0
"P-糖タンパク,ぴーまいなすとうたんぱく",P-glycoprotein,0
"p-ヒドロキシ水銀安息香酸,ぴーまいなすひどろきしすいぎんあんそくこうさん",p-hydroxymercuribenzoate,0
"p-メトキシベンズアルデヒド,ぴーまいなすめときしべんずあるでひど",p-methoxybenzaldehyde,0
"p-メトキシフェノール,ぴーまいなすめときしふぇのーる",p-methoxyphenol,0
"p-ニトロフェニルヒドラジン,ぴーまいなすにとろふぇにるひどらじん",p-nitrophenylhydrazine,0
"p過程,ぴーかてい",p-process,0
"p-トルエンスルホン酸塩,ぴーまいなすとるえんするほんさんしお",p-toluenesulfonate,0
"PJ,ぴーじぇー",P.J.,0
"P.O.W.／地獄からの脱出,ぴー.おう.だぶる.／じごくからのだっしゅつ",P.O.W. The Escape,0
"ピー・エス,ぴー・えす",P.S. Corporation,0
"PMFセンター,ぴーえむえふせんたー","Pacific Music Festival, Center, Inc.",0
"ピーディ,ぴーでぃ",paedi,0
"ピューマ,ぴゅーま",painter,0
"P,ぴー",Papa,0
"ピーティーエスエー,ぴーてぃーえすえー",Parent-Teacher-Student Association,0
"PCアクセラレータ,ぴーしーあくせられーた",PC Accelerator,0
"PC AI,ぴーしー えーあい",PC AI,0
