meanings,word,score
"フィラメント加熱用電池,ふぃらめんとかねつようでんち",A-battery,0
"フロント・ピラー,ふろんと・ぴらー",A-pillar,0
"不名誉,ふめいよ",abasement,0
"不名誉の印,ふめいよのいん",abatement,0
"不法に遺産を奪う者,ふほうにいさんをうばうもの",abator,0
"腹部,ふくぶ",abdomen,0
"腹部,ふくぶ",abdominal,0
"腹痛,ふくつう",abdominalgia,0
"腹部,ふくぶ",abdomino,0
"腹腔穿刺,ふっこうせんし",abdominocentesis,0
"腹式子宮摘出,ふくしきしきゅうてきしゅつ",abdominohysterectomy,0
"腹式子宮切開術,ふくしきしきゅうせっかいじゅつ",abdominohysterotomy,0
"腹部形成,ふくぶけいせい",abdominoplasty,0
"腹腔鏡,ふっこうかがみ",abdominoscope,0
"腹腔鏡検査,ふっこうかがみけんさ",abdominoscopy,0
"不粘着剤,ふねんちゃくざい",abherent,0
"不粘着剤,ふねんちゃくざい",abhesive,0
"腹筋,ふっきん",abs,0
"不在,ふざい",absence,4
"不在者,ふざいしゃ",absentee,0
"不在地主制,ふざいじぬしせい",absenteeism,0
"節酒,ふしさけ",abstinence,7
"不条理,ふじょうり",absurd,0
"不条理劇,ふじょうりげき",absurd,0
"不条理主義,ふじょうりしゅぎ",absurdism,0
"不合理,ふごうり",absurdity,7
"不条理,ふじょうり",absurdity,7
"不正使用,ふせいしよう",abuse,0
"不可知論,ふかちろん",acatalepsy,0
"不燃性生物岩,ふねんせいせいぶついわ",acaustobiolith,0
"不燃性植物タンパク石,ふねんせいしょくぶつたんぱくいし",acaustophytolith,0
"付加,ふか",accession,0
"付属品,ふぞくひん",accessories,0
"服飾品,ふくしょくひん",accessory,0
"付属物,ふぞくぶつ",accessory,0
"付属品,ふぞくひん",accessory,0
"不幸な出来事,ふこうなできごと",accident,4
"付随的な,ふずいてきな",accidental,0
"付属品,ふぞくひん",accouterment,0
"付加成長,ふかせいちょう",accrementation,0
"付着物,ふちゃくもの",accretion,0
"分生子堆,ふんなまこつい",acervulus,0
"腓腹筋萎縮,ふくらはぎふっきんいしゅく",acnemia,0
"布告,ふこく",act,0
"振り,ふり",act,0
"振る舞い,ふるまい",action,0
"付録,ふろく",addendum,0
"副腎性黒皮症,ふくじんせいくろかわしょう",addisonmelanose,0
"付加物,ふかもの",additament,0
"付加,ふか",addition,4
"付加物,ふかもの",adduct,0
"副腎皮質刺激,ふくじんひしつしげき",adenocorticotrophic,0
"副腎皮質刺激,ふくじんひしつしげき",adenocorticotropic,0
"副腎過形成,ふくじんかけいせい",adenomegaly,0
"付着性,ふちゃくせい",adherability,0
"付着,ふちゃく",adherence,0
"付着力計,ふちゃくちからけい",adherometer,0
"付着因子,ふちゃくいんし",adhesin,0
"付着,ふちゃく",adhesion,0
"不透過,ふとうか",adia,0
"不応性,ふおうせい",adiaphoria,0
"不応胞子,ふおうほうし",adiaspore,0
"不透熱性,ふとうるねつせい",adiathermancy,0
"付加物,ふかもの",adjunct,0
"付属物,ふぞくぶつ",adjunct,0
"付加詞,ふかし",adjunct,0
"付加,ふか",adjunction,0
"副官,ふくかん",adjutant,0
"ファン,ふぁん",admirer,0
"付属器,ふぞくうつわ",adnex,0
"付属器,ふぞくうつわ",adnexa,0
"付属器摘出,ふぞくうつわてきしゅつ",adnexectomy,0
"付属器炎,ふぞくうつわほのお",adnexitis,0
"付属器,ふぞくうつわ",adnexo,0
"付属器固定,ふぞくうつわこてい",adnexopexy,0
"付属器,ふぞくうつわ",adnexum,0
"フクジュソウ,ふくじゅそう",Adonis,0
"副腎皮質系,ふくじんひしつけい",adrenal-cortical-system,0
"副腎摘出,ふくじんてきしゅつ",adrenalectomy,0
"副腎不全,ふくじんふぜん",adrenalism,0
"副腎炎,ふくじんほのお",adrenalitis,0
"副腎疾患,ふくじんしっかん",adrenalopathy,0
"副腎炎,ふくじんほのお",adrenitis,0
"副腎,ふくじん",adreno,0
"副腎皮質過形成症,ふくじんひしつかけいせいしょう",adrenocorticohyperplasia,0
"副腎皮質ステロイド,ふくじんひしつすてろいど",adrenocorticosteroid,0
"副腎皮質刺激ホルモン,ふくじんひしつしげきほるもん",adrenocorticotrophin,0
"副腎髄質摘除,ふくじんずいしつてきじょ",adrenodemedullation,0
"副腎機能亢進性歯牙,ふくじんきのうこうしんせいはきば",adrenodontia,0
"副腎X線写真,ふくじんえっくすせんしゃしん",adrenogram,0
"副腎白質ジストロフィー,ふくじんしろしつじすとろふぃー",adrenoleucodystrophy,0
"副腎白質ジストロフィー,ふくじんしろしつじすとろふぃー",adrenoleukodystrophy,0
"副腎腫脹,ふくじんしゅちょう",adrenomegaly,0
"副腎脊髄ニューロパシー,ふくじんせきずいにゅーろぱしー",adrenomyeloneuropathy,0
"副腎疾患,ふくじんしっかん",adrenopathy,0
"副腎毒素,ふくじんどくそ",adrenotoxin,0
"不純物の添加,ふじゅんぶつのてんか",adulteration,0
"不義を犯した女,ふぎをおかしたおんな",adulteress,0
"不義,ふぎ",adultery,0
"不倫,ふりん",adultery,0
"不貞,ふてい",adultery,0
"フォード・フェアレーンの冒険,ふぉーど・ふぇあれーんのぼうけん",Adventures of Ford Fairlane,0
"副詞,ふくし",adverb,0
"副詞類,ふくしるい",adverbial,0
"副詞説,ふくしせつ",adverbialism,0
"風力発電機,ふうりょくはつでんき",aerogenerator,0
"噴霧器,ふんむき",aerosol,0
"風向風速計,ふうこうふうそくけい",aerovane,0
"不倫,ふりん",affair,0
"ふりをすること,ふりをすること",affectation,0
"付加物,ふかもの",affix,0
"付加,ふか",affixture,0
"不確実性の時代,ふかくじつせいのじだい",Age of Uncertainty,0
