meanings,word,score
"武器よさらば,ぶきよさらば",A Farewell to Arms,0
"分解,ぶんかい",abbau,0
"舞台奥,ぶたいおく",above,2
"ブルドッグ,ぶるどっぐ",Above the War,0
"無愛想さ,ぶあいそうさ",abrasiveness,0
"ぶっきらぼうさ,ぶっきらぼうさ",abruptness,0
"無愛想さ,ぶあいそうさ",abruptness,0
"分泌物異常喪失,ぶんぴぶついじょうそうしつ",acathexia,0
"分娩,ぶんべん",accouchement,0
"文化変容,ぶんかへんよう",acculturation,0
"文化的対応,ぶんかてきたいおう",acculturation,0
"舞台向きであること,ぶたいむきであること",actability,0
"侮辱,ぶじょく",affront,7
"無礼,ぶれい",affront,7
"文化庁,ぶんかちょう",Agency for Cultural Affairs,0
"武力侵略,ぶりょくしんりゃく",aggression,7
"ブライミ,ぶらいみ",Al Buraimi,0
"分割量,ぶんかつりょう",aliquot,0
"分配,ぶんぱい",allotment,0
"分担額,ぶんたんひたい",allotment,0
"分配器,ぶんぱいき",allotter,0
"ブタクサ属,ぶたくさぞく",Ambrosia,0
"ブラックフォース,ぶらっくふぉーす",American Ninja 4 - The Annihilation,0
"分割償還,ぶんかつしょうかん",amortization,0
"分離,ぶんり",amotion,0
"分析器,ぶんせきき",analysator,0
"分析,ぶんせき",analysis,0
"分析課,ぶんせきか",Analysis Division,0
"分析者,ぶんせきしゃ",analyst,0
"分析性,ぶんせきせい",analyticity,0
"分析論,ぶんせきろん",analytics,0
"分析性,ぶんせきせい",analytics,0
"分析可能性,ぶんせきかのうせい",analyzability,0
"分析装置,ぶんせきそうち",analyzer,0
"分析者,ぶんせきしゃ",analyzer,0
"分析部,ぶんせきぶ",analyzor,0
"分析,ぶんせき",anatomy,0
"ブレーキ,ぶれーき",anchor,7
"無精巣症,ぶしょうすしょう",anorchia,0
"無精巣体,ぶしょうすからだ",anorchid,0
"無精巣症,ぶしょうすしょう",anorchidism,0
"無精巣症,ぶしょうすしょう",anorchism,0
"文化人類学,ぶんかじんるいがく",anthro,0
"分離に反対する人,ぶんりにはんたいするにん",anti-separatist,0
"不格好なやつ,ぶかっこうなやつ",antibod,0
"ブラックバック属,ぶらっくばっくぞく",Antilope,0
"分泌抑制薬,ぶんぴつよくせいくすり",antisialic,0
"分離,ぶんり",apo,0
"分散,ぶんさん",apostasis,0
"文書課,ぶんしょか",Archives Division,0
"分野,ぶんや",area,3
"部門,ぶもん",arm,2
"武器,ぶき",arm,2
"武装化,ぶそうか",armament,0
"武装,ぶそう",arming,0
"武器庫,ぶきこ",armory,0
"武装,ぶそう",armory,0
"武器工場,ぶきこうじょう",armory,0
"武器と女たち,ぶきとおんなたち",Arms and the Women,0
"部隊,ぶたい",army,0
"分散和音,ぶんさんわおん",arpeggio,0
"武器庫,ぶきこ",arsenal,0
"分節性,ぶんせつせい",articulateness,0
"分析,ぶんせき",assay,0
"分析試料,ぶんせきしりょう",assay,0
"ブレンド,ぶれんど",assemblage,0
"部品,ぶひん",assembly,0
"分担,ぶんたん",assignation,0
"物理教育研究会,ぶつりきょういくけんきゅうかい",Association for Physics Education of Japan,0
"部分的な類似,ぶぶんてきなるいじ",assonance,0
"分類すること,ぶんるいすること",assortment,0
"文芸クラブ,ぶんげいくらぶ",athenaeum,0
"文庫,ぶんこ",athenaeum,0
"文芸クラブ,ぶんげいくらぶ",atheneum,0
"文庫,ぶんこ",atheneum,0
"武器第2課,ぶきだいにか",Aviation Weapons Division,0
"不器用さ,ぶきようさ",awkwardness,0
"無精子,ぶしょうこ",azoospermia,0
"ブルーのカラータイル,ぶるーのからーたいる",azulejo,0
"侮辱,ぶじょく",backhander,0
"ブス,ぶす",bag,0
"ブエナベンツラ湾,ぶえなべんつらわん",Bahia Buenaventura,0
"ブラークリーア,ぶらーくりーあ",Baile Atha Cliath,0
"ブイレシチ,ぶいれしち",Bailesti,0
"舞踏会,ぶとうかい",ball,1
"舞踊劇,ぶようげき",ballet,0
"分野,ぶんや",ballpark,0
"舞踏場,ぶとうば",ballroom,4
"ブラジル銀行,ぶらじるぎんこう",Banco Central do Brasil,0
"ブラジル銀行,ぶらじるぎんこう",Banco do Brasil S.A.,0
"ブラジャー,ぶらじゃー",bandeau,0
"ブロードウェイのバークレー夫妻,ぶろーどうぇいのばーくれーふさい",Barkleys of Broadway,0
"物々交換,ぶつぶつこうかん",barter,0
"物々交換する人,ぶつぶつこうかんするにん",barterer,0
"ブデリウム,ぶでりうむ",bdellium,0
"不作法者,ぶさほうもの",bear,6
"不作法な振る舞い,ぶさほうなふるまい",bearishness,0
"ブスと付き合うやつ,ぶすとつきあうやつ",beastmaster,0
"ブランケットバス,ぶらんけっとばす",bed-bath,0
"ブナノキ,ぶなのき",beech,0
"ブナ材,ぶなざい",beech,0
"ブナヤドリギ,ぶなやどりぎ",beechdrops,0
"ブナの実,ぶなのみ",beechmast,0
"ブナの木の実,ぶなのこのみ",beechnut,0
"ブナ材,ぶなざい",beechwood,0
"ブカシ,ぶかし",Bekasi,0
"ブラワン,ぶらわん",Belawan,0
"ブラワンデリ,ぶらわんでり",Belawan Deli,0
"ブザー,ぶざー",bell,0
"ぶかぶかズボン,ぶかぶかずぼん",bell-bottom,0
"ブンガワン・ソロ川,ぶんがわん・そろかわ",Bengawan Solo River,0
"ブンクル,ぶんくる",Bengkulu,0
"ブザンソン,ぶざんそん",Besancon,0
