meanings,word,score
"プラトン主義者,ぷらとんしゅぎしゃ",academic,0
"プラトン学徒,ぷらとんがくと",Academic,0
"プラトン主義,ぷらとんしゅぎ",academy,0
"プラトン主義者,ぷらとんしゅぎしゃ",academy,0
"プリシラ,ぷりしら",Adventures of Prisc Lia Queen of the Desene,0
"プロペラ船,ぷろぺらふね",airboat,0
"プロペラ,ぷろぺら",airscrew,0
"プセフドカボス岬,ぷせふどかぼすみさき",Akra Psevdhokavos,0
"プロングホーン科,ぷろんぐほーんか",Antilocapridae,0
"プリン代謝拮抗薬,ぷりんたいしゃきっこうくすり",antipurine,0
"プッリャ州,ぷっりゃしゅう",Apulia,0
"プログラム命令に関する協会,ぷろぐらむめいれいにかんするきょうかい",Association for Programmed Instruction,0
"プロテニス選手協会,ぷろてにすせんしゅきょうかい",Association of Tennis Professionals,0
"プエルトリコCIAA婦人技術者・建築家・研究者協会,ぷえるとりこしーあいえーえーふじんぎじゅつしゃ・けんちくか・けんきゅうしゃきょうかい",Association of Women Engineer Architects and Surveyors of CIAA of Puerto Rico,0
"プラー・ナコーン・シ・アユタヤ,ぷらー・なこーん・し・あゆたや","Ayudhya, Ayuthia",0
"プラー・ナコーン・シ・アユタヤ,ぷらー・なこーん・し・あゆたや",Ayuthea,0
"プラー・ナコーン・シ・アユタヤ,ぷらー・なこーん・し・あゆたや",Ayutthaya,0
"プレートバイアス用電池,ぷれーとばいあすようでんち",B-battery,0
"プレンティー湾,ぷれんてぃーわん",Bay of Plenty,0
"プロジェクター,ぷろじぇくたー",beamer,0
"プロのギャンブラー,ぷろのぎゃんぶらー",big-timer,0
"プログエゴ,ぷろぐえご",blego,0
"プレミアム,ぷれみあむ",bonus,0
"プエルトリコ人,ぷえるとりこにん",borinki,0
"プレス機械製造工業会,ぷれすきかいせいぞうこうぎょうかい",British Power Press Manufacturers Association,0
"プタラ,ぷたら",Budala,0
"プーリー,ぷーりー",Buli,0
"プーリャス,ぷーりゃす",Bullas,0
"プリティ・ボーイ／明日なき銃弾,ぷりてぃ・ぼーい／あしたなきじゅうだん",Bullet For Pretty Boy,0
"プレイガール,ぷれいがーる",bunny,0
"プサン,ぷさん",Busan,0
"プラスティック爆弾,ぷらすてぃっくばくだん",C4,0
"プルトニウム生産センター,ぷるとにうむせいさんせんたー",Center for Plutonium Production,0
"プレゼンは良いが机上の空論的なの上でしか存在しないソフトウェア,ぷれぜんはよいがきじょうのくうろんてきなのうえでしかそんざいしないそふとうぇあ",chartware,0
"プログラム,ぷろぐらむ",code,0
"プレデターゲーム,ぷれでたーげーむ",Code - death,0
"プログラマー,ぷろぐらまー",coder,0
"プログラミング,ぷろぐらみんぐ",coding,6
"プロの詐欺師,ぷろのさぎし",crossroader,0
"プロゲーマー,ぷろげーまー",cyberathlete,0
"プレーリードッグ属,ぷれーりーどっぐぞく",Cynomys,0
"プライス一家は,ぷらいすいっかは",Day Late and a Dollar Short,0
"プロパー,ぷろぱー",detailer,0
"プリズマティカ,ぷりずまてぃか",Distant Stars,0
