meanings,word,score
"偏差,へんさ",abmodality,0
"併合,へいごう",absorption,0
"返済,へんさい",acquittal,0
"編曲,へんきょく",adaptation,7
"編曲者,へんきょくしゃ",adapter,0
"ヘビ,へび",adder,7
"閉殻筋,へいからすじ",adductor,0
"へんとう炎,へんとうほのお",adenoiditis,0
"変換運動障害,へんかんうんどうしょうがい",adiadochokinesia,0
"変換運動障害,へんかんうんどうしょうがい",adiadochokinesis,0
"へつらい,へつらい",adulation,0
"へつらう人,へつらうにん",adulator,0
"偏見,へんけん",affection,4
"偏愛,へんあい",affection,4
"変更反対者,へんこうはんたいしゃ",aginner,0
"ヘラジカ属,へらじかぞく",Alces,0
"ヘブライ語のアルファベット,へぶらいごのあるふぁべっと",aleph-beis,0
"ヘブライ語のアルファベット,へぶらいごのあるふぁべっと",aleph-bet,0
"変形,へんけい",allaxis,0
"変色,へんしょく",allochroism,0
"隔たっていること,へだたっていること",aloofness,0
"変質させる,へんしつさせる",alterant,0
"変質させるもの,へんしつさせるもの",alterant,0
"変色剤,へんしょくざい",alterant,0
"変更,へんこう",alteration,0
"変化,へんか",alteration,0
"平静な人,へいせいなにん",alyo,0
"変形細胞,へんけいさいぼう",amebocyte,0
"片害作用,へんがいさよう",amensalism,0
"ヘルスケア協会,へるすけあきょうかい",American Health Care Association,0
"臍帯ヘルニア,へそおびへるにあ",amniocele,0
"変形細胞,へんけいさいぼう",amoebocyte,0
"偏角,へんかく",amplitude,0
"へんとう,へんとう",amygdala,0
"へんとう,へんとう",amygdalae,0
"へんとう炎,へんとうほのお",amygdalitis,0
"へんとう体海馬切除術,へんとうからだかいばせつじょじゅつ",amygdalohippocampectomy,0
"へんとう体切除,へんとうからだせつじょ",amygdalotomy,0
"変成作用,へんせいさよう",anamorphism,0
"ヘビウ,へびう",anhinga,0
"ヘビウ科,へびうか",Anhingidae,0
"併合,へいごう",annexation,0
"併合論者,へいごうろんしゃ",annexationist,0
"変則,へんそく",anomalism,0
"変則性,へんそくせい",anomalousness,0
"変則,へんそく",anomaly,7
"変名,へんめい",anonym,0
"平行らせん,へいこうらせん",anorthospiral,0
"返事,へんじ",answer,2
"返報,へんぽう",answer,2
"ヘロイン,へろいん",antifreeze,0
"片頭痛を癒す効果,へんずつうをいやすこうか",antimigrain,0
"返答,へんとう",antiphon,0
"辺心距離,へんこころきょり",apothem,0
"へいこらするやつ,へいこらするやつ",apple-polisher,0
"へつらうやつ,へつらうやつ",apple-polisher,0
"並置,へいち",apposition,0
"偏角,へんかく",argument,0
"兵器,へいき",armament,0
"兵器係,へいきかかり",armorer,0
"兵器製造者,へいきせいぞうしゃ",armorer,0
"兵器庫,へいきこ",armory,0
"兵器輸出管理局,へいきゆしゅつかんりきょく",Arms Export Control Board,0
"編曲,へんきょく",arrangement,0
"編曲者,へんきょくしゃ",arranger,0
"へいこらするやつ,へいこらするやつ",arse-licker,0
"へつらうやつ,へつらうやつ",arse-licker,0
"へつらい,へつらい",arse-licking,0
"兵器庫,へいきこ",arsenal,0
"平面関節,へいめんかんせつ",arthrodia,0
"へいこらするやつ,へいこらするやつ",ass-kisser,0
"へつらうやつ,へつらうやつ",ass-kisser,0
"へつらい,へつらい",ass-lick,0
"へいこらするやつ,へいこらするやつ",ass-licker,0
"へつらうやつ,へつらうやつ",ass-licker,0
"へつらい,へつらい",ass-licking,0
"平静,へいせい",ataraxy,0
"閉鎖,へいさ",atresia,0
"ヘラヤガラ科,へらやがらか",Aulostomidae,0
"平均,へいきん",average,0
"平均株価,へいきんかぶか",average,0
"平均すること,へいきんすること",averaging,0
"平均化,へいきんか",averaging,0
"へき地,へきち",back-country,0
"辺ぴな地方,へんぴなちほう",back-country,0
"へいこらするやつ,へいこらするやつ",back-scratcher,0
"へつらうやつ,へつらうやつ",back-scratcher,0
"へいこらするやつ,へいこらするやつ",back-scratching,0
"へつらうやつ,へつらうやつ",back-scratching,0
"へき地,へきち",backblock,0
"片刃の剣,へんはのつるぎ",backsword,0
"片刃の剣を使う剣士,へんはのつるぎをつかうけんし",backswordman,0
"へき地,へきち",backwater,0
"へき地,へきち",backwoods,0
"平衡,へいこう",balance,0
"平静,へいせい",balance,0
"平均台,へいきんだい",balance beam,0
"平衡器,へいこううつわ",balancer,0
"平均棍,へいきんこん",balancer,0
"平衡度,へいこうど",balancing,0
"へぼ詩人,へぼしじん",balladmonger,0
"へま,へま",ballup,0
"平衡不平衡変成器,へいこうふへいこうへんせいうつわ",balun,0
"ヘア・バンド,へあ・ばんど",bandeau,0
"ヘロイン注射,へろいんちゅうしゃ",bang,0
"へぼ詩人,へぼしじん",bardling,0
"変化の兆候,へんかのちょうこう",barometer,0
"兵舎,へいしゃ",barrack,0
"兵営,へいえい",barrack,0
"ヘアクリップ,へあくりっぷ",barrette,0
"平凡さ,へいぼんさ",bathos,0
"変動,へんどう",behavior,6
"へそ,へそ",belly button,0
"へそ,へそ",bellybutton,0
"偏見,へんけん",bias,0
"ヘロイン,へろいん",big time,0
"偏狭な人,へんきょうなにん",bigot,0
"偏屈者,へんくつもの",bigot,0
"偏見を持つ人,へんけんをもつにん",bigot,0
"偏狭さ,へんきょうさ",bigotry,7
"片意地,へんいじ",bigotry,7
"兵士用宿舎,へいしようしゅくしゃ",billet,0
"ヘマ,へま",blob,0
"閉塞,へいそく",block,4
"閉塞物,へいそくもの",blocker,0
"閉塞船,へいそくふね",blockship,0
"へま,へま",bloop,0
"へま,へま",blooper,0
"へべれけ,へべれけ",blotto,0
"ヘアドライヤー,へあどらいやー",blow-dryer,0
"へま,へま",blue,1
"へまな人,へまなにん",blunderbuss,0
"へま,へま",bobble,0
"へま,へま",bodge-up,0
"縁,へり",bond,4
"編集者,へんしゅうしゃ",bookmaker,0
"辺ぴな所,へんぴなところ",boondocks,0
"へいこらするやつ,へいこらするやつ",bootlick,0
"へつらうやつ,へつらうやつ",bootlick,0
"へつらう人,へつらうにん",bootlicker,0
"へり,へり",border,0
"縁,へり",border,0
"辺境の地,へんきょうのち",borderland,0
"へま,へま",boss-shot,0
"下手な仕事,へたなしごと",botch,0
"へま,へま",botch,0
"ヘアバンド,へあばんど",braid,0
"編組,へんくみ",braid,0
"ヘロイン,へろいん",brick,0
"縁,へり",brim,0
"へり,へり",brim,0
"片舷砲,へんげんほう",broadside,0
"へま,へま",brodie,0
"平凡な人,へいぼんなにん",bromide,0
"へいこらするやつ,へいこらするやつ",brown-noser,0
"へつらうやつ,へつらうやつ",brown-noser,0
"変色,へんしょく",bruise,0
"ヘアブラシ,へあぶらし",brush,0
"兵士の脱走,へいしのだっそう",bugout,0
"へいこらするやつ,へいこらするやつ",bum-licker,0
"へつらうやつ,へつらうやつ",bum-licker,0
"へま,へま",bumble,0
"へまをする人,へまをするにん",bumbler,0
"へこみ,へこみ",bump,6
"へま,へま",bungle,0
"へまばかりする人,へまばかりするにん",bungler,7
"兵器局,へいききょく",Bureau of Naval Weapons,0
"へま,へま",butchery,0
"へいこらするやつ,へいこらするやつ",butt-kisser,0
"へつらうやつ,へつらうやつ",butt-kisser,0
"へいこらするやつ,へいこらするやつ",butt-licker,0
"へつらうやつ,へつらうやつ",butt-licker,0
"へつらい,へつらい",butt-licking,0
"ヘルメスのつえ,へるめすのつえ",caduceus,0
"ヘルメスのつえ,へるめすのつえ",caduceus,0
"変形発生,へんけいはっせい",caenogenesis,0
"変形発生,へんけいはっせい",cainogenesis,0
"返済要求,へんさいようきゅう",call,2
"平和の呼び掛け,へいわのよびかけ",call for peace,0
"平穏,へいおん",calm,4
"平穏,へいおん",calmness,0
"平均カロリー,へいきんかろりー",calorie,0
"縁なし帽,へりなしぼう",calotte,0
"ヘッドホン,へっどほん",can,3
"片持ち梁,へんもちはり",cantilever,0
"編,へん",canto,0
"縁なし帽子,へりなしぼうし",cap,0
"ヘンローペン岬,へんろーぺんみさき",Cape Henlopen,0
"ヘンリエッタマリア岬,へんりえったまりあみさき",Cape Henrietta Maria,0
"ヘルパー,へるぱー",caretaker,0
"変人,へんじん",case,0
"変形発生,へんけいはっせい",cenogenesis,0
"ヘント,へんと",Cent,0
"ヘコアユ科,へこあゆか",Centriscidae,0
"部屋,へや",chamber,0
"へいこらする人,へいこらするにん",chamcha,0
"平原,へいげん",champaign,0
"ヘッドロック,へっどろっく",chancery,0
"変化,へんか",change,0
"変更,へんこう",change,0
"変更点,へんこうてん",change,0
"変更管理,へんこうかんり",change management,0
"変化,へんか",change-up,0
"変化のなさ,へんかのなさ",changelessness,0
"変更,へんこう",changeover,0
"変更する人,へんこうするにん",changer,0
"隔たり,へだたり",chasm,0
"変彩を放つ宝石,へんさいをほうっつほうせき",chatoyant,0
"偏執的,へんしつてき",chauvinism,0
"偏執的優越主義者,へんしつてきゆうえつしゅぎしゃ",chauvinist,0
"ヘプ,へぷ",Cheb,0
"ヘビクビガメ科,へびくびがめか",Chelidae,0
"ヘルム,へるむ",Chelm,0
"ヘルムノ,へるむの",Chelmno,0
"ヘラクレスの子どもたち,へらくれすのこどもたち",Children of Heracles,0
"へり,へり",chime,0
"屁理屈,へりくつ",choplogic,0
"ヘリコプター,へりこぷたー",chopper,0
"下手な人,へたなにん",chopper,0
"ヘリコプターで巡回パトロールする警官,へりこぷたーでじゅんかいぱとろーるするけいかん",chopper-copper,0
"変時性,へんときせい",chronotropism,0
"変時性,へんときせい",chronotropy,0
"部屋代,へやだい",chummage,0
"へど,へど",chunder,0
"ヘキサン,へきさん",cissa,0
"平服,へいふく",civies,0
"平服,へいふく",civvies,0
"偏茎,へんくき",cladodium,0
"閉所嗜好,へいところしこう",claustrophilia,0
"閉所恐怖症患者,へいところきょうふしょうかんじゃ",claustrophobe,0
"閉所恐怖症,へいところきょうふしょう",claustrophobia,0
"閉所恐怖症の人,へいところきょうふしょうのにん",claustrophobic,0
"閉鎖症,へいさしょう",clausura,0
"へいこらするやつ,へいこらするやつ",claw-back,0
"へつらうやつ,へつらうやつ",claw-back,0
"劈開,へきかい",cleavage,0
"閉子嚢殻,へいこのうから",cleistocarp,0
"閉花受精,へいはなじゅせい",cleistogamy,0
"閉子嚢殻,へいこのうから",cleistothecium,0
"閉経期,へいけいき",climacteric,0
"扁平頭,へんぺいあたま",clinocephaly,0
"閉子嚢殻,へいこのうから",clistocarp,0
"閉子嚢殻,へいこのうから",clistothecium,0
"塀,へい",clos,0
"閉店セール,へいてんせーる",close-out,0
"偏狭な心の状態,へんきょうなこころのじょうたい",closed-mindedness,0
"閉鎖性,へいさせい",closedness,0
"閉塞器,へいそくうつわ",closer,0
"閉鎖,へいさ",closing,0
"閉鎖,へいさ",closure,0
"閉合,へいごう",closure,0
"縁材,へりざい",coaming,0
"へまをしでかす人,へまをしでかすにん",cobbler,0
"へま,へま",cock-up,0
"偏屈者,へんくつもの",codger,0
"変域,へんいき",codomain,0
"変形発生,へんけいはっせい",coenogenesis,0
"ヘビースモーカー,へびーすもーかー",coffin-dodger,0
"ヘアスタイル,へあすたいる",coiffure,0
"ヘイク,へいく",colin,0
"片利共生生物,へんりきょうせいせいぶつ",commensal,0
"片利共生,へんりきょうせい",commensalism,0
"兵站部,へいたんぶ",commissariat,0
"兵站,へいたん",commissariat,0
"平民,へいみん",commonage,0
"平民,へいみん",commonality,0
"平民,へいみん",commonalty,0
"平民,へいみん",commoner,0
"平凡なこと,へいぼんなこと",commonplace,5
"併存疾患,へいそんしっかん",comorbidity,0
"編集,へんしゅう",compilation,0
"編集したもの,へんしゅうしたもの",compilation,0
"編集物,へんしゅうもの",compilation,0
"編集者,へんしゅうしゃ",compiler,0
"編さん者,へんさんもの",compiler,0
"編集課,へんしゅうか",Compiling Division,0
"平静,へいせい",composure,0
"併存,へいそん",concomitance,0
"へりくだり,へりくだり",condescension,0
"偏光鏡,へんこうかがみ",conoscope,0
"平和研究・教育・発展連絡協議会,へいわけんきゅう・きょういく・はってんれんらくきょうぎかい","Consortium on Peace Research, Education and Development",0
"変更,へんこう",conversion,0
"変換,へんかん",conversion,0
"変換,へんかん",convert,6
"変換器,へんかんき",converter,0
"平静,へいせい",cool,0
"ヘリコプター,へりこぷたー",copter,0
"へその緒,へそのお",cord,0
"ヘリカメムシ科,へりかめむしか",Coreidae,0
"へり,へり",corner,2
"変人,へんじん",cornflake,0
"兵団,へいだん",corps,0
"併用ルール,へいようるーる",corule,0
"平静,へいせい",countenance,0
"平衡錘,へいこうすい",counterbalance,0
"返報,へんぽう",countercharge,0
"平衡力,へいこうちから",counterpoise,0
"変形性股関節症,へんけいせいこかんせつしょう",coxarthrosis,0
"変人,へんじん",crank,0
"偏屈であること,へんくつであること",crankiness,0
"縁膜,へりまく",craspedon,0
"へつらう人,へつらうにん",cringer,0
"へぼ批評家,へぼひひょうか",criticaster,0
"屁をしてすぐにその場を去る人,へをしてすぐにそのばをさるにん",crop-duster,0
"屁をする人,へをするにん",crop-dusting,0
"変葉木,へんはき",croton,0
"ヘムロック協会,へむろっくきょうかい",Crow's Nest Society,0
"変人,へんじん",cuckoo,0
"縁,へり",curb,7
"へり石,へりいし",curbing,0
"ヘチマカボチャ,へちまかぼちゃ",cushaw,0
"編集作業,へんしゅうさぎょう",cutting,0
"編集室,へんしゅうしつ",cutting-room,0
"ヘゴ科,へごか",Cyatheaceae,0
"下手の横好き,へたのよこすき",dabster,0
"編集用の下見フィルム,へんしゅうようのしたみふぃるむ",dailies,0
"下手な絵,へたなえ",daub,0
"下手な絵を書く人,へたなえをかくにん",dauber,0
"下手な絵,へたなえ",daubery,0
"下手な絵,へたなえ",daubry,0
"へぼ絵かき,へぼえかき",daubster,0
"平均太陽日,へいきんたいようにち",day,1
"偏心,へんしん",decentering,0
"偏角,へんかく",declination,0
"偏差,へんさ",declination,0
"偏角計,へんかくけい",declinometer,0
"偏差,へんさ",deflection,0
"偏向,へんこう",deflection,0
"偏位,へんい",deflection,0
"変形能,へんけいのう",deformability,0
"変形,へんけい",deformation,0
"変形,へんけい",deformity,0
"変態,へんたい",degeneracy,0
"変質者,へんしつしゃ",degenerate,0
"変質組織,へんしつそしき",degenerate,0
"変性,へんせい",degeneration,0
"偏析,へんせき",demixing,0
"変性,へんせい",denaturalization,0
"変性剤,へんせいざい",denaturant,0
"変性,へんせい",denaturation,0
"へこみ,へこみ",dent,0
"閉塞物の排除,へいそくもののはいじょ",deobstruent,0
"兵站部,へいたんぶ",depot,7
"変速機,へんそくき",derailleur,0
"平服,へいふく",deshabille,0
"編集主任,へんしゅうしゅにん",desk,0
"平価切り下げ,へいかきりさげ",devaluation,0
"変化,へんか",development,0
"変人,へんじん",deviant,0
"偏差,へんさ",deviation,0
"偏差値,へんさち",deviation,0
"偏向,へんこう",deviation,0
"偏向,へんこう",deviationism,0
"変化,へんか",difference,4
"ヘイタイアリ,へいたいあり",dinergate,0
"へこみ,へこみ",ding,0
"へこみ,へこみ",dint,0
"へこみ,へこみ",dip,0
"偏方24面体,へんほうにじゅうしめんたい",diplohedron,0
"変色すること,へんしょくすること",discoloration,0
"平行不整合,へいこうふせいごう",disconformity,0
"変装用衣装,へんそうよういしょう",disguise,0
"変装していること,へんそうしていること",disguise,0
"平服,へいふく",dishabille,0
"ヘチマ布巾,へちまふきん",dishrag,0
"ヘチマ・スポンジ,へちま・すぽんじ",dishrag,0
"ヘチマの海綿状繊維,へちまのかいめんじょうせんい",dishrag,0
"平静,へいせい",dispassion,0
"変位,へんい",displacement,7
"変位量,へんいりょう",displacement,7
"変位伝達,へんいでんたつ",displacement-transmitting,0
"隔たり,へだたり",distance,4
"ヘッドスライディング,へっどすらいでぃんぐ",dive,0
"ヘッドスライディング,へっどすらいでぃんぐ",diving,0
"ヘアスタイルを整えること,へあすたいるをととのえること",do,3
"ヘビトンボ,へびとんぼ",dobsonfly,0
"下手な詩,へたなし",doggerel,0
"ヘロイン,へろいん",doojee,0
"ヘロイン,へろいん",doojie,0
"部屋,へや",door,0
"ヘイケガニ科,へいけがにか",Dorippidae,0
"平行運営術,へいこううんえいじゅつ",double-breasting,0
"ヘビー級ボクサー,へびーきゅうぼくさー",dreadnought,0
"偏流,へんりゅう",drift,7
"偏流の距離,へんりゅうのきょり",driftage,0
"返却口,へんきゃくくち",drop,6
"へたくそ,へたくそ",dub,0
"下手な人,へたなにん",duffer,0
"ヘロイン,へろいん",duji,0
"平衡障害,へいこうしょうがい",dysequilibrium,0
"ヘッドホン,へっどほん",ear,0
"偏東風,へんひがしかぜ",easterlies,0
"変人,へんじん",eccentric,0
"偏心器,へんしんうつわ",eccentric,0
"偏心,へんしん",eccentricity,0
"へり,へり",edge,6
"縁,へり",edge,6
"縁かがり機,へりかがりき",edger,0
"縁かがり工,へりかがりこう",edger,0
"縁磨き工,へりみがきこう",edger,0
"縁,へり",edging,0
"編集,へんしゅう",edit,0
"編集,へんしゅう",editing,0
"編集者,へんしゅうしゃ",editor,0
"編者,へんじゃ",editor,0
"編集長,へんしゅうちょう",editor,0
"編集長,へんしゅうちょう",editor-in-chief,0
"編集者の地位,へんしゅうしゃのちい",editorship,0
"ヘリコプター,へりこぷたー",egg whisk,0
"ヘリコプター,へりこぷたー",eggbeater,0
"へいこらするやつ,へいこらするやつ",eggsucker,0
"へつらうやつ,へつらうやつ",eggsucker,0
"ヘリコプター,へりこぷたー",eggwhisk,0
"平和提議,へいわていぎ",eirenicon,0
"ヘラジカ,へらじか",elk,0
"偏光解析器,へんこうかいせきうつわ",ellipsometer,0
"偏光楕円率計測器,へんこうだえんりつけいそくき",ellipsometer,0
"偏光解析法,へんこうかいせきほう",ellipsometry,0
"閉塞,へいそく",emphraxis,0
"兵役服務期間,へいえきふくむきかん",enlistment,0
"部屋,へや",entranceway,0
"部屋,へや",entryway,0
"変閃緑岩,へんせんみどりいわ",epidiorite,0
"平静,へいせい",equability,0
"平衡装置,へいこうそうち",equalizer,0
"平静,へいせい",equanimity,0
"平均化,へいきんか",equation,0
"平衡力,へいこうちから",equilibrant,0
"平衡力,へいこうちから",equilibrant force,0
"平衡化,へいこうか",equilibrating,0
"平衡,へいこう",equilibration,0
"平衡機,へいこうき",equilibrator,0
"平衡,へいこう",equilibrium,0
"平衡,へいこう",equipoise,0
"変人,へんじん",erratic,0
"偏位,へんい",excursion,0
"臍帯ヘルニア,へそおびへるにあ",exomphalos,0
"へそ突出,へそとっしゅつ",exumbilication,0
"へそヘルニア,へそへるにあ",exumbilication,0
"ヘリコプターに乗って空から交通を監視する警官やレポーター,へりこぷたーにのってあからこうつうをかんしするけいかんやれぽーたー",eye-in-the-sky,0
"平気な顔,へいきなかお",face,4
"屁,へ",fart,0
"へいこらするやつ,へいこらするやつ",fart-catcher,0
"へつらうやつ,へつらうやつ",fart-catcher,0
"屁こき,へこき",farter,0
"縁,へり",fate,0
"偏愛すること,へんあいすること",favoritism,0
"偏愛されていること,へんあいされていること",favoritism,0
"塀,へい",fence,3
"平日,へいじつ",feria,0
"ヘキサシアノ鉄酸塩,へきさしあのてつさんしお",ferricyanide,0
"ヘキサシアノ鉄酸塩,へきさしあのてつさんしお",ferrocyanide,0
"兵士,へいし",fighter,0
"ヘアバンド,へあばんど",fillet,0
"平面,へいめん",flat,4
"平地,へいち",flat,4
"平原,へいげん",flat,4
"変音記号,へんおんきごう",flat,4
"扁平足,へんぺいそく",flatfoot,0
"平地,へいち",flatland,0
"平地人,へいちにん",flatlander,0
"平地に住む人間,へいちにすむにんげん",flatlander,0
"平坦,へいたん",flatness,0
"平坦化,へいたんか",flattening,0
"へつらい,へつらい",flattery,0
"扁形動物,へんかたちどうぶつ",flatworm,0
"ヘリコプター,へりこぷたー",fling-wing,0
"変人,へんじん",flip-out,0
"変動相場,へんどうそうば",float,6
"変動金利証券,へんどうきんりしょうけん",floater,0
"片葉,へんは",flocculus,0
"へま,へま",flub,0
"へま,へま",flub-up,0
"変動,へんどう",fluctuation,0
"へま,へま",fluff,0
"縁模様,へりもよう",flute,0
"変動,へんどう",flux,0
"へま,へま",foozle,0
"編隊,へんたい",formation,0
"平均律クラヴィーア曲集,へいきんりつくらゔぃーあきょくしゅう",forty-eight,0
"変位値,へんいあたい",fractile,0
"片積雲,へんせきうん",fractocumulus,0
"片層雲,へんそううん",fractostratus,0
"縁,へり",frame,0
"変人,へんじん",freak,0
"変種,へんしゅ",freak,0
"変人学,へんじんがく",freakology,0
"へり,へり",fringe,7
"縁,へり",fringe,7
"ヘアスタイル,へあすたいる",frisure,0
"平凡な,へいぼんな",frivolity,0
"辺境,へんきょう",frontier,0
"辺境の住民,へんきょうのじゅうみん",frontiersman,0
"変人,へんじん",fruit,0
"変なやつ,へんなやつ",fruit,0
"変人,へんじん",fruitcake,0
"変なやつ,へんなやつ",fruitcake,0
"へま,へま",fuckup,0
"へまなやつ,へまなやつ",fuckup,0
"へまをやる人,へまをやるにん",fuckup,0
"ヘア・ヌード,へあ・ぬーど",full-frontal,0
"変人,へんじん",full-mooner,0
"蛇籠,へびかご",gabion,0
"へま,へま",gaffe,0
"変なやつ,へんなやつ",galloot,0
"変なやつ,へんなやつ",galoot,0
"隔たり,へだたり",gap,0
"変速機,へんそくき",gearbox,0
"変速機,へんそくき",gearhead,0
"変速レバー,へんそくればー",gearshift,0
"変速装置,へんそくそうち",gearshifter,0
"閉管ストップ,へいかんすとっぷ",gedeckt,0
"閉管音栓,へいかんおとせん",gedeckt,0
"ヘール,へーる",Geel,0
"ヘールヴィンク湾,へーるゔぃんくわん",Geelvink Bay,0
"ヘルデルラント州,へるでるらんとしゅう",Gelderland,0
"ヘルデルマルセン,へるでるまるせん",Geldermalsen,0
"ヘレーン,へれーん",Geleen,0
"ヘネラルアルベアル,へねらるあるべある",General Alvear,0
"ヘネラルアレナレス,へねらるあれなれす",General Arenales,0
"ヘネラルベルグラノ,へねらるべるぐらの",General Belgrano,0
"ヘネラルコネサ,へねらるこねさ",General Conesa,0
"ヘネラルギド,へねらるぎど",General Guido,0
"ヘネラルラバエ,へねらるらばえ",General Lavalle,0
"ヘネラルマダリアガ,へねらるまだりあが",General Madariaga,0
"ヘネラルパス,へねらるぱす",General Paz,0
"ヘネラルピコ,へねらるぴこ",General Pico,0
"ヘネラルロカ,へねらるろか",General Roca,0
"ヘネラルサンマルティン,へねらるさんまるてぃん",General San Martin,0
"ヘネラルサルミエント,へねらるさるみえんと",General Sarmiento,0
"ヘネラルビアモンテ,へねらるびあもんて",General Viamonte,0
"ヘニル川,へにるかわ",Genil,0
"ヘンク,へんく",Genk,0
"ヘノバ,へのば",Genova,0
"ヘント,へんと",Gent,0
"片こと,へんこと",genuflection,0
"平身低頭,へいしんていとう",genuflection,0
"片こと,へんこと",genuflexion,0
"平身低頭,へいしんていとう",genuflexion,0
"ヘルガル,へるがる",Gergal,0
"ヘロナ,へろな",Gerona,0
"併殺,へいさつ",get-two,0
"ヘタフェ,へたふぇ",Getafe,0
"ヘント,へんと",Ghent,0
"ヘブンリー・ビキニ,へぶんりー・びきに",Ghost In the Invisible Bikini,0
"片麻岩,へんあさいわ",gneiss,0
"変形性膝関節炎,へんけいせいひざかんせつほのお",gonarthrosis,0
"兵士シュヴェイクの冒険,へいししゅゔぇいくのぼうけん",Good Soldier Svejk,0
"へま,へま",goof,0
"屁,へ",guff,0
"へつらい,へつらい",guyver,0
"下手の横好き,へたのよこすき",hacker,0
"ヘジュ,へじゅ",Haeju,0
"ヘマチン,へまちん",haematin,0
"ヘマトキシロン属,へまときしろんぞく",haematoxylon,0
"ヘモバルトネラ属,へもばるとねらぞく",Haemobartonella,0
"ヘモプロテウス属,へもぷろてうすぞく",Haemoproteus,0
"ヘーガーズタウン,へーがーずたうん",Hagerstown,0
"ヘイト・アシュベリー,へいと・あしゅべりー",Haight Ashbury,0
"ヘイト・ストリート,へいと・すとりーと",Haight Street,0
"ヘインズ法,へいんずほう",Haines,0
"ヘアー,へあー",Hair,0
"ヘア・カット・アンド・スタイル,へあ・かっと・あんど・すたいる",Hair Cut & Style,0
"ヘアケア,へあけあ",hair-care,0
"ヘアブラシ,へあぶらし",hairbrush,0
"ヘアスタイル,へあすたいる",haircut,0
"ヘアスタイル,へあすたいる",hairdo,0
"ヘアドゥー・アイディアズ,へあどぅー・あいでぃあず",Hairdo Ideas,0
"ヘアクリーム,へあくりーむ",hairdress,0
"ヘアドレッサー,へあどれっさー",hairdresser,2
"ヘアダイ,へあだい",hairdye,0
"ヘアライン,へあらいん",hairline,0
"ヘアネット,へあねっと",hairnet,0
"ヘアピース,へあぴーす",hairpiece,0
"ヘアピン,へあぴん",hairpin,0
"ヘアピンカーブ,へあぴんかーぶ",hairpin,0
"ヘアシープ,へあしーぷ",hairsheep,0
"ヘアースプレー,へあーすぷれー",Hairspray,0
"ヘアスタイル・ガイド,へあすたいる・がいど",Hairstyle Guide,0
"ヘアスタイラー,へあすたいらー",hairstyler,0
"ヘアスタイリング,へあすたいりんぐ",Hairstyling,0
"ヘアスタイリスト,へあすたいりすと",hairstylist,0
"ヘール,へーる",Hale,0
"ヘールズコーナーズ,へーるずこーなーず",Hales Corners,0
"ヘールズオーエン,へーるずおーえん",Halesowen,0
