meanings,word,score
"ベストを尽くすこと,べすとをつくすこと",A-game,0
"米国ジョージア州アトランタのニックネーム,べいこくじょーじあしゅうあとらんたのにっくねーむ",A-Town,0
"ベビーブーム世代の高齢化,べびーぶーむせだいのこうれいか",abbies,0
"米国テレビ芸術科学アカデミー,べいこくてれびげいじゅつかがくあかでみー",Academy of Television Arts & Sciences,0
"便宜,べんぎ",accommodation,5
"弁明,べんめい",account,0
"米国工学系高等教育課程認定機関,べいこくこうがくけいこうとうきょういくかていにんていきかん","Accreditation Board for Engineering and Technology, Inc.",0
"ベストフレンド,べすとふれんど",ace,0
"米国音響協会,べいこくおんきょうきょうかい",Acoustical Society of America,0
"ベビーシッター・アドベンチャー,べびーしったー・あどべんちゃー",Adventures In Babysitting,0
"弁護,べんご",advocacy,0
"弁護士業,べんごしぎょう",advocacy,0
"弁護士,べんごし",advocate,6
"別名,べつめい",alias,0
"別居手当,べっきょてあて",alimony,0
"別模式標本,べつもしきひょうほん",allotype,0
"別の可能性,べつのかのうせい",alternative,6
"ベニスズメ,べにすずめ",Amandava,0
"米国アマチュア運動競技協会,べいこくあまちゅあうんどうきょうぎきょうかい",Amateur Athletic Association of America,0
"米国アマチュア自転車連盟,べいこくあまちゅあじてんしゃれんめい",Amateur Bicycle League of America,0
"米国アマチュア・フェンシング選手連盟,べいこくあまちゅあ・ふぇんしんぐせんしゅれんめい",Amateur Fencers League of America,0
"米国憲法の修正条項,べいこくけんぽうのしゅうせいじょうこう",Amendments,0
"米国アクチュアリー・アカデミー,べいこくあくちゅありー・あかでみー",American Academy of Actuaries,0
"米国アレルギー・ぜんそく・免疫学会,べいこくあれるぎー・ぜんそく・めんえきがっかい","American Academy of Allergy, Asthma and Immunology",0
"米国抗加齢医学会,べいこくこうかれいいがくかい",American Academy of Anti-Aging Medicine,0
"米国アジア学会,べいこくあじあがっかい",American Academy of Asian Study,0
"米国聴覚学会,べいこくちょうかくがっかい",American Academy of Audiology,0
"米国児童青年精神医学会,べいこくじどうせいねんせいしんいがくかい",American Academy of Child and Adolescent Psychiatry,0
"米国臨床中毒学会,べいこくりんしょうちゅうどくがっかい",American Academy of Clinical Toxicology,0
"米国美容歯科学会,べいこくびようしかがっかい",American Academy of Cosmetic Dentistry,0
"米国歯科医療管理学会,べいこくしかいりょうかんりがっかい",American Academy of Dental Practice Administration,0
"米国皮膚病学会,べいこくひふびょうがっかい",American Academy of Dermatology,0
"米国救急医療学会,べいこくきゅうきゅういりょうがっかい",American Academy of Emergency Medicine,0
"米国家庭医学会,べいこくかていいがくかい",American Academy of Family Physicians,0
"米国保健物理学会,べいこくほけんぶつりがっかい",American Academy of Health Physics,0
"米国ホームケア医師会,べいこくほーむけあいしかい",American Academy of Home Care Physicians,0
"米国顎顔面補綴学会,べいこくあごがんめんほてつがっかい",American Academy of Maxillofacial Prosthetics,0
"米国鍼医学会,べいこくはりいがくかい",American Academy of Medical Acupuncture,0
