meanings,word,score
"ペニス,ぺにす",acorn,0
"ペニス,ぺにす",almond,0
"ペンニンアルプス,ぺんにんあるぷす",Alpi Pennine,0
"ペルシャ湾,ぺるしゃわん",Arabian Gulf,0
"ぺちゃくちゃしゃべる人,ぺちゃくちゃしゃべるにん",babbler,0
"ペイカン・マーツーミャオー,ぺいかん・まーつーみゃおー",baigangmazumiao,0
"ペイソン,ぺいそん",Baisong,0
"ペイトゥ,ぺいとぅ",Baitou,0
"ペニス,ぺにす",banana,0
"ペルー中央準備銀行,ぺるーちゅうおうじゅんびぎんこう",Banco Central de Reserva del Peru,0
"ペイ・アン,ぺい・あん",Beian,0
"ペイペイ,ぺいぺい",Beibei,0
"ペイカン,ぺいかん",Beigang,0
"ペイカン・マーツーミャオー,ぺいかん・まーつーみゃおー",Beigangmazumiao,0
"ペイハイ,ぺいはい",Beihai,0
"北京,ぺきん",Beijing,0
"ペキン,ぺきん",Beijing,0
"北京娃娃,ぺきんああ",Beijing Doll,0
"北京の人,ぺきんのにん",Beijinger,0
"ペイナン族,ぺいなんぞく",Beinan,0
"ペイナン文化,ぺいなんぶんか",Beinan,0
"ペイナン,ぺいなん",Beinan,0
"ペイピャオ,ぺいぴゃお",Beipiao,0
"ペイピン,ぺいぴん",Beiping,0
"ペイソン,ぺいそん",Beisong,0
"ペニス,ぺにす",bicho,0
"ペースト状の食品,ぺーすとじょうのしょくひん",butter,0
"ペニャス岬,ぺにゃすみさき",Cabo de Penas,0
"北京,ぺきん",Cambuluc,0
"ペカン属,ぺかんぞく",Carya,0
"ペア,ぺあ",case,0
"ペルー中央準備銀行,ぺるーちゅうおうじゅんびぎんこう",Central Reserve Bank of Peru,0
"ペテン師,ぺてんし",charlatan,0
"ペテン師,ぺてんし",clip-artist,0
"ペニス,ぺにす",cock,0
"ペニスを口で愛撫する人,ぺにすをくちであいぶするにん",cocksucker,0
"ペテン,ぺてん",cold-decker,0
"ペンキ,ぺんき",color,0
"ペテン師,ぺてんし",con,0
"ペット,ぺっと",cosset,0
"ペニス,ぺにす",creamstick,0
"ぺこぺこする人,ぺこぺこするにん",cringer,0
"ペテン師,ぺてんし",crook,0
"ペテン,ぺてん",curve,6
"ペンシルベニア選出民主党国会議員,ぺんしるべにあせんしゅつみんしゅとうこっかいぎいん",D-Pa,0
"ペニス,ぺにす",dangle,0
"ペテン,ぺてん",deceit,0
"ペントスタチン,ぺんとすたちん",deoxycoformycin,0
"ペッサリー,ぺっさりー",diaphragm,0
"ペッサリー,ぺっさりー",diaphragma,0
"ペニス,ぺにす",dick,0
"ペニス,ぺにす",dingle,0
"ペニス,ぺにす",dink,0
"ペニス,ぺにす",dipstick,0
"ペテン,ぺてん",dipsy-doodle,0
"ペテン師,ぺてんし",dipsy-doodle,0
"ペテン師とサギ師／だまされてリビエラ,ぺてんしとさぎし／だまされてりびえら",Dirty Rotten Scoundrels,0
"ペテン師,ぺてんし",dodger,0
"ページの角の折れ,ぺーじのかくのおれ",dog-ear,0
"ペニス,ぺにす",dong,0
"ペニスが大きな人,ぺにすがおおきなにん",donkey,0
"ペニス,ぺにす",doodad,0
"ペニス,ぺにす",doohickey,0
"ペニス,ぺにす",doohicky,0
"ペニス,ぺにす",doohinky,0
"ペニス,ぺにす",dork,0
"ペニス,ぺにす",dragon,0
"ペンダント付きイヤリング,ぺんだんとつきいやりんぐ",eardrop,0
"ペテン師,ぺてんし",faker,0
"ペルシア語,ぺるしあご",Farsi,0
"ペルシア語を話す人々,ぺるしあごをはなすひとびと",Farsi,0
"ペー,ぺー",fe,0
"ペテン師,ぺてんし",fiddler,0
"ペンタグラム／悪魔の烙印,ぺんたぐらむ／あくまのらくいん",First Power,0
"ぺちゃんこのタイヤ,ぺちゃんこのたいや",flat,4
"ペールオレンジ色,ぺーるおれんじしょく",flesh,0
"ペールオレンジ色のタイツ,ぺーるおれんじしょくのたいつ",fleshing,0
"ペテン,ぺてん",flimflam,0
"ペタペタという音,ぺたぺたというおと",flip-flap,0
"ペラペラという音,ぺらぺらというおと",flip-flap,0
"ペンギンの翼,ぺんぎんのつばさ",flipper,0
"ペニス,ぺにす",flute,0
"ページ番号,ぺーじばんごう",folio,0
"ペダル,ぺだる",footboard,0
"ペテン,ぺてん",fraud,0
"ペテン師,ぺてんし",fraud,0
"ペニス,ぺにす",fucker,0
"ペガーナの神々,ぺがーなのかみがみ",Gods of Pegana,0
"ペニャス湾,ぺにゃすわん",Golfo de Penas,0
"ペテン,ぺてん",gouge,0
"ペテン師,ぺてんし",gouger,0
"ペテン,ぺてん",grift,0
"ペテン師,ぺてんし",grifter,0
"ペルシャ湾,ぺるしゃわん",Gulf,0
"ペルシア湾岸諸国,ぺるしあわんがんしょこく",Gulf States,0
"ペテン師,ぺてんし",gypper,0
"ペテン師,ぺてんし",gypster,0
"ペニス,ぺにす",hang-down,0
"ペッパー,ぺっぱー",high-stepper,0
"ペロポネソス戦争の歴史,ぺろぽねそすせんそうのれきし",History of the Peloponnesian War,0
"ペルシャ戦争の歴史,ぺるしゃせんそうのれきし",History of the Persian Wars,0
"ペテン師,ぺてんし",hoser,0
"ペチャクチャしゃべること,ぺちゃくちゃしゃべること",hubble-bubble,0
"ペテン師,ぺてんし",huckster,0
"ペテン師,ぺてんし",humbug,0
"ペテン師,ぺてんし",humbugger,0
"ペテン,ぺてん",humbuggery,0
"ペテン,ぺてん",hustle,0
"北京応用物理計算数学研究所,ぺきんおうようぶつりけいさんすうがくけんきゅうしょ",Institute of Applied Physics and Computational Mathematics,0
"ペルシア人,ぺるしあにん",Irani,0
