meanings,word,score
"保安企画課,ほあんきかくか",A.T.S. System Planning Division,0
"放縦,ほうじゅう",abandon,6
"奔放,ほんぽう",abandon,6
"放棄,ほうき",abandonment,0
"歩行不能,ほこうふのう",abasia,0
"放棄,ほうき",abdication,0
"香港仔,ほんこんし",Aberdeen,0
"ホンコンチャイ,ほんこんちゃい",Aberdeen,0
"ほう助,ほうじょ",abetment,0
"胞子の放出,ほうしのほうしゅつ",abjection,0
"放棄,ほうき",abjuration,0
"抱擁,ほうよう",abrazo,0
"他のことに気をとられていること,ほかのことにきをとられていること",abstractedness,0
"放心,ほうしん",abstraction,0
"豊富さ,ほうふさ",abundance,0
"補機,ほき",accessories,0
"補助器官,ほじょきかん",accessorius,0
"ほう助,ほうじょ",accessoryship,0
"補償課,ほしょうか",Accident Compensation Division,0
"褒め言葉,ほめことば",accolade,0
"報告,ほうこく",account,0
"報告義務,ほうこくぎむ",accountability,0
"ほら話,ほらはなし",ackamaracka,0
"ほら話,ほらはなし",ackamaraka,0
"放縦,ほうじゅう",acolasia,0
"捕捉,ほそく",acquisition,5
"ホタルジャコ科,ほたるじゃこか",Acropomatidae,0
"法令,ほうれい",act,0
"放射線生物学,ほうしゃせんせいぶつがく",actinobiology,0
"放射化学,ほうしゃかがく",actinochemistry,0
"放射線皮膚炎,ほうしゃせんひふえん",actinodermatitis,0
"放射線・誘電体,ほうしゃせん・ゆうでんたい",actinodielectric,0
"放射電気,ほうしゃでんき",actinoelectricity,0
"放射性元素,ほうしゃせいげんそ",actinogen,0
"放射体輻,ほうしゃからだふく",actinomere,0
"放射相称,ほうしゃそうしょう",actinomorphy,0
"放線菌科,ほうせんきんか",Actinomycetaceae,0
"放線菌目,ほうせんきんめ",Actinomycetales,0
"放線菌,ほうせんきん",actinomycete,0
"放線菌類,ほうせんきんるい",actinomycete,0
"放線菌性菌腫,ほうせんきんせいきんしゅ",actinomycetoma,0
"放線菌腫,ほうせんきんしゅ",actinomycoma,0
"放線菌症,ほうせんきんしょう",actinomycosis,0
"放射線神経炎,ほうしゃせんしんけいほのお",actinoneuritis,0
