meanings,word,score
"ポリネシア航空,ぽりねしあこうくう",Air Polynesie,0
"ポンプ座,ぽんぷざ",Antlia,0
"ポンド,ぽんど",avoirdupois pound,0
"ポン引き,ぽんひき",balla,0
"ポルトガル銀行,ぽるとがるぎんこう",Banco de Portugal,0
"ポルノ映画,ぽるのえいが",beaver-flick,0
"ポケットベル,ぽけっとべる",beeper,0
"ポケベル,ぽけべる",beeper,0
"ポーター,ぽーたー",bellboy,0
"ポンプー,ぽんぷー",Bengbu,0
"ポセイドン・アドベンチャー2,ぽせいどん・あどべんちゃーに",Beyond the Poseidon Adventure,0
"ポセイドン・アドベンチャー2,ぽせいどん・あどべんちゃーに",Beyond The Poseidon Adventure,0
"ポテンヒット,ぽてんひっと",bloop,0
"ポテンヒット,ぽてんひっと",blooper,0
"ポリ公,ぽりこう",bluebird,0
"ポンド札,ぽんどさつ",bluey,0
"ポカ,ぽか",blunder,0
"ポーチョウ,ぽーちょう",Bozhou,0
"ポタラ,ぽたら",Budala,0
"ポタラ宮殿,ぽたらきゅうでん",Budala,0
"ポリ公,ぽりこう",bull,0
"ぽか,ぽか",bungle,0
"ポン引き,ぽんひき",butt-peddler,0
"ポン引き,ぽんひき",cadet,0
"ポットマリーゴールド,ぽっとまりーごーるど",calendula,0
"ポルト岬,ぽるとみさき",Cape Porto,0
"ポット,ぽっと",carafe,0
"ポーランド中央統計局,ぽーらんどちゅうおうとうけいきょく",Central Statistical Office of Poland,0
"ポンピドゥーセンター,ぽんぴどぅーせんたー",Centre Pompidou,0
"ポテンヒット,ぽてんひっと",cheapie,0
"ポーカー・ルーレットなどの数取り札,ぽーかー・るーれっとなどのかずとりさつ",chip,0
"ポテトチップ,ぽてとちっぷ",chip,0
"ぽっちゃりした人,ぽっちゃりしたにん",chub,0
"ぽっちゃりした女性,ぽっちゃりしたじょせい",chubbette,0
"ぽっちゃり大好き,ぽっちゃりだいすき",chubby-chaser,0
"ポリエチレンのラップ,ぽりえちれんのらっぷ",cling-film,0
"ポリエチレンのラップ,ぽりえちれんのらっぷ",cling-wrap,0
"ぽんこつ車,ぽんこつくるま",clunker,0
"ポルカン山,ぽるかんやま",Co. Polkan,0
"ポルトガル語諸国共同体,ぽるとがるごしょこくきょうどうたい",Community of Portuguese-Speaking Countries,0
"ぽんこつ,ぽんこつ",creaker,0
"ぽんこつ車,ぽんこつくるま",crock,0
"ポソ湖,ぽそみずうみ",Danau Poso,0
"ポーチ,ぽーち",deck,0
"ポーカーのワンペア,ぽーかーのわんぺあ",deuce,0
"ポリス・スクワッド,ぽりす・すくわっど",Devil's Odds,0
"ポテンヒット,ぽてんひっと",dink,0
"ポタポタ,ぽたぽた",drip-drip,0
"ポタポタ,ぽたぽた",drip-drop,0
"ポテンヒット,ぽてんひっと",drooper,0
"ポテンヒット,ぽてんひっと",flare,0
"ぽっこりと出た下腹,ぽっこりとでたかふく",FUDA,0
"ポテンヒット,ぽてんひっと",fungo,0
"ぽっこりと出た下腹,ぽっこりとでたかふく",FUPA,0
"ぽかんと口を開けて見とれる人,ぽかんとくちをひらけてみとれるにん",gaper,0
"ぽかんと見とれている人,ぽかんとみとれているにん",gapeseed,0
"ポー川,ぽーかわ",Gave de Pau,0
"ポップコーン茶,ぽっぷこーんちゃ",Genmaicha,0
"ポルタメント,ぽるためんと",glide,0
"ポリカストロ湾,ぽりかすとろわん",Golfo di Policastro,0
"ポーター,ぽーたー",hamal,0
"ポーター,ぽーたー",hammal,0
"ポルフィリン症,ぽるふぃりんしょう",hematoporphyria,0
"ポアロのクリスマス,ぽあろのくりすます",Hercule Poirot's Christmas,0
"ポケットネズミ科,ぽけっとねずみか",Heteromyidae,0
"ぽんこつ車,ぽんこつくるま",hooptie,0
"ポートランド島,ぽーとらんどしま",Isle of Portland,0
"ポンツァ島,ぽんつぁしま",Isola di Ponza,0
"ポンチアネ諸島,ぽんちあねしょしま",Isole Ponziane,0
"ぽんこつ車,ぽんこつくるま",jaloppy,0
"ぽんこつ車,ぽんこつくるま",jalopy,0
"ポテトウェッジ,ぽてとうぇっじ",jo-jo,0
"ポット,ぽっと",jug,0
"ぽんこつ自動車,ぽんこつじどうしゃ",junker,0
"ポテンヒット,ぽてんひっと",knubber,0
"ポンド,ぽんど",L,0
"ポーポ湖,ぽーぽみずうみ",Lago de Poopo,0
"ポイガン湖,ぽいがんみずうみ",Lake Poygan,0
"ポンペイ最後の日,ぽんぺいさいごのにち",Last Days of Pompeii,0
"ポンド,ぽんど",lb,0
"ポンド,ぽんど",lb.,0
"ポロネギ,ぽろねぎ",leek,0
"ポイ捨て,ぽいすて",littering,0
"ぽんこつ車,ぽんこつくるま",lunker,0
"ポルトガル人,ぽるとがるにん",Lusitanian,0
"ポン引き,ぽんひき",mack,0
"ポドフィルムの実,ぽどふぃるむのみ",mandrake,0
"ポケットいっぱいの涙,ぽけっといっぱいのなみだ",Menace Society,0
"ポケット用酒瓶,ぽけっとようさかびん",mickey,0
"ポケット・テレビ,ぽけっと・てれび",minitube,0
"ポケット,ぽけっと",mount,7
"ポングウェ族,ぽんぐうぇぞく",Mpongwe,0
"ポップミュージシャン,ぽっぷみゅーじしゃん",muso,0
"ポップミュージックに詳しい人,ぽっぷみゅーじっくにくわしいにん",muso,0
"ポーランド国立銀行,ぽーらんどこくりつぎんこう",Narodowy Bank Polski,0
"ポーランド国立銀行,ぽーらんどこくりつぎんこう",National Bank of Poland,0
"ポインタ,ぽいんた",needle,0
"ポイント・レース,ぽいんと・れーす",needlepoint,0
"ポルノ映画,ぽるのえいが",nuddy,0
"ポルノ映画,ぽるのえいが",nudie,0
"ポカミス,ぽかみす",oops,0
"ポハン,ぽはん",P'ohang,0
"ポケットベル,ぽけっとべる",pager,0
"ポケベル,ぽけべる",pager,0
"ポーク海峡,ぽーくかいきょう",Palk Straits,0
"ポロポ,ぽろぽ",Palopo,0
"ポパダム,ぽぱだむ",papadum,0
"ポ,ぽ",papaw,0
"ポポーノキ,ぽぽーのき",papaw,0
"ポンド氏の逆説,ぽんどしのぎゃくせつ",Paradoxes of Mr. Pond,0
"ポート・ステート・コントロールへの合意に関するパリ覚書,ぽーと・すてーと・こんとろーるへのごういにかんするぱりおぼえがき",Paris Memorandum of Understanding on Port State Control,0
"ポー,ぽー",Pau,0
"ポーイヤック・ワイン,ぽーいやっく・わいん",Pauillac,0
"ポイヤック,ぽいやっく",Pauillac,0
"ポールルー,ぽーるるー",Paul Roux,0
"ポール・シェーラー研究所,ぽーる・しぇーらーけんきゅうしょ",Paul Scherrer Institute,0
"ポールジング,ぽーるじんぐ",Paulding,0
"ポーピエット,ぽーぴえっと",paupiette,0
"ポーポー,ぽーぽー",Paw Paw,0
"ポーン,ぽーん",pawn,0
"ポーニー族,ぽーにーぞく",Pawnee,0
"ポーニー語,ぽーにーご",Pawnee,0
"ポーポー,ぽーぽー",pawpaw,0
"ポポー,ぽぽー",pawpaw,0
"ポポ,ぽぽ",pawpaw,0
"ポポーの実,ぽぽーのみ",pawpaw,0
"ポータケット,ぽーたけっと",Pawtucket,0
"ポンフー・クンダァオ,ぽんふー・くんだぁお",Penghu,0
"ポンフー・クンダァオ,ぽんふー・くんだぁお",Penghu archipelago,0
"ポンフー・クンダァオ,ぽんふー・くんだぁお",Penghu qundao,0
"ポイベ,ぽいべ",Phoebe,0
"ポイボス,ぽいぼす",Phoebus,0
"ポイニキア,ぽいにきあ",Phoenicia,0
"ポエニキア,ぽえにきあ",Phoenicia,0
"ポンサーリー,ぽんさーりー",Phongsali,0
"ポーンサワン郡,ぽーんさわんぐん",Phonsavan,0
"ポパガウン,ぽぱがうん",Phopagaon,0
"ポタクスル,ぽたくする",Photaksur,0
"ポン,ぽん",phut,0
"ポーチ,ぽーち",piazza,0
"ポリ公,ぽりこう",pig,0
"ポベダ山,ぽべだやま",Pik Pobeda,0
"ポスター,ぽすたー",placard,0
"ポケット,ぽけっと",placket,0
"ポケット,ぽけっと",placket hole,0
"ポチャンという音,ぽちゃんというおと",plash,0
"ポイントカード,ぽいんとかーど",plastic,0
"ポーランド糾髪症,ぽーらんどきゅうかみしょう",plica,0
"ポトン,ぽとん",plop,0
"ポチャン,ぽちゃん",plop,0
"ポロンと鳴らす音,ぽろんとならすおと",plunk,0
"ポー川,ぽーかわ",Po,0
"ポーボーイ,ぽーぼーい",Po-Boy,0
