meanings,word,score
"マルにaの字,まるにえーのじ",a-in-a-circle,0
"丸a,まるえー",a-in-a-circle,0
"マニラアサ,まにらあさ",abaca,0
"マニラ麻,まにらあさ",abaca,0
"まごつき,まごつき",abashedness,0
"まごつき,まごつき",abashment,0
"マヒワ,まひわ",aberdevine,0
"摩耗,まもう",ablation,0
"回れ右,まわれみぎ",about-face,0
"マスメディア広告,ますめでぃあこうこく",above-the-line,0
"摩耗試験機,まもうしけんき",abraser,0
"摩滅,まめつ",abrasion,0
"摩耗,まもう",abrasion,0
"摩損性,まそんせい",abrasiveness,0
"マネージドケア薬学会,まねーじどけあやくがくかい",Academy of Managed Care Pharmacy,0
"前打音,まえだおと",acciaccatura,0
"満場一致,まんじょういっち",acclamation,0
"マリフアナの紙巻きたばこ,まりふあなのかみまききたばこ",ace,0
"麻薬,まやく",acid,6
"満腹感欠如,まんぷくかんけつじょ",acoria,0
"末端動原体,まったんどうはらからだ",acrocentric,0
"末端異形成症,まったんいぎょうせいしょう",acrodysplasia,0
"末端肥大症,まったんひだいしょう",acromegaly,0
"幕,まく",act,0
"マタタビ属,またたびぞく",Actinidia,0
"マタタビ科,またたびか",Actinidiaceae,0
"麻薬教育行動委員会,まやくきょういくこうどういいんかい",Action Committee for Narcotics Education,0
"まとめ,まとめ",add-up,0
"麻薬中毒研究センター,まやくちゅうどくけんきゅうせんたー",Addiction Research Center,0
"慢性リンパ腺肥大,まんせいりんぱせんひだい",adenia,0
"マスコミの宣伝に影響されやすい大衆,ますこみのせんでんにえいきょうされやすいたいしゅう",admass,0
"混ぜ物,まぜもの",admixture,0
"混ぜ物,まぜもの",adulterant,0
"前払い,まえばらい",advance,0
"前金,まえきん",advance payment,0
"前渡し金,まえわたしきん",advance payment,0
"前払い金,まえばらいきん",advance payment,0
"前貸し説,まえがしせつ",advance theory,0
"前払い説,まえばらいせつ",advance theory,0
"前へ進むこと,まえへすすむこと",advancement,0
"マルコ・ポーロの冒険,まるこ・ぽーろのぼうけん",Adventure of Marco Polo,0
"埋積作用,まいせきさよう",aggradation,0
"マラリア熱,まらりあねつ",ague,0
"マルタ航空,まるたこうくう",Air Malta,0
"マンダレー航空,まんだれーこうくう",Air Mandalay,0
"マレア岬,まれあみさき",Akra Maleas,0
"マフラク,まふらく",Al Mafrag,0
"マナマ,まなま",Al Manamah,0
"マデイーナ,までいーな",Al-Madina,0
"マフラク,まふらく",Al-Mafraq,0
"マハラアルクブラ,まはらあるくぶら",Al-Mahallah al-Kubra,0
"マフディーア,まふでぃーあ",Al-Mahdiyah,0
"マフムーディーヤ,まふむーでぃーや",Al-Mahmudiyah,0
"マンシャーフ,まんしゃーふ",Al-Manshah,0
"マンスーラ,まんすーら",Al-Mansurah,0
"マンジラ,まんじら",Al-Manzilah,0
"マラーガ,まらーが",Al-Maraghah,0
"マルジュ,まるじゅ",Al-Marj,0
"マタリーヤ,またりーや",Al-Matariyah,0
"魔術,まじゅつ",alchemy,0
"魔力,まりょく",alchemy,0
"マルバタケハギ,まるばたけはぎ",Alyce,0
"ママ,まま",Ama,0
"マニ,まに",Ama,0
"マミ,まみ",Ama,0
"曲がりくねった道,まがりくねったみち",ambages,0
"回り道,まわりみち",ambages,0
"迷い,まよい",ambivalence,0
"マルツノハジラミ亜目,まるつのはじらみあめ",Amblycera,0
"待ち伏せ,まちふせ",ambuscade,0
"待ち伏せ,まちふせ",ambush,0
"待ち伏せ要員,まちふせよういん",ambush,0
"待ち伏せ場所,まちふせばしょ",ambush,0
"マーシャルコマンダー／黒の攻襲,まーしゃるこまんだー／くろのこうしゅう",American Ninja 5,0
"魔よけ,まよけ",amulet,0
"前辞反復,まえじはんぷく",anadiplosis,0
"マガモ属,まがもぞく",Anas,0
"摩擦療法,まさつりょうほう",anatripsis,0
"まき載せ台,まきのせだい",andiron,0
"麻酔,ますい",anesthesia,0
"麻酔薬投与量調節装置,ますいやくとうよりょうちょうせつそうち",anesthesimeter,0
"麻酔専門医,ますいせんもんい",anesthesiologist,0
"麻酔学,ますいがく",anesthesiology,0
"麻酔活性部,ますいかっせいぶ",anesthesiophore,0
"麻酔医,ますいい",anesthesist,0
"麻酔薬,ますいやく",anesthetic,0
"麻酔剤,ますいざい",anesthetic,0
