meanings,word,score
"見捨てること,みすてること",abandonment,0
"見捨てられたソフトウェア,みすてられたそふとうぇあ",abandonware,0
"見越し額,みこしひたい",accrual,0
"三日月形の赤血球,みかづきかたちのせっけっきゅう",achromocyte,0
"ミサ答え,みさこたえ",acolyte,0
"ミサ仕え,みさつかえ",acolyte,0
"ミドリイシ属,みどりいしぞく",Acropora,0
"脈拍触知不能,みゃくはくしょくちふのう",acrotism,0
"見せ掛け,みせかけ",act,0
"見せ掛け,みせかけ",acting,0
"緑のサヘル,みどりのさへる",Action for Greening Sahel,0
"ミルクヘビ,みるくへび",adder,7
"密着性,みっちゃくせい",adhesiveness,0
"未成年,みせいねん",Adolescent,0
"右側に書かれた文字,みぎがわにかかれたもじ",adscript,0
"密通者,みっつうもの",adulterer,0
"民事規則制定諮問委員会,みんじきそくせいていしもんいいんかい",Advisory Committee on Civil Rules,0
"緑青,みどりあお",aerugo,0
"見せ掛け,みせかけ",affectation,0
"身近な問題を放っておいて遠い国の問題に労力を費やすこと,みじかなもんだいをほうっっておいてとおいくにのもんだいにろうりょくをついやすこと",Afghanistanism,0
"未開社会学,みかいしゃかいがく",agriology,0
"ミツユビナマケモノ,みつゆびなまけもの",ai,0
"見下ろした風景,みおろしたふうけい",airscape,0
"ミヌフィーヤ,みぬふぃーや",Al-Minufiyah,0
"ミンヤー,みんやー",Al-Minya,0
"ミズウオ科,みずうおか",Alepisauridae,0
"ミズウオ亜目,みずうおあめ",Alepisauroidei,0
"認めること,みとめること",allowance,0
"魅力,みりょく",allure,7
"魅惑,みわく",allure,7
"魅力,みりょく",allurement,0
"ミョウバン,みょうばん",alum,0
"ミョウバン石,みょうばんいし",alumstone,0
"ミョウバン石,みょうばんいし",alunite,0
"ミヤマナズナ属,みやまなずなぞく",alyssum,0
"ミヤマナズナ属の種,みやまなずなぞくのたね",alyssum,0
"未熟者,みじゅくもの",amateur,0
"未経験者,みけいけんしゃ",amateur,0
"味覚鈍麻,みかくどんま",amblygeustia,0
"魅力,みりょく",amenity,0
"ミミズトカゲ,みみずとかげ",amphisbaena,0
"ミミズトカゲ,みみずとかげ",amphisbaenian,0
"ミミズトカゲ科,みみずとかげか",Amphisbaenidae,0
"脈管切除,みゃくかんせつじょ",angiectomy,0
"脈管構造学,みゃくかんこうぞうがく",angioarchitecture,0
"脈管転位,みゃくかんてんい",angioectopia,0
"脈管象皮病,みゃくかんぞうかわびょう",angioelephantiasis,0
"脈管学,みゃくかんがく",angiologia,0
"脈管学者,みゃくかんがくしゃ",angiologist,0
"脈管学,みゃくかんがく",angiology,0
"脈管拡張,みゃくかんかくちょう",angiomegaly,0
"脈管神経切離,みゃくかんしんけいせつり",angioneurotomy,0
"脈管形成,みゃくかんけいせい",angiopoiesis,0
"脈管破裂,みゃくかんはれつ",angiorrhexis,0
"見方,みかた",angle,0
"ミミズ,みみず",angleworm,0
"溝付きくぎ,みぞつきくぎ",annular,0
"ミズウオダマシ科,みずうおだましか",Anotopteridae,0
"身元,みもと",antecedent,0
"見掛けのユートピア,みかけのゆーとぴあ",anti-utopian,0
"見越し,みこし",anticipation,6
"耳珠,みみしゅ",antilobium,0
"水け止め,みずけとめ",antipriming,0
"皆のもの,みなのもの",anyone's,0
