meanings,word,score
"無βリポタンパク血症,むべーたりぽたんぱくちしょう",abetalipoproteinemia,0
"無生物,むせいぶつ",abio,0
"無機化学,むきかがく",abiochemistry,0
"無生活力,むせいかつりょく",abionergy,0
"無生活力,むせいかつりょく",abiotrophy,0
"無眼瞼,むめまぶた",ablepharia,0
"無眼瞼,むめまぶた",ablepharon,0
"無眼瞼,むめまぶた",ablephary,0
"無腕,むうで",abrachia,0
"無腕無頭,むうでむあたま",abrachiocephalia,0
"無腕無頭,むうでむあたま",abrachiocephaly,0
"夢中,むちゅう",absorption,0
"無為,むい",abulia,0
"無炭酸血,むたんさんち",acapnemia,0
"無莢膜,むらいまく",acapsulate,0
"無心症,むしんしょう",acardia,0
"無心体,むしんからだ",acardiacus,0
"無心体,むしんからだ",acardius,0
"無カタラーゼ血,むかたらーぜち",acatalasemia,0
"無カタラーゼ症,むかたらーぜしょう",acatalasia,0
"無感動,むかんどう",acathexis,0
"無茎,むくき",acaulescence,0
"無感動,むかんどう",accidia,0
"無関心,むかんしん",accidia,0
"無感動,むかんどう",accidie,0
"無関心,むかんしん",accidie,0
"無咬合,むこうごう",acclusion,0
"無感動,むかんどう",acedia,0
"無関心,むかんしん",acedia,0
"無頭症,むあたましょう",acephalia,0
"無頭足症,むあたまあししょう",acephalopodia,0
"無頭体,むあたまからだ",acephalus,0
"無頭症,むあたましょう",acephaly,0
"無セルロプラスミン血症,むせるろぷらすみんちしょう",aceruloplasminemia,0
"無弛緩症,むしかんしょう",achalasia,0
"無唇,むくちびる",acheilia,0
"無手足症,むてあししょう",acheiropodia,0
"無手無足,むてむあし",acheiropody,0
"無手体,むてからだ",acheirus,0
"無唇,むくちびる",achilia,0
"無手無足,むてむあし",achiropodia,0
"無手無足,むてむあし",achiropody,0
"無手体,むてからだ",achirus,0
"無酸症,むさんしょう",achlorhydria,0
"無胆汁症,むたんじゅうしょう",acholia,0
"無胆汁色素尿,むたんじゅうしきそにょう",acholuria,0
"無球粒隕石,むたまつぶいんせき",achondrite,0
"無色素血,むしょくもとち",achreocythemia,0
"無色素,むしょくもと",achroa,0
"無色素球,むしょくもとたま",achroacyte,0
"無色,むしょく",achroma,0
