meanings,word,score
"迷信,めいしん",Aberglaube,0
"免除,めんじょ",absolution,0
"芽生生殖,めなまなましょく",accrementition,0
"名手,めいしゅ",ace,0
"名人,めいじん",ace,0
"冥土,めいど",Acheron,0
"面識,めんしき",acquaintance,5
"メルアド,めるあど",addy,0
"名人,めいじん",adept,0
"命令,めいれい",adjuration,0
"免疫補助剤,めんえきほじょざい",adjuvant,0
"名詞用法の形容詞,めいしようほうのけいようし",adnoun,0
"面倒,めんどう",ado,0
"メダカ科,めだかか",Adrianichthyidae,0
"恵まれた人,めぐまれたにん",advantaged,0
"珍しい出来事,めずらしいできごと",adventure,2
"メモ,めも",adversaria,0
"メヒコ航空,めひここうくう",Aeromexico,0
"めぐり逢い,めぐりあい",Affair To Remember,0
"メイン・マストより船尾にある船倉,めいん・ますとよりせんびにあるせんそう",after-hold,0
"メギ科ヒイラギナンテン属の低木,めぎかひいらぎなんてんぞくのていぼく",agarita,0
"瑪瑙,めのう",agate,0
"面倒なこと,めんどうなこと",aggro,0
"メロディー,めろでぃー",air,0
"目覚まし時計,めざましとけい",alarm,0
"名作集,めいさくしゅう",album,0
"メディカルライター協会,めでぃかるらいたーきょうかい",American Medical Writers Association,0
"メキシコ産のリュウゼツラン類の植物,めきしこうのりゅうぜつらんるいのしょくぶつ",amole,0
"命名儀式,めいめいぎしき",amphidromia,0
"メリット,めりっと",angle,0
"眼,め",Anguish,0
"眼瞼癒着,めまぶたゆちゃく",ankyloblepharon,0
"名画集,めいがしゅう",anthology,0
"名曲集,めいきょくしゅう",anthology,0
"名誉毀損防止組合,めいよきそんぼうしくみあい",Anti-Defamation League,0
"免疫体,めんえきからだ",antibody,0
"名称,めいしょう",appellation,0
"名称,めいしょう",appellative,0
"免許,めんきょ",approval,0
"雌器床,めすうつわとこ",archegoniophore,0
"面積,めんせき",area,3
"メロディー,めろでぃー",aria,0
"目覚め,めざめ",arousal,0
"命令,めいれい",arret,0
"明瞭な発音,めいりょうなはつおん",articulation,0
"明確な表現,めいかくなひょうげん",articulation,0
"明瞭に発音する人,めいりょうにはつおんするにん",articulator,0
"名人,めいじん",artist,0
"面,めん",aspect,5
"目の疲れ,めのつかれ",asthenopia,0
"眼縁癒着,めへりゆちゃく",atretoblepharia,0
"メイム叔母さん,めいむおばさん",Auntie Mame,0
"命名者,めいめいしゃ",author,4
"免許,めんきょ",authorization,0
"明言,めいげん",avowal,0
"目覚めた状態,めざめたじょうたい",awakefullness,0
"目覚めさせる人,めざめさせるにん",awakener,0
"目覚め,めざめ",awakening,0
"目覚め,めざめ",Awakening,0
"目覚め,めざめ",awareness,6
"メカルドニア,めかるどにあ",Axilflower,0
"メキシコサンショウウオ,めきしこさんしょううお",axolotl,0
"メー,めー",baa,0
"メーメー,めーめー",baa-aa,0
"メーメー,めーめー",baa-baa,0
"メーメー,めーめー",baa-lamb,0
"目立たない場所,めだたないばしょ",background,0
"メキシコ銀行,めきしこぎんこう","Banco de Mexico, S.A.",0
"名門,めいもん",Banker,0
"命名,めいめい",baptizing,0
"メギ,めぎ",barberry,0
"迷惑メール,めいわくめーる",barfmail,0
"メギ科イカリソウ属の植物,めぎかいかりそうぞくのしょくぶつ",barrenwort,0
"メボウキ,めぼうき",basil,0
"メダマウオ科,めだまうおか",Bathymasteridae,0
"名声,めいせい",bay,0
"名誉,めいよ",bay,0
"名簿,めいぼ",beadroll,0
"メキシコ人,めきしこにん",bean-eater,0
"メキシコ人,めきしこにん",beaner,0
"名勝,めいしょう",beauty spot,0
"名所,めいしょ",beauty spot,0
"命令,めいれい",behest,0
"鳴鐘者,めいかねもの",bellman,0
"メリット,めりっと",benefit,5
"メルセデスベンツ,めるせですべんつ",Benz,0
"メギ科,めぎか",Berberidaceae,0
"メギ,めぎ",berberis,0
"面取り,めんとり",beveling,0
"命令する人,めいれいするにん",bidder,0
"命令,めいれい",bidding,0
"明細書,めいさいしょ",bill,5
"メモ,めも",billet,0
"雌犬,めすいぬ",bitch,0
"雌,めす",bitch,0
"芽体,めからだ",blastema,0
"芽球化,めたまか",blastogenesis,0
"芽球様細胞,めたまさまさいぼう",blastoid,0
"芽細胞腫,めさいぼうしゅ",blastoma,0
"目印,めじるし",blaze,6
"目がかすむこと,めがかすむこと",blearedness,0
"目がかすむこと,めがかすむこと",bleariness,0
"眼瞼腺炎,めまぶたせんほのお",blepharadenitis,0
"眼瞼切除術,めまぶたせつじょじゅつ",blepharectomy,0
"眼瞼浮腫,めまぶたふしゅ",blepharedema,0
"眼瞼けいれん,めまぶたけいれん",blepharism,0
"眼瞼炎,めまぶたほのお",blepharitis,0
"眼瞼腺腫,めまぶたせんしゅ",blepharoadenoma,0
"眼瞼皮膚弛緩症,めまぶたひふしかんしょう",blepharochalasis,0
"眼瞼皮膚弛緩症,めまぶたひふしかんしょう",blepharochalsis,0
"眼瞼色汗症,めまぶたしょくあせしょう",blepharochromidrosis,0
"眼瞼欠損,めまぶたけっそん",blepharocoloboma,0
"眼瞼結膜炎,めまぶたけつまくえん",blepharoconjunctivitis,0
"眼瞼角結膜炎,めまぶたかくけつまくえん",blepharokeratoconjunctivitis,0
"眼裂縮小,めれつしゅくしょう",blepharophimosis,0
"眼瞼形成,めまぶたけいせい",blepharoplasty,0
"眼瞼まひ,めまぶたまひ",blepharoplegia,0
