meanings,word,score
"モミ属,もみぞく",Abies,0
"もく浴,もくよく",ablution,0
"目撃,もくげき",Absolute Power,0
"黙認,もくにん",acceptance,0
"もてなすこと,もてなすこと",accommodation,5
"毛髪色素欠乏,もうはつしきそけつぼう",achromotrichia,0
"黙諾,もくだく",acquiescence,0
"元活動家の政治家,もとかつどうかのせいじか",activist-turned-politician,0
"元女優の王妃,もとじょゆうのおうひ",actress-turned-princess,0
"桃太郎,ももたろう",Adventures of Momotaro,0
"物,もの",affair,0
"目標,もくひょう",aim,0
"目的,もくてき",aim,0
"モーリシャス航空,もーりしゃすこうくう",Air Mauritius,0
"模範労働者,もはんろうどうしゃ",Aktivist,0
"文字aを表す通信用語,もじえーをあらわすつうしんようご",Alfa,0
"藻,も",alga,0
"藻,も",algae,0
"申し立て,もうしたて",allegation,0
"文字,もじ",alphabet,0
"文字体系,もじたいけい",alphabet,0
"モヨウビユ,もようびゆ",alternanthera,0
"素っ裸,もとっはだか",altogether,0
"持ち運びできる茶たく,もちはこびできるちゃたく",ambulante,0
"木材産業協会,もくざいさんぎょうきょうかい",American Wood Preservers Institute,0
"モルヒネ離脱症状,もるひねりだつしょうじょう",amorphinism,0
"網膜,もうまく",amphiblestrode,0
"モモ属,ももぞく",Amygdalus,0
"もうろくすること,もうろくすること",anility,0
"物知り,ものしり",animal,1
"物活論者,ものかつろんしゃ",animist,0
"両刃の短剣,もろはのたんけん",anlace,0
"もう一つの国,もうひとつのくに",Another Country,0
"森の別の場所,もりのべつのばしょ",Another Part of the Forest,0
"者,もの",anti-abortionist,0
"黙示信仰,もくじしんこう",apocalypticism,0
"黙示録の作者,もくじろくのさくしゃ",apocalyptist,0
"もの,もの",apparition,0
"盲腸,もうちょう",appendix,0
"申込者,もうしこみしゃ",applicant,6
"申し込み,もうしこみ",application,3
"申込書,もうしこみしょ",application,3
"申し出,もうしで",approach,0
"申し入れ,もうしいれ",approach,0
"物覚えの速さ,ものおぼえのはやさ",aptitude,0
"モチノキ科,もちのきか",Aquifoliaceae,0
"物語の横糸,ものがたりのよこいと",arc,0
"元型,もとかた",archetype,0
"紋章,もんしょう",arm,2
"紋章,もんしょう",armor,0
"紋章学者,もんしょうがくしゃ",armorist,0
"持ち球,もちたま",arsenal,0
"求める人,もとめるにん",asker,0
"求めること,もとめること",asking,0
"物腰,ものごし",aspect,5
"モミジガイ科,もみじがいか",Astropectinidae,0
"持ち味,もちあじ",attraction,0
"モータースポーツ統轄機関,もーたーすぽーつとうかつきかん",Authority Sport National,0
"モーターボート,もーたーぼーと",autoboat,0
"持ちつ持たれつ,もちつもたれつ",back-scratch,0
"物言い,ものいい",back-talk,0
"戻し交配,もどしこうはい",backcross,0
"もつれ,もつれ",backlash,0
"戻り水,もどりみず",backwater,0
"モンガラカワハギ科,もんがらかわはぎか",Balistidae,0
"モンガラカワハギ亜目,もんがらかわはぎあめ",Balistoidei,0
"モロッコ銀行,もろっこぎんこう",Bank Al-Maghrib,0
"モンゴル銀行,もんごるぎんこう",Bank of Mongolia,0
"戻り,もどり",barb,0
"物置,ものおき",barn,3
"基剤,もとざい",base,0
"基腿節,もとももふし",basifemur,0
"基節,もとふし",basipod,0
"基節,もとふし",basipodite,0
"基脚,もとあし",basipodium,0
"基鰭軟骨,もとひれなんこつ",basipterygium,0
"基付節,もとつきふし",basitarsus,0
"基眼目,もとがんもく",Basommatophora,0
"最も大切なもの,もっともたいせつなもの",be-all,0
"最も大切なもの,もっともたいせつなもの",be-all and end-all,0
"目録,もくろく",beadroll,0
"物腰,ものごし",bearing,0
"持ち場,もちば",beat,0
"モナルダ,もなるだ",beebalm,0
"モクマオウ属の木,もくまおうぞくのき",beefwood,0
"物乞い,ものごいい",beggar,0
"物もらい,ものもらい",beggar,0
"物乞い,ものごいい",begging,0
"モクマオウ属の木,もくまおうぞくのき",belah,0
"持ち物,もちもの",belonging,0
"盛り土,もりつち",berm,0
"最も売れ行きの良い本,もっともうれゆきのよいほん",bestseller,0
"モミジバフウ,もみじばふう",bilsted,0
"申し分のない人,もうしぶんのないにん",bit of all right,0
"毛布,もうふ",blanket,0
"毛布でくるむこと,もうふでくるむこと",blanketing,0
"毛布類,もうふるい",blanketing,0
"毛布,もうふ",blankie,0
"紋章,もんしょう",blazon,0
"紋章,もんしょう",blazonry,0
"漏れ,もれ",bleed-through,0
"盲人たち,もうじんたち",blind,6
"盲目の時計職人－－自然淘汰は偶然か？／ブラインド・ウオッチメイカー,もうもくのとけいしょくにん－－しぜんとうたはぐうぜんかくえすちょんまーく／ぶらいんど・うおっちめいかー",Blind Watchmaker,0
"盲目魚,もうもくさかな",blindfish,0
"盲目,もうもく",blindness,6
"盲視,もうし",blindsight,0
"盲人のふりをする路上生活者,もうじんのふりをするろじょうせいかつしゃ",blinkie,0
"猛吹雪,もうふぶき",blizzard,0
"毛布,もうふ",bluey,0
"モリジョ,もりじょ",bolillo,0
"猛犬,もうけん",bone-polisher,0
"モルモン書,もるもんかき",Book of Mormon,0
"ものぐさ,ものぐさ",boredom,0
"森,もり",boscage,0
"森,もり",boskage,0
"持ち送り,もちおくり",bracket,0
"元込め銃,もとこめじゅう",breechloader,0
"もろさ,もろさ",brittleness,0
"モップ,もっぷ",brush,0
"素っ気ないこと,もとっきないこと",brush,0
"素っ気なさ,もとっきなさ",brusqueness,0
"素っ気なさ,もとっきなさ",brusquerie,0
"潜りの仲買人,もぐりのなかがいにん",bucketeer,0
"潜りの仲買人,もぐりのなかがいにん",bucketer,0
"物の集まり,もののあつまり",budget,6
"もみ革色,もみかわしょく",buff,0
"燃える昆虫軍団,もえるこんちゅうぐんだん",Bug,0
"木材伐採者の親方,もくざいばっさいもののおやかた",bullbucker,0
"物売り舟,ものうりふね",bumboat,0
"もうけもの,もうけもの",bunce,0
"燃える世界,もえるせかい",Burning World,0
"燃え尽き症候群,もえことごときしょうこうぐん",burnout,0
"燃え尽きた人,もえことごときたにん",burnout,0
"燃えつきた人間,もえつきたにんげん",Burnt Out-Case,0
"物乞い,ものごいい",burrole,0
"森を切り開く人,もりをきりひらくにん",bushwhacker,0
"問題,もんだい",business,0
"木星買います,もくせいかいます",Buy Jupiter and Other Stories,0
"木製家具職人,もくせいかぐしょくにん",cabinet-maker,0
"モンデゴ岬,もんでごみさき",Cabo Mondego,0
"ものをねだる人,ものをねだるにん",cadger,0
"木材伐採人たちの小屋,もくざいばっさいにんたちのこや",camboose,0
"もったいぶった言葉遣い,もったいぶったことばづかい",cant,0
"黙示録3174年,もくじろくさんせんひゃくしちじゅうよんねん",Canticle For Leibowitz,0
"毛細管拡張,もうさいかんかくちょう",capillarectasia,0
"毛頭虫症,もうとうむししょう",capillariasis,0
"毛細血管疾患,もうさいけっかんしっかん",capillaropathy,0
"毛細血管,もうさいけっかん",capillary,0
"毛細管,もうさいかん",capillary,0
"元手,もとで",capital,0
"木工品,もっこうひん",carpentry,0
"持つこと,もつこと",carry,3
"持ち込み修理が可能な製品,もちこみしゅうりがかのうなせいひん",carry-in,0
"持越し品,もちこししひん",carrying-over,0
"もうけの分配,もうけのぶんぱい",carve-up,0
"問題,もんだい",case,0
"モクマオウ属,もくまおうぞく",casuarina,0
"モクマオウ科,もくまおうか",Casuarinaceae,0
"モクマオウ目,もくまおうめ",Casuarinales,0
"目録,もくろく",catalog,0
"目録カード,もくろくかーど",catalog,0
"問題点,もんだいてん",catch,2
"物置,ものおき",catch-all,0
"問答式教授,もんどうしききょうじゅ",catechism,0
"目的,もくてき",cause,4
"目標,もくひょう",cause,4
"盲目,もうもく",cecity,0
"盲腸固定術,もうちょうこていじゅつ",cecofixation,0
"盲腸固定,もうちょうこてい",cecopexy,0
"盲腸縫縮術,もうちょうほうしゅくじゅつ",cecoplication,0
"盲腸瘻造設,もうちょうろうぞうせつ",cecostomy,0
"盲腸切開術,もうちょうせっかいじゅつ",cecotomy,0
