meanings,word,score
"焼灼,やきしゃく",ablation,0
"薬剤師教育認定評議会,やくざいしきょういくにんていひょうぎかい",Accreditation Council for Pharmacy Education,0
"役を演じる人,やくをえんじるにん",actor,4
"役者,やくしゃ",actor,4
"ヤチラン,やちらん",adder's-mouth,0
"野心家,やしんいえ",adventurer,0
"ヤブカ,やぶか",aedes,0
"ヤンマ科,やんまか",Aeschnidae,0
"ヤンマ科,やんまか",Aeshnidae,0
"優しい気持ち,やさしいきもち",affection,4
"山,やま",agglomerate,0
"厄介なこと,やっかいなこと",aggro,0
"野生動物恐怖,やせいどうぶつきょうふ",agrizoophobia,0
"ヤマン,やまん",Al Yaman,0
"宿屋,やどや",albergo,0
"約数,やくすう",aliquot,0
"和らげるもの,やわらげるもの",alleviation,0
"やや甘口,ややあまくち",amabile,0
"野心,やしん",ambition,0
"薬剤技師協会,やくざいぎしきょうかい",American Association of Pharmacy Technicians,0
"野生の本能,やせいのほんのう",animal,1
"焼きなまし,やきなまし",anneal,0
"焼き戻し作業者,やきもどしさぎょうしゃ",annealer,0
"焼なまし,やきなまし",annealing,0
"葯,やく",anther,0
"やりとり,やりとり",antiphony,0
"やけど治療薬,やけどちりょうやく",antipyrotic,0
"やくざ,やくざ",apache,0
"薬剤師,やくざいし",apothecary,0
"薬局,やっきょく",apothecary,0
"薬局衡ドラム,やっきょくこうどらむ",apothecary dram,0
"薬局衡オンス,やっきょくこうおんす",apothecary ounce,0
"約束,やくそく",appointment,4
"役職,やくしょく",appointment,4
"やり方,やりほう",approach,0
"ヤブコウジ属,やぶこうじぞく",Ardisia,0
"ヤシ科,やしか",Arecaceae,0
"ヤシ目,やしめ",Arecales,0
"ヤシ亜綱,やしあこう",Arecidae,0
"ヤシ糖,やしとう",Arenga,0
"ヤシの砂糖,やしのさとう",Arenga,0
"やかましい議論,やかましいぎろん",argle-bargle,0
"やかましい議論,やかましいぎろん",argy-bargy,0
"約櫃,やくひつ",ark,0
"野戦軍,やせんぐん",army,0
"矢,や",arrow,0
"矢印,やじるし",arrow,0
"矢じり,やじり",arrow-head,0
"矢の根,やのね",arrow-head,0
"矢,や",arrowhead,0
"矢じり,やじり",arrowhead,0
"矢の根,やのね",arrowhead,0
"矢印,やじるし",arrowhead,0
"矢根粉,やねこな",arrowroot,0
"ヤムシ,やむし",arrowworm,0
"野生生物保存協会,やせいせいぶつほぞんきょうかい",Association of the Wildlife Conservation,0
"闇に紛れて行われる攻撃,やみにまぎれておこなわれるこうげき",attack under the cover of darkness,0
"屋根裏,やねうら",attic,0
"屋根裏部屋,やねうらべや",attic,0
"宿屋の主人,やどやのしゅじん",aubergiste,0
"役に立つこと,やくにたつこと",availability,6
"役目,やくめ",baby,1
"やたら元気がよくてなれなれしい人,やたらげんきがよくてなれなれしいにん",backslapper,0
"焼きリンゴ,やきりんご",bakeapple,0
"焼きリンゴ,やきりんご",baked apple,0
"焼きリンゴ,やきりんご",baked-apple berry,0
"焼き菓子,やきかし",bakegoods,0
"焼くこと,やくこと",baking,0
"やり残し,やりのこし",balance,0
"やかん頭,やかんあたま",bald-head,0
"夜会服,やかいふく",ballgown,0
"野球場,やきゅうじょう",ballpark,0
"野球選手,やきゅうせんしゅ",ballplayer,0
"安物のマリフアナ,やすもののまりふあな",bammer,0
"やくざ,やくざ",bandit,0
"野外ステージ,やがいすてーじ",bandstand,0
"野獣女戦士／アマゾネス・クイーン,やじゅうおんなせんし／あまぞねす・くいーん",Barbarian Queen,0
"野蛮,やばん",barbarism,0
"野蛮,やばん",barbarity,0
"野蛮さ,やばんさ",barbarousness,0
"やぶ医者,やぶいしゃ",barber-surgeon,0
"安売り,やすうり",bargain,4
"屋台船,やたいふね",barge,0
"やじり,やじり",barracking,0
"闇雲に飛ばすこと,やみくもにとばすこと",barrel,0
"痩せ地,やせち",barren,6
"野球,やきゅう",baseball,1
"野球のボール,やきゅうのぼーる",baseball,1
"野球用語,やきゅうようご",baseballese,0
"野球に特有の習慣や表現,やきゅうにとくゆうのしゅうかんやひょうげん",baseballism,0
"野球界,やきゅうかい",basepath,0
"安物の宝石,やすもののほうせき",bauble,0
"役に立たない物,やくにたたないもの",bauchle,0
"ヤマモモ,やまもも",bayberry,0
"厄介なこと,やっかいなこと",bear,6
"山,やま",bed,0
"矢石,やいし",belemnite,0
"矢占い,やうらない",belomancy,0
"山,やま",ben,0
"優しさ,やさしさ",benevolentness,0
"優しさ,やさしさ",benignancy,0
"ヤマボウシ属,やまぼうしぞく",Benthamidia,0
"やぶれかぶれ一発勝負！,やぶれかぶれいっぱつしょうぶ！",Better Off Dead,0
"山高帽,やまたかぼう",billycock,0
"山高帽,やまたかぼう",billycock hat,0
"やつ,やつ",bird,1
"野鳥観察者,やちょうかんさつしゃ",bird-watcher,0
"野鳥観察,やちょうかんさつ",bird-watching,0
"野鳥観察者,やちょうかんさつしゃ",birder,0
"野鳥観察,やちょうかんさつ",birding,0
"野鳥の生態,やちょうのせいたい",birdlife,0
"やたら威張り散らすこと,やたらいばりちらすこと",birdshit,0
"焼飯,やきめし",biryani,0
"柳葉刀,やなぎばかたな",bistoury,0
"野営,やえい",bivouac,0
"闇取引,やみとりひき",black-marketeering,0
"やかましい話し声,やかましいはなしごえ",blat,0
"やつ,やつ",bleeder,0
"役立たず,やくたたず",blob,0
"やつ,やつ",bloke,0
"野郎,やろう",bloke,0
"山なりの投球,やまなりのとうきゅう",blooper,0
"ヤグルマ草,やぐるまくさ",bluebottle,0
"痩せ我慢,やせがまん",bluff,0
"役員会,やくいんかい",board,4
"役員室,やくいんしつ",boardroom,0
"役立たずのもの,やくたたずのもの",bobbin,0
"やつ,やつ",bod,0
"厄介な人,やっかいなにん",bogey,0
"やかん,やかん",boiler,0
"ヤマドリタケ属の食菌,やまどりたけぞくのしょくきん",boletus,0
"約定,やくじょう",bond,4
