meanings,word,score
"優,ゆう",A,0
"優等生,ゆうとうせい",A-student,0
"有刺鉄線,ゆうしてっせん",abatis,0
"誘拐された人,ゆうかいされたにん",abductee,0
"誘拐,ゆうかい",abduction,0
"誘拐殺人,ゆうかいさつじん",abduction-murder,0
"誘拐者,ゆうかいもの",abductor,0
"誘拐犯,ゆうかいはん",abductor,0
"融除,ゆうじょ",ablation,0
"融蝕性材料,ゆうしょくせいざいりょう",ablator,0
"裕福さ,ゆうふくさ",abundance,0
"豊かさ,ゆたかさ",abundance,0
"融通,ゆうづう",accommodation,5
"有用性,ゆうようせい",account,0
"有効化,ゆうこうか",activation,0
"優雅な扱い方,ゆうがなあつかいかた",address,6
"癒着剥離,ゆちゃくはくり",adhesiolysis,0
"癒着,ゆちゃく",adhesion,0
"癒着切離術,ゆちゃくせつりじゅつ",adhesiotomy,0
"優位,ゆうい",advantage,4
"輸入管,ゆにゅうかん",afferentia,0
"豊かさ,ゆたかさ",affluence,0
"裕福な人,ゆうふくなにん",affluent,0
"ゆたかな社会,ゆたかなしゃかい",Affluent Society,0
"癒着,ゆちゃく",agglutination,0
"ユニークフルーツ,ゆにーくふるーつ",aglifruit,0
"輸出農産物,ゆしゅつのうさんぶつ",agri-export,0
"輸出農産物,ゆしゅつのうさんぶつ",agricultural export,0
"輸送航空隊,ゆそうこうくうたい",Air Transport Squadron,0
"輸送航空団,ゆそうこうくうだん",Air Transport Wing,0
"UK航空,ゆーけいこうくう",Air UK,0
"ユミハシハワイミツスイ,ゆみはしはわいみつすい",akialoa,0
"雪花石こう,ゆきはないしこう",alabaster,0
"遊歩道,ゆうほどう",alameda,0
"油断のないこと,ゆだんのないこと",alertness,6
"指方規,ゆびほうき",alidade,0
"譲渡人,ゆずりわたしにん",alienator,0
"譲受人,ゆずりうけにん",alienee,0
"譲渡人,ゆずりわたしにん",alienor,0
"雪氷の堆積,ゆきこおりのたいせき",alimentation,0
"唯一絶対の神,ゆいいつぜったいのかみ",Allah,0
"誘惑,ゆうわく",allurement,0
"融合,ゆうごう",amalgamation,0
"融合する人,ゆうごうするにん",amalgamator,0
"遊走,ゆうそう",ambulato,0
"遊歩場,ゆうほば",ambulatory,0
"友好,ゆうこう",amicability,0
"友好,ゆうこう",amity,0
"有性生殖,ゆうせいせいしょく",amphigony,0
"有生性,ゆうせいせい",animacy,0
"癒着,ゆちゃく",ankylosis,0
"有害刺激除去,ゆうがいしげきじょきょ",anociassociation,0
"ユートピアの結末,ゆーとぴあのけつまつ",anti-utopian,0
"幽門洞切除,ゆうもんほらせつじょ",antrectomy,0
"幽霊,ゆうれい",apparition,0
"宥和政策,ゆうかずまささく",appeasement,0
"融和策を唱える人,ゆうわさくをとなえるにん",appeaser,0
"有用性,ゆうようせい",application,3
"弓形,ゆみかたち",arch,0
"弓の射手,ゆみのいて",archer,0
"弓矢類,ゆみやるい",archery,0
"弓体,ゆみからだ",arcualia,0
"夢の国,ゆめのくに",Arden,0
"優生学,ゆうせいがく",aristogenics,0
