meanings,word,score
"読む本がないことに対する恐怖,よむほんがないことにたいするきょうふ",abibliophobia,0
"溶発,ようはつ",ablation,0
"予約購読者,よやくこうどくしゃ",abonne,0
"予約購読,よやくこうどく",abonnement,0
"要求に応じた妊娠中絶,ようきゅうにおうじたにんしんちゅうぜつ",abortion-on-demand,0
"要約する人,ようやくするにん",abridger,0
"要約,ようやく",abridgment,0
"横座標,よこざひょう",abscissa,0
"要約,ようやく",abstract,5
"要約する人,ようやくするにん",abstracter,0
"容認性,ようにんせい",acceptability,0
"容認,ようにん",acceptation,0
"用立て,ようたて",accommodation,5
"預金口座,よきんこうざ",account,0
"預金額,よきんがく",account,0
"容疑者,ようぎしゃ",accused,0
"よろい下,よろいした",ackton,0
"要素幻聴,ようそげんちょう",acouasm,0
"欲張り,よくばり",acquisitiveness,0
"欲深さ,よくふかさ",acquisitiveness,0
"幼芽鞘,ようがさや",acrospire,0
"陽起石,ようきいし",actinolite,0
"よろい下,よろいした",acton,0
"要点,ようてん",add-up,0
"呼び掛けの言葉,よびかけのことば",address,6
"溶着,ようちゃく",adhesion,0
"養子,ようし",adoptee,0
"養子縁組,ようしえんぐみ",adoption,6
"養子論,ようしろん",adoptionism,0
"養子論信奉者,ようしろんしんぽうしゃ",adoptionist,0
"予備知識,よびちしき",advance knowledge,0
"擁護,ようご",advocacy,0
"擁護者,ようごもの",advocate,6
"用事,ようじ",affair,0
"用件,ようけん",affair,0
"養子縁組,ようしえんぐみ",affiliation,0
"用船契約,ようせんけいやく",affreightment,0
"予期せぬ出来事,よきせぬできごと",afterclap,0
"余波,よは",aftereffect,0
"余効,よこう",aftereffect,0
"余韻,よいん",afterglow,0
"余光,よひかり",afterglow,0
"ヨット所有者,よっとしょゆうしゃ",afterguard,0
"ヨットへの招待客,よっとへのしょうたいきゃく",afterguard,0
"余熱,よねつ",afterheat,0
"余生,よせい",afterlife,0
"余波,よは",aftermath,7
"余震,よしん",afterquake,0
"余震,よしん",aftershock,0
"余波,よは",aftershock,0
"幼ジストマ,ようじすとま",agamodistomum,0
"予定,よてい",agenda,0
"様子,ようす",air,0
"陽気,ようき",airiness,0
"翼状突起,よくじょうとっき",ala,0
"要塞司令官,ようさいしれいかん",alcaide,0
"よそ者,よそもの",alien,0
"ヨウシュホオズキ,ようしゅほおずき",alkekengi,0
"寄せ集め,よせあつめ",all-sorts,0
"横町,よこちょう",alley way,0
"ヨーロッパ連合軍,よーろっぱれんごうぐん",Allied Command Europe,0
"容認,ようにん",allowance,0
"余裕,よゆう",allowance,0
"よそよそしい態度,よそよそしいたいど",aloofness,0
"陽極酸化被膜,ようきょくさんかひまく",alumite,0
"世にも不思議なアメージング・ストーリー,よにもふしぎなあめーじんぐ・すとーりー",Amazing Stories,0
"羊水穿刺,ようすいせんし",amniocentesis,0
"羊水造影,ようすいぞうえい",amniography,0
"羊水漏,ようすいろう",amniorrhea,0
"羊水鏡,ようすいかがみ",amnioscope,0
"羊水鏡検査,ようすいかがみけんさ",amnioscopy,0
"ヨツメウオ科,よつめうおか",Anablepidae,0
"ヨツメウオ属の魚,よつめうおぞくのさかな",anableps,0
"ヨツメウオ属,よつめうおぞく",Anableps,0
"読み書きのできない人,よみかきのできないにん",analphabet,0
"読み書きのできない人,よみかきのできないにん",analphabetic,0
"陽極移動,ようきょくいどう",anaphoresis,0
"腰椎副突起,ようついふくとっき",anapophysis,0
"拠り所,よりどころ",anchorage,0
"世捨て人,よすててにん",anchoret,0
"世捨て人,よすててにん",anchorite,0
"陽極,ようきょく",anelectrode,0
"陽極電気緊張,ようきょくでんききんちょう",anelectrotonus,0
"要塞帝国―SS最終指令,ようさいていこく―えすえすさいしゅうしれい",Angel of Death,0
"汚れた顔の天使,よごれたかおのてんし",Angels with Dirty Faces,0
"汚れた顔の天使,よごれたかおのてんし",Angels With Dirty Faces,0
"幼児,ようじ",ankle-biter,0
"予告,よこく",announcement,0
"陽極,ようきょく",anode,0
"陽極酸化,ようきょくさんか",anodization,0
"陽極処理,ようきょくしょり",anodizing,0
"陽極液,ようきょくえき",anolyte,0
"予算増額,よさんぞうがく",ante-up,0
"よう,よう",anthracia,0
"予期する人,よきするにん",anticipant,0
"予想,よそう",anticipation,6
"予知,よち",anticipation,6
"予期,よき",anticipation,6
"予想する人,よそうするにん",anticipator,0
"ヨザル属,よざるぞく",Aotus,0
"欲張らないこと,よくばらないこと",aparigraha,0
"養蜂家,ようはちいえ",apiarist,0
"養蜂場,ようはちば",apiary,0
"養蜂,ようはち",apiculture,0
"養蜂家,ようはちいえ",apiculturist,0
"養蜂学,ようはちがく",apiology,0
"世の終末,よのしゅうまつ",apocalypse,0
"ヨハネの黙示録,よはねのもくじろく",apocalypse,0
"擁護者,ようごもの",apologist,0
"陽否陰述,ようひいんじゅつ",apophasis,0
"要請,ようせい",appeal,0
"容姿,ようし",appearance,5
"様子,ようす",appearance,5
"欲求,よっきゅう",appetite,0
"予約,よやく",appointment,4
"寄せ,よせ",approach,0
"予算割当額,よさんわりあてひたい",appropriation,0
