meanings,word,score
"拉致被害者,らちひがいしゃ",abductee,0
"拉致,らち",abduction,0
"乱用,らんよう",abuse,0
"乱用者,らんようもの",abuser,0
"乱用,らんよう",abusion,0
"乱用,らんよう",abusus,0
"ラオスのこども,らおすのこども",Action with Lao Children,0
"裸体主義者,らたいしゅぎしゃ",Adamite,0
"乱闘,らんとう",affray,0
"来世,らいせ",after-life,0
"来世,らいせ",afterlife,0
"来世,らいせ",afterworld,0
"ラッパチョウ,らっぱちょう",agami,0
"ラジオ放送,らじおほうそう",airplay,0
"ラジオ放送,らじおほうそう",airwaves,0
"卵白,らんぱく",albumen,0
"落選者,らくせんしゃ",also-ran,0
"落後者,らくごしゃ",also-ran,0
"卵巣欠如,らんそうけつじょ",anovarism,0
"ラオディケアのアポリナリス,らおでぃけあのあぽりなりす",Apollinaris,0
"裸子器,らしうつわ",apothecium,0
"ラムラ,らむら",Ar Ramla,0
"ラマーディ,らまーでぃ",Ar-Ramadi,0
"ラムサー,らむさー",Ar-Ramtha,0
"ラッカ,らっか",Ar-Raqqah,0
"ラッカセイ油,らっかせいあぶら",arachis,0
"ラッカセイ属,らっかせいぞく",Arachis,0
"らせん状包帯,らせんじょうほうたい",ascia,0
"ラテンアメリカ統合連合,らてんあめりかとうごうれんごう",Asociacion Latinoamericana de Integracion,0
"酪農民連合会,らくのうたみれんごうかい",Associated Dairymen,0
"乱暴なやつ,らんぼうなやつ",asterisk,0
"乱視,らんし",astigma,0
"乱視表,らんしおもて",astigmagraph,0
"乱視鏡,らんしかがみ",astigmat,0
"乱視の人,らんしのにん",astigmatic,0
"乱視,らんし",astigmatism,0
"乱視,らんし",astigmatismus,0
"乱視,らんし",astigmato,0
"乱視計,らんしけい",astigmatometer,0
"乱視測定,らんしそくてい",astigmatometry,0
"乱視計,らんしけい",astigmatoscope,0
"乱視測定,らんしそくてい",astigmatoscopy,0
"乱視,らんし",astigmo,0
"乱視計,らんしけい",astigmometer,0
"乱視測定,らんしそくてい",astigmometry,0
"乱雑恐怖,らんざつきょうふ",ataxophobia,0
"らせん状の刃先,らせんじょうのはさき",auger,0
"ラジオタウンで恋をして,らじおたうんでこいをして",Aunt Julia And the Scriptwriter,0
"ラップミュージックの熱烈少年少女ファン,らっぷみゅーじっくのねつれつしょうねんしょうじょふぁん",b-boy/b-girl,0
"ラム酒入りケーキ,らむさけいりけーき",baba,0
"乱暴な人間,らんぼうなにんげん",baboon,0
"らんちき騒ぎ,らんちきさわぎ",Bacchanalia,0
"烙印,らくいん",badge,0
"乱闘,らんとう",bagarre,0
"ランベールバレエ団,らんべーるばれえだん",Ballet Rambert,0
