meanings,word,score
"略語,りゃくご",abbreviation,0
"略称,りゃくしょう",abbreviation,0
"力量,りきりょう",ability,5
"離乳,りにゅう",ablactation,0
"流産児,りゅうざんじ",abortus,0
"隣接,りんせつ",abutment,0
"隣接地の所有者,りんせつちのしょゆうしゃ",abutter,0
"両性愛,りょうせいあい",AC-DC,0
"両刀遣い,りょうかたなつかい",AC-DC,0
"両性愛,りょうせいあい",AC/DC,0
"両刀遣い,りょうかたなつかい",AC/DC,0
"硫銀鉱,りゅうぎんこう",acanthite,0
"力説,りきせつ",accentuation,0
"臨時記号,りんじきごう",accidental,0
"利益,りえき",account,0
"利点,りてん",account,0
"利殖,りしょく",accumulation,0
"緑色覚異常,りょくしょくかくいじょう",achloropia,0
"緑色覚異常,りょくしょくかくいじょう",achloropsia,0
"利用不能,りようふのう",achrestic,0
"粒状果,りゅうじょうか",acinus,0
"領収書,りょうしゅうしょ",acknowledgment,0
"領収書,りょうしゅうしょ",acquittance,0
"臨調,りんちょう",Ad Hoc Commission on Administrative Reform,0
"臨時行政調査会,りんじぎょうせいちょうさかい",Ad Hoc Commission on Administrative Reform,0
"臨教審,りんきょうしん",Ad Hoc Council on Education,0
"臨時教育審議会,りんじきょういくしんぎかい",Ad Hoc Council on Education,0
"リンパ節炎,りんぱふしほのお",adenolymphitis,0
"リンパ節肥大,りんぱふしひだい",adenopathy,0
"臨時の決定,りんじのけってい",adhocery,0
"隣接番組,りんせつばんぐみ",adjacence,0
"隣接番組,りんせつばんぐみ",adjacency,0
"立派なこと,りっぱなこと",admirableness,0
"了解,りょうかい",admission,4
"輪郭を示すこと,りんかくをしめすこと",adumbration,0
"利益,りえき",advantage,4
"留意,りゅうい",advertence,0
"流入,りゅうにゅう",affluence,0
"流入,りゅうにゅう",afflux,0
"流通市場,りゅうつうしじょう",aftermarket,0
"リュウゼツラン科,りゅうぜつらんか",Agavaceae,0
"リュウゼツラン,りゅうぜつらん",agave,0
"リュウゼツラン属,りゅうぜつらんぞく",Agave,0
"立腹,りっぷく",aggravation,0
"両替差額,りょうがえさがく",agio,0
"両替業,りょうがえぎょう",agiotage,0
"緑色覚異常,りょくしょくかくいじょう",aglaucopia,0
"緑色覚異常,りょくしょくかくいじょう",aglaucopsia,0
"リベール航空,りべーるこうくう",Air Liberte,0
"旅客機,りょきゃっき",airliner,0
"領空,りょうくう",airspace,0
"リチノン岬,りちのんみさき",Akra Lithinon,0
"リース,りーす",Al-ith,0
"硫マンガン鉱,りゅうまんがんこう",alabandite,0
"旅客機パイロット協会,りょきゃっきぱいろっときょうかい",Allied Pilots Association,0
"硫酸アルミニウムカリウム,りゅうさんあるみにうむかりうむ",allume,0
"利他主義,りたしゅぎ",altruism,7
"利他的行為,りたてきこうい",altruism,7
"利他主義者,りたしゅぎしゃ",altruist,0
"硫酸アルミニウム,りゅうさんあるみにうむ",alum,0
"硫酸アルミニウムカリウム,りゅうさんあるみにうむかりうむ",alumen,0
"両側無味覚,りょうがわむみかく",ambageusia,0
"竜涎香,りゅうよだれかおり",ambergris,0
"両方,りょうほう",ambi,0
"両手利きの人,りょうてききのにん",ambidexter,0
"両手利き,りょうてきき",ambidexterity,0
"両手が同じように使えること,りょうてがおなじようにつかえること",ambidexterity,0
"両義性,りょうぎせい",ambiguity,0
"両性愛者,りょうせいあいもの",ambisexual,0
"両音節性,りょうおんせつせい",ambisyllabicity,0
"領域,りょういき",ambit,0
"両面価値,りょうめんかち",ambitendency,0
"両面性,りょうめんせい",ambivalence,0
"両面感情,りょうめんかんじょう",ambivalence,0
"両向性格,りょうこうせいかく",ambiversion,0
"両向型人間,りょうこうかたにんげん",ambivert,0
"両受体,りょうじゅからだ",amboceptor,0
"陸軍研究所,りくぐんけんきゅうしょ",American army laboratory,0
"臨床薬理学会,りんしょうやくりがくかい",American College of Clinical Pharmacology,0
"臨床薬学会,りんしょうやくがくかい",American College of Clinical Pharmacy,0
"臨床研究連盟,りんしょうけんきゅうれんめい",American Federation for Clinical Research,0
"理学療法士協会,りがくりょうほうさむらいきょうかい",American Physical Therapy Association,0
"臨床試験学会,りんしょうしけんがっかい",American Society for Clinical Investigation,0
"臨床薬理・治療学会,りんしょうやくり・ちりょうがっかい",American Society for Clinical Pharmacology and Therapeutics,0
"量,りょう",amount,5
"両星,りょうほし",amphiaster,0
"両生類,りょうせいるい",amphibia,0
"両生動物,りょうせいどうぶつ",amphibia,0
"両生類,りょうせいるい",Amphibia,0
"両生類,りょうせいるい",amphibian,0
"両生動物,りょうせいどうぶつ",amphibian,0
"両生類学,りょうせいるいがく",amphibiology,0
"両性色,りょうせいしょく",amphichrome,0
"両側性頭痛,りょうがわせいずつう",amphicrania,0
"両生地中植物,りょうせいちちゅうしょくぶつ",amphicryptophyte,0
"両性混合,りょうせいこんごう",amphimixis,0
"両性仁,りょうせいひとし",amphinucleoli,0
"両親媒性,りょうしんばいせい",amphipathicity,0
"両親媒性,りょうしんばいせい",amphiphatic,0
"両親媒性物質,りょうしんばいせいぶっしつ",amphiphile,0
"両親媒性,りょうしんばいせい",amphiphilicity,0
"両頭の蛇,りょうあたまのへび",amphisbaena,0
"両性イオン,りょうせいいおん",ampho-ion,0
"両側単眼複視,りょうがわたんがんふくし",amphodiplopia,0
"両性電解質,りょうせいでんかいしつ",ampholite,0
"両性電解質,りょうせいでんかいしつ",ampholyte,0
"両向性,りょうこうせい",amphoterism,0
"立体写真鏡,りったいしゃしんかがみ",anaglyphoscope,0
"両性具有者,りょうせいぐありもの",androgyne,0
"両性具有,りょうせいぐあり",androgyny,0
"流速計,りゅうそくけい",anemometer,0
"立体角,りったいかく",angle,0
"硫酸鉛鉱,りゅうさんなまりこう",anglesite,0
"立腹恐怖,りっぷくきょうふ",angrophobia,0
"輪状,りんじょう",annularity,0
"理解力の欠如,りかいりょくのけつじょ",anoesia,0
"流行を追わない服装,りゅうこうをおわないふくそう",antichic,0
"リン灰石,りんはいいし",apatite,0
"リンゴのシュトルーデル,りんごのしゅとるーでる",apfelstrudel,0
"硫酸カリ鉱,りゅうさんかりこう",aphthitalite,0
"隆起,りゅうき",apophysis,0
"離党,りとう",apostasy,0
"領地,りょうち",appanage,0
"リンゴ,りんご",apple,1
"リンゴ属の木,りんごぞくのき",apple,1
"リンゴに似たもの,りんごににたもの",apple,1
"林檎の樹,りんごのき",Apple Tree,0
"リンゴの木での薫製,りんごのきでのかおるせい",apple-smoke,0
"リンゴ運搬車,りんごうんぱんくるま",applecart,0
"リンゴ売りの女,りんごうりのおんな",applewife,0
"利用,りよう",application,3
"理解できること,りかいできること",apprehensibility,0
"理解,りかい",apprehension,0
"リマ,りま",Ar Rimah,0
"リヤド,りやど",Ar Riyad,0
"リファー,りふぁー",Ar-Rifa,0
"理想郷,りそうきょう",Arcadia,0
"理想的田園,りそうてきでんえん",Arcadia,0
"離弁花類,りべんかるい",Archichlamydeae,0
"領域,りょういき",area,3
"領域代入,りょういきだいにゅう",areassignment,0
"領域探索,りょういきたんさく",aresearch,0
"領域の大きさ,りょういきのおおきさ",aresize,0
"立論,りつろん",argumentation,0
"硫銀ゲルマニウム鉱,りゅうぎんげるまにうむこう",argyrodite,0
"リボフラビン欠乏症,りぼふらびんけつぼうしょう",ariboflavinosis,0
"隣人は静かに笑う,りんじんはしずかにわらう",Arlington Road,0
"陸軍,りくぐん",army,0
"旅団,りょだん",army,0
"陸軍航空医学研究所,りくぐんこうくういがくけんきゅうところ",Army Aeromedical Research Laboratory,0
"陸軍航空業務事務所,りくぐんこうくうぎょうむじむしょ",Army Aeronautical Services Office,0
