meanings,word,score
"留守,るす",absence,4
"累算器,るいさんうつわ",accumulator,0
"類放線菌症,るいほうせんきんしょう",actinobacillosis,0
"類似,るいじ",affinity,0
"類縁,るいへり",affinity,0
"類凝集素,るいぎょうしゅうもと",agglutinoid,0
"ルハイヤ,るはいや",Al-Luhayyah,0
"ルーカス・ハースの14歳のメモリー,るーかす・はーすのじゅうよんさいのめもりー",Alan & Naomi,0
"類似,るいじ",alikeness,0
"類似,るいじ",alliance,0
"類でんぷん体,るいでんぷんからだ",amyloid,0
"類似物,るいじぶつ",analog,0
"類似体,るいじからだ",analog,0
"類似食品,るいじしょくひん",analog,0
"類推論者,るいすいろんしゃ",analogist,0
"類似性,るいじせい",analogy,0
"類推,るいすい",analogy,0
"ループ状の構造,るーぷじょうのこうぞう",ansa,0
"類人猿,るいじんえん",anthropoid,0
"類人猿,るいじんえん",ape,0
"類似しているもの,るいじしているもの",approximation,0
"ルトバ,るとば",Ar-Rutbah,0
"ルシェルシュ諸島,るしぇるしゅしょしま",Arck. of the Recherche,0
"ルッコラ,るっこら",arugula,0
"類似,るいじ",assonance,0
"類音,るいおと",assonance,0
"類音語,るいおとご",assonant,0
"ルリカラクサ,るりからくさ",baby-blue-eyes,0
"塁打,るいだ",bagger,0
"ルタバガ,るたばが",bagie,0
"流刑,るけい",banishment,0
"ルクセンブルグ中央銀行,るくせんぶるぐちゅうおうぎんこう",Banque Centrale du Luxembourg,0
"ルワンダ中央銀行,るわんだちゅうおうぎんこう",Banque Nationale du Rwanda,0
"塁,るい",base,0
"塁走,るいそう",basepath,0
"類壊死症,るいえししょう",bionecrosis,0
"ルリジサ,るりじさ",borage,0
"ルリチシャ,るりちしゃ",borage,0
"塁壁,るいかべ",bulwark,0
"ルイス岬,るいすみさき",Butt of Lewis,0
"類がん,るいがん",cancroid,0
"ルーイン岬,るーいんみさき",Cape Leeuwin,0
"ルーク,るーく",castle,0
"ルリニガナ,るりにがな",catananche,0
"ルート,るーと",channel,0
"類音反復,るいおとはんぷく",chiming,0
"類染色質,るいせんしょくしつ",chromatoid,0
"流布,るふ",circulation,0
"流布者,るふもの",circulator,0
"類,るい",class,1
"類似,るいじ",comparison,0
"ルート,るーと",conduit,0
"類似,るいじ",conformity,6
"類似,るいじ",consonance,0
"ルーカス・ルーカス,るーかす・るーかす",Coolan Gotta Gold,0
"るつぼ,るつぼ",crucible,0
"るつぼ,るつぼ",Crucible,0
"ルービックキューブ・マニア,るーびっくきゅーぶ・まにあ",cuber,0
"ルービックキューブを解く人,るーびっくきゅーぶをとくにん",cuber,0
"累積性,るいせきせい",cumulativeness,0
"流布,るふ",currency,5
"塁,るい",cushion,0
"ルート砂漠,るーとさばく",Dasht-e Lut,0
"流浪の,るろうの",deracine,0
"類腱腫,るいけんしゅ",desmoid,0
"類腱腫,るいけんしゅ",desmoma,0
"ルフトハンザ・ドイツ航空,るふとはんざ・どいつこうくう",Deutsche Lufthansa A.G.,0
"類音,るいおと",diaphone,0
"流布,るふ",diffusion,0
"ルンペン,るんぺん",dingo,0
"類ジフテリア菌,るいじふてりあきん",diphtheroid,0
"流布,るふ",dissemination,7
"累代,るいだい",eon,0
"類丹毒,るいたんどく",erysipeloid,0
"ルメール海峡,るめーるかいきょう",Estrecho de Le Maire,0
"類宦官症患者,るいかんがんしょうかんじゃ",eunuchoid,0
"類宦官症,るいかんがんしょう",eunuchoidism,0
"累乗法,るいじょうほう",exponentiation,0
"類事実,るいじじつ",factoid,0
"類線維素,るいせんいもと",fibrinoid,0
"累層,るいそう",formation,0
"ルール,るーる",game,1
"ルイジアナの夜明け,るいじあなのよあけ",Gathering of Old Men,0
"ルセル山,るせるやま",Gunung Leuser,0
"類似療法,るいじりょうほう",homeotherapeutics,0
"留守宅の世話人,るすたくのせわにん",homesitter,0
"類似配列,るいじはいれつ",homotaxis,0
"ルアー,るあー",hopper,0
"留守預かり人,るすあずかりにん",house-sitter,0
"流刑地にて,るけいちにて",In the Penal Colony,0
"ループ,るーぷ",iteration,0
"ルーバーン山脈,るーばーんさんみゃく",Jabal Lubnan,0
"ルシパラ諸島,るしぱらしょしま",Kepulauan Lucipara,0
"類似品,るいじひん",knockoff,0
"ルーケン,るーけん",Laeken,0
"ルガノ湖,るがのみずうみ",Lago di Lugano,0
"ルイーズ湖,るいーずみずうみ",Lake Louise,0
"ルガーノ湖,るがーのみずうみ",Lake Lugano,0
"ルガーノ湖,るがーのみずうみ",Lake of Lugano,0
"ルドルフ湖,るどるふみずうみ",Lake Rudolf,0
"ルクワ湖,るくわみずうみ",Lake Rukwa,0
"ルプシ川,るぷしかわ",Lapus,0
"ル・バルド,る・ばるど",Le Bardo,0
"ルブラン,るぶらん",Le Blanc,0
"ルブコー,るぶこー",Le Boucau,0
"ルブスカ,るぶすか",Le Bouscat,0
"ル・カンネ,る・かんね",Le Cannet,0
"ルシャテラール,るしゃてらーる",Le Chatelard,0
"ルコトー,ることー",Le Coteau,0
"ルクルーゾー,るくるーぞー",Le Creusot,0
"ル・ディヴォース～パリに恋して～,る・でぃゔぉーす～ぱりにこいして～",Le Divorce,0
"ルアーブル,るあーぶる",Le Havre,0
"ルロクル,るろくる",Le Locle,0
"ルマン,るまん",Le Mans,0
"ル・メリディアン,る・めりでぃあん",Le Meridien,0
"ル・モンド,る・もんど",Le Monde,0
"ル・モンド社,る・もんどしゃ",Le Monde,0
"ル・ヌーヴェル・オプセルヴァトゥール,る・ぬーゔぇる・おぷせるゔぁとぅーる",Le Nouvel Observateur,0
"ルポール,るぽーる",Le Port,0
"ルピュイ,るぴゅい",Le Puy,0
"ル・ピュイ・アン・ブレー,る・ぴゅい・あん・ぶれー",Le Puy-en-Velay,0
"ルテイ,るてい",Le Teil,0
"ルトレポール,るとれぽーる",Le Treport,0
"ル・ヴィアンディエ,る・ゔぃあんでぃえ",Le Viandier,0
