meanings,word,score
"例外的な状況,れいがいてきなじょうきょう",aberration,0
"レーザー歯科学会,れーざーしかがっかい",Academy of Laser Dentistry,0
"連絡通路,れんらくつうろ",accessway,0
"連結材,れんけつざい",accouplement,0
"レッド・ゾーン／FBI全開指令,れっど・ぞーん／えふびーあいぜんかいしれい",Action U.S.A.,0
"例証,れいしょう",adduction,0
"例証提示,れいしょうていじ",adduction,0
"礼拝,れいはい",adoration,0
"レンプクソウ科,れんぷくそうか",Adoxaceae,0
"歴史的遺産の保存に関する諮問委員会,れきしてきいさんのほぞんにかんするしもんいいんかい",Advisory Council on Historic Preservation,0
"霊感,れいかん",afflatus,0
"冷凍空調工業会,れいとうくうちょうこうぎょうかい",Air-Conditioning and Refrigeration Institute,0
"錬金術,れんきんじゅつ",al-kimiya,0
"歴史序説,れきしじょせつ",al-Muqaddima,0
"レコード・ジャケット,れこーど・じゃけっと",album,0
"錬金術師,れんきんじゅつし",alchemist,0
"錬金術,れんきんじゅつ",alchemy,0
"連携,れんけい",alignment,0
"連合,れんごう",alliance,0
"連合軍通信電子装置委員会,れんごうぐんつうしんでんしそうちいいんかい",Allied Military Communications Electronics Committee,0
"連合無線周波数庁,れんごうむせんしゅうはすうちょう",Allied Radio Frequency Agency,0
"連合国,れんごうこく",ally,0
"礼儀,れいぎ",amenity,0
"恋愛小説作家,れんあいしょうせつさっか",amorist,0
"恋愛,れんあい",amour,0
"恋愛ごっこ,れんあいごっこ",amourette,0
"例示,れいじ",analogy,0
"冷淡,れいたん",anesthesia,0
"歴史,れきし",annals,0
"零化イデアル,れいかいである",annihilator,0
"例外,れいがい",anomaly,7
"礼拝堂の玄関ホール,れいはいどうのげんかんほーる",antechapel,0
"レイヨウ,れいよう",antelope,0
"レイヨウの毛皮,れいようのけがわ",antelope,0
"レトロ的クールさ,れとろてきくーるさ",anti-cool,0
"連行起訴,れんこうきそ",apagoge,0
"冷静,れいせい",aplomb,0
"レースソウ科,れーすそうか",Aponogetonaceae,0
"レンタルソフト,れんたるそふと",app-on-tap,0
"列弓,れつゆみ",arcade,0
"列島,れつしま",archipelago,0
"冷覚欠如,れいかくけつじょ",arrhigosis,0
"連接層,れんせつそう",articulamentum,0
"恋愛小説家,れんあいしょうせつか",As Good As It Gets,0
"連合航空保険協会,れんごうこうくうほけんきょうかい",Associated Aviation Underwriters,0
"連合,れんごう",association,4
"蓮華院誕生寺国際協力協会,れんげいんたんじょうてらこくさいきょうりょくきょうかい",Association for Rengein Tanjoji International Cooperation,0
"歴史地理学会,れきしちりがくかい",Association of Historical Geographers in Japan,0
"歴史科学協議会,れきしかがくきょうぎかい",Association of Historical Sciences,0
"連合系,れんごうけい",association system,0
"連合主義,れんごうしゅぎ",associationism,0
"レンゲ,れんげ",astragalus,0
"レンゲ属,れんげぞく",Astragalus,0
"連辞省略,れんじしょうりゃく",asyndeton,0
"錬金炉,れんきんろ",athanor,0
"連結,れんけつ",attachment,6
"零,れい",aught,0
"裂離組織,れつりそしき",avulsion,0
"レナードの朝,れなーどのあさ",Awakenings,0
"礼拝開始の呼び掛けの声,れいはいかいしのよびかけのこえ",azan,0
"霊魂,れいこん",ba,0
"劣勢,れっせい",backfoot,0
"レッテル,れってる",badge,0
"れんが,れんが",baked-mud,0
"列,れつ",bank,1
"レバノン銀行,ればのんぎんこう",Banque du Liban,0
"レースのスカーフ,れーすのすかーふ",barbe,0
"連発,れんぱつ",barrage,0
"連続的な速いステップ,れんぞくてきなはやいすてっぷ",batterie,0
"列福,れつふく",beatification,0
"礼拝堂,れいはいどう",bethel,0
"礼儀,れいぎ",bienseance,0
"レディ・ハートブレイク,れでぃ・はーとぶれいく",Bitter Medicine,0
"瀝青,れきせい",bitumen,0
"瀝青化,れきせいか",bituminization,0
"霊的な喜び,れいてきなよろこび",bliss,0
"零点,れいてん",blob,0
"連合,れんごう",bloc,0
"連合教育機関委員会,れんごうきょういくきかんいいんかい",Board of Cooperative Educational Services,0
"連邦準備制度理事会,れんぽうじゅんびせいどりじかい",Board of Governors of the Federal Reserve System,0
"恋愛の法則,れんあいのほうそく","Bodies, Rest & Motion",0
"連闘,れんとう",Bolt,0
"レンジャク属,れんじゃくぞく",Bombycilla,0
"レンジャク科,れんじゃくか",Bombycillidae,0
"連盟,れんめい",bond,4
"レスラー,れすらー",bone-breaker,0
"レスラー,れすらー",bone-cracker,0
"レスラー,れすらー",bone-crusher,0
"犂耕体,れいこうからだ",boustrophedon,0
"劣成長,れつせいちょう",bradyauxesis,0
"レバー,ればー",brake,0
"れんが,れんが",brick,0
"れんが状の塊,れんがじょうのかい",brick,0
"れんがを作るための材料,れんがをつくるためのざいりょう",brick,0
"れんがの破片,れんがのはへん",brickbat,0
"れんが造りの家,れんがつくりのいえ",brickhouse,0
"れんが積み職人,れんがつみしょくにん",brickie,0
"れんが焼き窯,れんがやきかま",brickkiln,0
"れんが職人,れんがしょくにん",bricklayer,0
"れんが積み工事,れんがつみこうじ",bricklaying,0
"れんが製造,れんがせいぞう",brickmaking,0
"れんが積み作業,れんがつみさぎょう",brickwork,0
"れんが造りの壁,れんがつくりのかべ",brickwork,0
"れんが工場,れんがこうじょう",brickyard,0
"レマゲン鉄橋,れまげんてっきょう",Bridge At Remagen,0
"冷凍協会,れいとうきょうかい",British Refrigeration Association,0
"連合通信社,れんごうつうしんしゃ",British United Press,0
"連邦参議院,れんぽうさんぎいん",Bundesrat,0
