meanings,word,score
"ロッキーを越えて,ろっきーをこえて",Across the Great Divide,0
"露光計,ろこうけい",actinometer,0
"露出計,ろしゅつけい",actinometer,0
"論説広告,ろんせつこうこく",ad-itorial,0
"6月,ろくがつ",Adar,0
"労政課,ろうまつりごとか",Administration Division,0
"ロマンシング・マリーナ／ドライ・マティーニは危険な香り,ろまんしんぐ・まりーな／どらい・まてぃーにはきけんなかおり",Adventure of the Action Hunter,0
"ロビンフッドの冒険,ろびんふっどのぼうけん",Adventures of Robin Hood,0
"老齢,ろうれい",age,0
"老人たち,ろうじんたち",age,0
"老人,ろうじん",aged,0
"老人差別,ろうじんさべつ",ageism,0
"老化,ろうか",aging,0
"録音したものの放送,ろくおんしたもののほうそう",airplay,0
"六角レンチ,ろっかくれんち",Allen wrench,0
"路地,ろじ",alley,7
"路地,ろじ",alley way,0
"路地,ろじ",alleyway,0
"老化・老年問題研究同盟,ろうか・ろうねんもんだいけんきゅうどうめい",Alliance for Aging Research,0
"労働行動同盟,ろうどうこうどうどうめい",Alliance for Labor Action,0
"老化・老年問題研究連盟,ろうか・ろうねんもんだいけんきゅうれんめい",American Federation for Aging Research,0
"老年医学会,ろうねんいがくかい",American Geriatrics Society,0
"老年問題協会,ろうねんもんだいきょうかい",American Society on Aging,0
"聾,ろう",anacusis,0
"論語,ろんご",Analects,0
"論理積,ろんりせき",AND,0
"ロサンゼルス人,ろさんぜるすにん",Angeleno,0
"ロサンゼルス人,ろさんぜるすにん",Angelino,0
"論集,ろんしゅう",annals,0
"ろう屈症,ろうくつしょう",anochlesia,0
"老化防止に効果があるもの,ろうかぼうしにこうかがあるもの",anti-ager,0
"老化防止に努力している人,ろうかぼうしにどりょくしているにん",anti-ager,0
"ロビー,ろびー",antichamber,0
"肋骨欠如,ろっこつけつじょ",apleuria,0
"論拠,ろんきょ",argument,0
"論証,ろんしょう",argument,0
"論証,ろんしょう",argumentation,0
"論争,ろんそう",argumentation,0
"論証,ろんしょう",argumentum,0
"論説,ろんせつ",article,6
"論文,ろんぶん",article,6
"ロバ亜属,ろばあぞく",Asinus,0
"浪費癖,ろうひくせ",aspendicitis,0
"ロバ,ろば",ass,0
"ろくでなし,ろくでなし",asshole,0
