meanings,word,score
"訳の分からない言葉,わけのわからないことば",abracadabra,0
"ワシタカ目,わしたかめ",Accipitres,0
"ワシタカ科,わしたかか",Accipitridae,0
"和解,わかい",accommodation,5
"和音,わおん",accord,0
"別れ,わかれ",adieu,0
"若者文化を楽しみ続けている中年,わかものぶんかをたのしみつづけているちゅうねん",adultescent,0
"私室,わたししつ",adytum,0
"私事,わたくしごと",affair,0
"ワジュフ,わじゅふ",Al-Wajh,0
"ワニ皮,わにかわ",alligator,0
"割り当て,わりあて",allocation,0
"割り当てられた,わりあてられた",allocation,0
"割り付けルーチン,わりつけるーちん",allocator,0
"割り当てを受ける人,わりあてをうけるにん",allotee,0
"割り当て,わりあて",allotment,0
"分け前,わけまえ",allotment,0
"割り当てを受ける人,わりあてをうけるにん",allottee,0
"割り当てを行う人,わりあてをおこなうにん",allotter,0
"割当量,わりあてりょう",allowance,0
"割引,わりびき",allowance,0
"湾曲消息子,わんきょくしょうそくこ",ankylomele,0
"私たちがやったこと,わたしたちがやったこと",Annie Oakley's Girl,0
"輪の形成,わのけいせい",annulation,0
"輪,わ",annulet,0
"私の中のもうひとりの私,わたしのなかのもうひとりのわたし",Another Woman,0
"悪い見本,わるいみほん",antimodel,0
"輪,わ",anulus,0
"ワタアブラムシ,わたあぶらむし",aphis,0
"わびること,わびること",apology,0
"わび,わび",apology,0
"割り当て,わりあて",apportionment,0
"割り当て,わりあて",appropriation,0
"鷲座,わしざ",Aquila,0
"輪,わ",areola,0
"腕章,わんしょう",armband,0
"脇の下,わきのした",armpit,0
"和議,わぎ",arrangement,0
"和解,わかい",arrangement,0
"技,わざ",art,0
"わざとらしさ,わざとらしさ",artificiality,0
"割り当て,わりあて",assignation,0
"割り当て,わりあて",assignment,4
"割当制度,わりあてせいど",assignment,4
"割り当てる人,わりあてるにん",assignor,0
"和歌文学会,わかぶんがくかい",Association of WAKA Poetry Studies,0
"和解,わかい",atonement,0
"ワンマン,わんまん",autocrat,0
"わが心のボルチモア,わがこころのぼるちもあ",Avalon,0
"脇の下,わきのした",axilla,0
"腋羽,わきはね",axillar,0
"湾曲,わんきょく",axioversion,0
"若者,わかもの",bachcha,0
"若い独身女性,わかいどくしんじょせい",bachelorette,0
"賄賂,わいろ",backhander,0
"脇道,わきみち",backroad,0
"悪い,わるい",bad,1
"悪い奴ほどよく眠る,わるいやつほどよくねむる",Bad Sleep Well,0
"悪者,わるもの",baddie,0
"悪者,わるもの",badman,0
"悪いこと,わるいこと",badness,0
"災い,わざわい",bale,0
"ワーラーナシー,わーらーなしー",Banaras,0
"若い娘,わかいむすめ",bantam,0
"割安株狙いの投資家,わりやすかぶねらいのとうしか",bargain-hunter,0
"猥談,わいだん",bawdry,0
"猥本,わいほん",bawdry,0
"猥談,わいだん",bawdy,0
"猥本,わいほん",bawdy,0
"わめき声,わめきこえ",bawl,0
"湾,わん",bay,0
"湾岸地帯,わんがんちたい",Bay Area,0
"湾沿岸ケーブル広告協同組合,わんえんがんけーぶるこうこくきょうどうくみあい",Bay Area Cable Advertising Cooperative,0
"湾口,わんくち",baymouth,0
"ワンルーム・アパートの多い地区,わんるーむ・あぱーとのおおいちく",bed-sitter-land,0
"悪いことしましョ！,わるいことしましょ！",Bedazzled,0
"腕力,わんりょく",beef,0
"ワーラーナシー,わーらーなしー",Benares,0
"ワイン,わいん",berry,0
"我等の生涯の最良の年,われらのしょうがいのさいりょうのねん",Best Years of Our Lives,0
"湾曲部,わんきょくぶ",bight,0
"湾曲部,わんきょくぶ",bilge,0
"割り勘,わりかん",bill-splitting,0
"わな,わな",birdlime,0
"わずか,わずか",bit,4
"分け前,わけまえ",bite,0
"ワイルド・ブラック／少年の黒い馬,わいるど・ぶらっく／しょうねんのくろいうま",Black Stallion,0
"割腔液,わりこうえき",blastochyle,0
"割球,わりたま",blastomere,0
"割球分離,わりたまぶんり",blastotomy,0
"わびしさ,わびしさ",bleakness,0
"わずかな間,わずかなかん",blink,0
"わずかなもの,わずかなもの",bob,0
"ワイン倉庫,わいんそうこ",bodega,0
"沸きこぼれ,わきこぼれ",boil-off,0
"ワタアカミムシガの幼虫,わたあかみむしがのようちゅう",bollworm,0
"ワッ,わっ",boo,0
"ワーワー,わーわー",boo-hoo,0
"ワーワー,わーわー",boo-hoo-hoo,0
"賄賂,わいろ",boodle,0
"わが青春わが読書,わがせいしゅんわがどくしょ",Books in my Life,0
"渡り職人,わたりしょくにん",boomer,0
"若いアカシカの未発達の枝角,わかいあかしかのみはったつのえだかく",bosset,0
"煩わしさ,わずらわしさ",botheration,0
"椀,わん",bowl,0
"ワン,わん",bowwow,0
"わめき,わめき",bowwow,0
"若者,わかもの",boy-chick,0
"ワラビ,わらび",bracken,0
"ワラビの茂み,わらびのしげみ",bracken,0
"ワラビ,わらび",brake,0
"腕章,わんしょう",brassard,0
"若くして名声を得た,わかくしてめいせいをえた",brat-pack,0
"腕力,わんりょく",brawn,0
"割れ目,われめ",breach,6
"割れ目,われめ",break,4
"割れ物,われもの",breakable,0
"割れ,われ",breaking,0
"わずかな間,わずかなかん",breathing,0
"賄賂,わいろ",bribe,0
"賄賂を受け取る人,わいろをうけとるにん",bribe-taker,0
