meanings,word,score
"ヴァヌアツ航空,ゔぁぬあつこうくう",Air Vanuatu,0
"ヴォーヌ・ロマネ村,ゔぉーぬ・ろまねむら",Beaune Romanee,0
"ヴォルヴィ湖,ゔぉるゔぃみずうみ",Bolbe,0
"ヴェニスに死す,ゔぇにすにしす",Death in Venice,0
"ヴォクリューズの泉,ゔぉくりゅーずのいずみ",Fontaine-de-Vaucluse,0
"ヴェッテルン湖,ゔぇってるんみずうみ",Lake Vattern,0
"ヴェニスの商人,ゔぇにすのしょうにん",Merchant of Venice,0
"ヴェルジョヴァーズ,ゔぇるじょゔぁーず",sucre vergevoise,0
"ヴァージニア,ゔぁーじにあ",Tale of Vampire,0
"ヴェローナの二紳士,ゔぇろーなのにしんし",Two Gentlemen of Verona,0
"ヴァーフ川,ゔぁーふかわ",Va'h,0
"ヴァフダト,ゔぁふだと",Vahdat,0
"ヴァイ族,ゔぁいぞく",Vai,0
"ヴァージャールガーフ,ゔぁーじゃーるがーふ",Vajargah,0
"ヴァルダイ,ゔぁるだい",Valday,0
"ヴァルデオラス,ゔぁるでおらす",Valdeorras,0
"ヴァルデペーニャス,ゔぁるでぺーにゃす",Valdepenas,0
"ヴァルドレス,ゔぁるどれす",Valdres,0
"ヴァレンシア,ゔぁれんしあ",Valencia,0
"ヴァレンシア,ゔぁれんしあ",Valentia,0
"ヴァレンタイン,ゔぁれんたいん",valentine,0
"ヴァレンタイン,ゔぁれんたいん",Valentine,0
"ヴァルハラ,ゔぁるはら",Valhalla,0
"ヴァリス,ゔぁりす",VALIS,0
"ヴァルキューレ,ゔぁるきゅーれ",Valkyrie,0
"ヴァッラブ・ヴィディヤーナガル,ゔぁっらぶ・ゔぃでぃやーながる",Vallabh Vidhyanagar,0
"ヴァロリス,ゔぁろりす",Vallauris,0
"ヴァリェ・デ・ギマール,ゔぁりぇ・で・ぎまーる",Valle de Guimar,0
"ヴァルサール,ゔぁるさーる",Valsad,0
"ヴァルイキ,ゔぁるいき",Valuyki,0
"ヴァーマナ,ゔぁーまな",Vamana,0
