absolute concentration
absolute concentration
absolute concentration measurement
absolute concept
absolute condemnation of the taking of hostages
absolute confidence
absolute configuration
absolute conformation
absolute conformity
absolute consequence
absolute conservation
absolute constant
absolute construal
absolute construction
absolute content
absolute continuity
absolute contract
absolute contraindication
absolute control
absolute convergence
absolute conveyance
absolute coordinate
absolute coordinate system
absolute coordinate value
absolute coordinates
absolute coordination
absolute counting
absolute criteria
absolute definition
have an attitude of self-centreedness to
have an attitude of self-centreedness toward
joggle  {他動}
joggle  {自動}
John  {人名-1}
John  {人名-2}
John  {人名-3}
John  {人名-4}
supper
absolute concentration, 絶対的集中
absolute concentration measurement, 絶対濃度測定
absolute concept, 絶対概念
absolute condemnation of the taking of hostages, 人質を取ることに対する断固たる非難
absolute confidence, 絶対的な自信［信頼］
absolute configuration, 絶対配置
absolute conformation, 絶対配座
absolute conformity, 絶対一致性
absolute consequence, 絶対的（な）結論
absolute conservation, 絶対的保存
absolute constant, 絶対常数
absolute construal, 絶対的解釈
absolute construction, 《文法》独立構文
absolute content, 絶対容量
absolute continuity, 絶対連続性
absolute contract, 無条件契約
absolute contraindication, 絶対的禁忌
absolute control, 絶対統制
absolute convergence, 絶対収束［収斂］
absolute conveyance, 無条件譲渡
absolute coordinate, 絶対座標
absolute coordinate system, 絶対座標系
absolute coordinate value, 絶対座標値
absolute coordinates, 《コ》絶対座標
absolute coordination, 絶対座標
absolute counting, 絶対計数
absolute criteria, 絶対評価基準◆「基準」の単数形＝criterion、複数形＝criteria
absolute definition, 絶対的定義
have an attitude of self-centreedness to, 〈英〉→have an attitude of self-centeredness to
have an attitude of self-centreedness toward, 〈英〉→have an attitude of self-centeredness toward
joggle  {他動}, 軽く揺すぶる
joggle  {自動}, 軽く揺れる
John  {人名-1}, 《聖書》ヨハネ
John  {人名-2}, 《聖書》ヨハネス◆ローマ教皇の名前の場合には通常ヨハネスと訳される。例：John XXIII（ヨハネス23世、在位1958～1963年）
John  {人名-3}, ジョン◆ファーストネーム◆【語源】新約聖書に登場する使徒ヨハネが起源。John Bullといえばイギリス人の総称。◆【例】John Lennon（ロック歌手）
John  {人名-4}, 〔イングランド王〕ジョン◆【同】John of England
supper, 【レベル】2、【発音】sΛ'pэ(r)、【＠】サパー、【変化】《複》suppers、【分節】sup・per
absolute concentration, 絶対的集中
absolute concentration measurement, 絶対濃度測定
absolute concept, 絶対概念
absolute condemnation of the taking of hostages, 人質を取ることに対する断固たる非難
absolute confidence, 絶対的な自信［信頼］
absolute configuration, 絶対配置
absolute conformation, 絶対配座
absolute conformity, 絶対一致性
absolute consequence, 絶対的（な）結論
absolute conservation, 絶対的保存
absolute constant, 絶対常数
absolute construal, 絶対的解釈
absolute construction, 《文法》独立構文
absolute content, 絶対容量
absolute continuity, 絶対連続性
absolute contract, 無条件契約
absolute contraindication, 絶対的禁忌
absolute control, 絶対統制
absolute convergence, 絶対収束［収斂］
absolute conveyance, 無条件譲渡
absolute coordinate, 絶対座標
absolute coordinate system, 絶対座標系
absolute coordinate value, 絶対座標値
absolute coordinates, 《コ》絶対座標
absolute coordination, 絶対座標
absolute counting, 絶対計数
absolute criteria, 絶対評価基準◆「基準」の単数形＝criterion、複数形＝criteria
absolute definition, 絶対的定義
have an attitude of self-centreedness to, 〈英〉→have an attitude of self-centeredness to
have an attitude of self-centreedness toward, 〈英〉→have an attitude of self-centeredness toward
joggle  {他動}, 軽く揺すぶる
joggle  {自動}, 軽く揺れる
John  {人名-1}, 《聖書》ヨハネ
John  {人名-2}, 《聖書》ヨハネス◆ローマ教皇の名前の場合には通常ヨハネスと訳される。例：John XXIII（ヨハネス23世、在位1958～1963年）
John  {人名-3}, ジョン◆ファーストネーム◆【語源】新約聖書に登場する使徒ヨハネが起源。John Bullといえばイギリス人の総称。◆【例】John Lennon（ロック歌手）
John  {人名-4}, 〔イングランド王〕ジョン◆【同】John of England
supper, 【レベル】2、【発音】sΛ'pэ(r)、【＠】サパー、【変化】《複》suppers、【分節】sup・per
